episode,total_reward
1,"[[94.0676  ]
 [94.47233 ]
 [94.026665]
 [94.60354 ]
 [94.126945]
 [94.02625 ]
 [94.416   ]
 [94.47177 ]
 [94.54607 ]
 [94.12726 ]
 [94.29694 ]
 [94.13574 ]
 [94.53318 ]
 [94.1258  ]
 [93.91538 ]
 [94.700134]
 [94.398636]
 [94.32242 ]
 [94.50273 ]
 [94.39683 ]
 [94.3999  ]
 [94.58797 ]
 [94.37106 ]
 [94.278305]
 [94.56766 ]
 [94.47241 ]
 [94.52247 ]
 [94.34093 ]
 [94.33188 ]
 [94.26036 ]
 [94.34085 ]
 [94.1468  ]
 [94.26575 ]
 [94.15825 ]
 [94.30911 ]
 [94.346954]
 [94.33132 ]
 [94.645355]
 [94.333336]
 [94.17414 ]
 [94.3875  ]
 [94.556046]
 [94.770775]
 [94.62685 ]
 [94.685684]
 [94.526665]
 [94.237045]
 [94.4096  ]
 [94.74927 ]
 [94.191376]
 [94.57528 ]
 [94.2779  ]
 [94.6198  ]
 [94.05267 ]
 [94.4202  ]
 [94.64731 ]
 [94.27829 ]
 [94.2284  ]
 [94.37502 ]
 [94.5648  ]
 [94.470856]
 [94.553604]
 [94.69907 ]
 [94.33029 ]
 [94.27956 ]
 [94.827835]
 [94.20659 ]
 [94.39571 ]
 [94.46666 ]
 [94.290184]
 [94.61772 ]
 [94.5004  ]
 [94.55924 ]
 [94.35056 ]
 [94.65474 ]
 [94.43107 ]
 [94.34455 ]
 [94.014175]
 [94.615944]
 [94.52798 ]
 [94.65793 ]
 [94.65782 ]
 [94.38284 ]
 [94.202126]
 [94.415115]
 [94.480255]
 [94.654015]
 [94.332695]
 [94.371765]
 [94.70181 ]
 [93.968056]
 [94.38715 ]
 [94.56207 ]
 [94.447266]
 [94.46022 ]
 [94.36439 ]
 [94.48805 ]
 [94.536255]
 [94.541336]
 [94.31532 ]
 [94.77153 ]
 [94.4545  ]
 [94.76019 ]
 [94.63521 ]
 [94.49155 ]
 [94.56254 ]
 [94.58715 ]
 [94.41997 ]
 [94.367966]
 [94.46034 ]
 [94.56703 ]
 [94.56041 ]
 [94.43054 ]
 [93.86772 ]
 [94.42376 ]
 [94.50253 ]
 [94.29709 ]
 [94.55307 ]
 [94.47035 ]
 [94.29103 ]
 [94.691086]
 [94.084946]
 [94.609726]
 [94.47795 ]
 [94.43486 ]
 [94.273605]
 [94.44528 ]
 [94.344406]]"
2,"[[305.88293]
 [305.9101 ]
 [306.14172]
 [304.91174]
 [306.68027]
 [305.5859 ]
 [307.0865 ]
 [304.70264]
 [306.90958]
 [305.62064]
 [305.04517]
 [305.77338]
 [305.82315]
 [305.54288]
 [305.09506]
 [305.2877 ]
 [306.3647 ]
 [305.17203]
 [306.25455]
 [306.7115 ]
 [306.17703]
 [306.01175]
 [306.15912]
 [306.45416]
 [306.30252]
 [306.1071 ]
 [303.92468]
 [305.82098]
 [306.98343]
 [306.80606]
 [304.9729 ]
 [306.29047]
 [306.85388]
 [305.33167]
 [305.78177]
 [305.14316]
 [306.17535]
 [306.07053]
 [305.90002]
 [306.67047]
 [306.191  ]
 [306.19153]
 [306.33676]
 [304.96887]
 [305.51312]
 [305.1667 ]
 [306.92703]
 [305.49072]
 [306.13025]
 [305.01248]
 [305.65015]
 [306.5049 ]
 [305.81113]
 [306.87238]
 [305.93497]
 [306.60718]
 [305.99588]
 [306.4487 ]
 [306.02414]
 [305.28882]
 [306.71973]
 [306.52316]
 [306.02966]
 [306.7031 ]
 [306.37344]
 [306.1141 ]
 [306.16992]
 [304.7669 ]
 [305.6084 ]
 [306.3523 ]
 [307.13412]
 [306.4094 ]
 [306.11   ]
 [304.90768]
 [305.33197]
 [305.78003]
 [305.05685]
 [305.10757]
 [306.56558]
 [306.27414]
 [305.7736 ]
 [305.44238]
 [304.84006]
 [307.1115 ]
 [305.93924]
 [304.79037]
 [305.5159 ]
 [306.38586]
 [306.1611 ]
 [305.497  ]
 [306.5141 ]
 [306.0696 ]
 [305.27573]
 [305.2743 ]
 [305.784  ]
 [305.76794]
 [305.55185]
 [306.1806 ]
 [306.49356]
 [304.70602]
 [306.42786]
 [306.597  ]
 [306.4325 ]
 [306.0282 ]
 [305.98904]
 [305.78732]
 [306.55664]
 [305.49692]
 [306.34744]
 [305.7101 ]
 [304.40707]
 [306.42126]
 [304.45367]
 [305.8796 ]
 [305.85422]
 [306.2216 ]
 [306.246  ]
 [305.2771 ]
 [305.76868]
 [306.724  ]
 [305.92847]
 [304.7275 ]
 [305.5202 ]
 [306.07913]
 [304.97992]
 [306.2179 ]
 [305.79913]
 [306.62753]]"
3,"[[365.19604]
 [363.6731 ]
 [364.62546]
 [364.42343]
 [362.67792]
 [362.72067]
 [361.38586]
 [363.89212]
 [364.29004]
 [364.43   ]
 [364.73798]
 [363.2017 ]
 [360.9469 ]
 [365.32446]
 [361.0969 ]
 [364.08447]
 [365.67935]
 [362.70352]
 [365.00687]
 [363.558  ]
 [364.1695 ]
 [363.75284]
 [366.56488]
 [363.97928]
 [363.37042]
 [363.55106]
 [365.35272]
 [363.2873 ]
 [368.07257]
 [362.97488]
 [363.25507]
 [363.67648]
 [361.68726]
 [365.5209 ]
 [361.9714 ]
 [365.24435]
 [362.069  ]
 [364.62042]
 [363.69247]
 [364.70142]
 [363.52356]
 [361.0796 ]
 [364.0968 ]
 [364.18497]
 [364.05096]
 [362.63773]
 [359.85892]
 [365.14468]
 [364.31686]
 [362.96918]
 [366.91034]
 [363.04413]
 [363.5523 ]
 [364.68243]
 [363.6747 ]
 [364.48047]
 [363.10254]
 [363.38858]
 [364.0596 ]
 [366.17798]
 [366.35892]
 [363.68832]
 [363.6857 ]
 [363.90515]
 [364.4812 ]
 [364.32077]
 [365.3744 ]
 [364.76144]
 [364.0555 ]
 [362.6362 ]
 [362.97565]
 [366.07413]
 [362.6734 ]
 [364.60086]
 [361.50534]
 [364.03018]
 [364.02228]
 [363.4904 ]
 [363.83087]
 [365.00082]
 [364.41483]
 [365.10614]
 [363.02753]
 [364.41776]
 [364.56058]
 [365.3622 ]
 [362.16992]
 [362.52948]
 [362.0522 ]
 [363.25806]
 [363.62238]
 [364.6043 ]
 [363.21823]
 [363.2687 ]
 [363.85687]
 [363.8967 ]
 [363.8379 ]
 [364.10596]
 [364.96725]
 [364.2101 ]
 [364.4727 ]
 [365.13443]
 [361.49738]
 [367.79984]
 [362.7624 ]
 [362.92963]
 [365.81628]
 [365.1035 ]
 [364.1745 ]
 [362.1713 ]
 [362.30054]
 [363.74487]
 [362.59286]
 [364.71167]
 [362.4376 ]
 [360.91278]
 [362.9373 ]
 [364.35895]
 [363.59042]
 [365.6078 ]
 [362.92053]
 [364.4341 ]
 [364.02417]
 [364.53763]
 [363.7535 ]
 [365.77066]
 [361.7779 ]
 [365.474  ]]"
4,"[[423.41418]
 [422.23828]
 [422.0579 ]
 [425.25952]
 [424.8163 ]
 [423.5626 ]
 [419.38016]
 [424.13876]
 [424.05585]
 [416.96558]
 [421.5146 ]
 [426.2861 ]
 [421.90405]
 [425.3977 ]
 [425.52988]
 [425.81308]
 [423.55902]
 [422.68515]
 [423.84525]
 [423.30225]
 [423.3441 ]
 [425.72134]
 [427.51797]
 [423.94342]
 [424.33188]
 [419.7331 ]
 [422.5923 ]
 [423.07925]
 [426.2891 ]
 [421.05408]
 [424.21146]
 [423.52075]
 [427.12332]
 [423.6149 ]
 [426.37134]
 [424.078  ]
 [429.43604]
 [424.3408 ]
 [421.4521 ]
 [426.7077 ]
 [423.06808]
 [426.22632]
 [422.12573]
 [423.13757]
 [426.03836]
 [424.55954]
 [423.77216]
 [422.7027 ]
 [429.40552]
 [424.29843]
 [427.904  ]
 [427.72455]
 [424.85638]
 [426.6442 ]
 [424.3626 ]
 [425.5275 ]
 [428.11044]
 [425.35605]
 [425.42813]
 [421.5006 ]
 [426.8731 ]
 [425.8001 ]
 [425.71652]
 [422.8824 ]
 [427.33154]
 [424.91013]
 [424.05106]
 [428.4015 ]
 [424.40244]
 [424.48184]
 [427.34286]
 [426.07968]
 [424.1175 ]
 [424.18616]
 [421.11316]
 [425.06625]
 [425.03046]
 [424.11905]
 [427.70242]
 [423.74173]
 [426.9659 ]
 [423.68454]
 [421.8978 ]
 [424.49118]
 [423.07364]
 [422.84552]
 [422.127  ]
 [422.72614]
 [423.57098]
 [421.39883]
 [427.23523]
 [424.00085]
 [426.44196]
 [422.48398]
 [426.0638 ]
 [427.24307]
 [424.84714]
 [424.14984]
 [425.3572 ]
 [428.01758]
 [425.23917]
 [423.39386]
 [424.57758]
 [424.12134]
 [423.78693]
 [422.44305]
 [425.5317 ]
 [420.93585]
 [422.18823]
 [422.65585]
 [420.45615]
 [421.41248]
 [424.88812]
 [426.26755]
 [428.1657 ]
 [423.35577]
 [425.2956 ]
 [422.06985]
 [422.77304]
 [426.9848 ]
 [420.26828]
 [422.80118]
 [427.93747]
 [427.312  ]
 [426.8734 ]
 [422.43643]
 [426.97507]
 [425.6096 ]]"
5,"[[502.51102]
 [503.75894]
 [504.55234]
 [503.0605 ]
 [499.4924 ]
 [502.69174]
 [495.5598 ]
 [501.97964]
 [505.12408]
 [498.68207]
 [495.5688 ]
 [501.4991 ]
 [501.57687]
 [500.78082]
 [501.95474]
 [500.91187]
 [499.42374]
 [503.8418 ]
 [500.0218 ]
 [501.6313 ]
 [502.12292]
 [504.7619 ]
 [499.73575]
 [502.2031 ]
 [496.88354]
 [502.58566]
 [500.12405]
 [491.6625 ]
 [501.46698]
 [498.21893]
 [500.5061 ]
 [503.8994 ]
 [503.10767]
 [501.52484]
 [501.48694]
 [497.12854]
 [505.17874]
 [501.02518]
 [498.7663 ]
 [503.73746]
 [500.09436]
 [495.3043 ]
 [500.1776 ]
 [501.91718]
 [500.60706]
 [503.14087]
 [498.24463]
 [497.86374]
 [501.64322]
 [504.39694]
 [497.65292]
 [503.58725]
 [499.89236]
 [501.30264]
 [498.4732 ]
 [496.28622]
 [497.0422 ]
 [503.69238]
 [499.91373]
 [501.08362]
 [503.08722]
 [501.96408]
 [503.9929 ]
 [506.34558]
 [504.13516]
 [503.7487 ]
 [503.03522]
 [491.84637]
 [503.50317]
 [501.16382]
 [501.1994 ]
 [499.8048 ]
 [497.69846]
 [505.09515]
 [499.7237 ]
 [501.08136]
 [495.9231 ]
 [503.2962 ]
 [498.49197]
 [499.59   ]
 [496.31265]
 [494.95056]
 [500.09888]
 [498.80188]
 [499.72296]
 [500.5637 ]
 [502.22092]
 [497.49118]
 [497.94846]
 [504.58264]
 [499.99796]
 [496.54395]
 [500.5167 ]
 [498.6421 ]
 [499.92575]
 [499.53595]
 [497.32672]
 [498.3444 ]
 [499.80252]
 [497.0068 ]
 [498.35962]
 [499.8842 ]
 [493.7566 ]
 [502.9292 ]
 [501.1795 ]
 [501.83038]
 [505.36084]
 [501.5918 ]
 [500.26855]
 [505.44214]
 [502.7916 ]
 [499.35052]
 [502.98544]
 [499.7031 ]
 [500.63574]
 [499.85248]
 [505.86935]
 [502.40128]
 [502.9988 ]
 [502.32645]
 [501.24957]
 [500.0824 ]
 [500.352  ]
 [499.5217 ]
 [502.3742 ]
 [498.1787 ]
 [500.6266 ]
 [499.79837]]"
6,"[[573.96796]
 [567.47327]
 [565.6421 ]
 [570.8817 ]
 [570.7561 ]
 [574.7962 ]
 [573.39124]
 [570.1853 ]
 [572.47894]
 [572.01996]
 [571.16125]
 [569.814  ]
 [575.2136 ]
 [570.2342 ]
 [570.9391 ]
 [570.4    ]
 [572.5492 ]
 [566.29755]
 [575.02673]
 [570.6744 ]
 [566.14746]
 [571.0238 ]
 [573.38806]
 [566.64667]
 [569.64465]
 [569.1648 ]
 [572.8946 ]
 [567.5927 ]
 [571.33655]
 [572.8868 ]
 [564.94495]
 [567.16095]
 [578.93665]
 [575.5354 ]
 [568.5402 ]
 [572.27344]
 [572.3253 ]
 [568.79333]
 [570.8476 ]
 [573.05853]
 [573.0193 ]
 [567.68823]
 [565.2892 ]
 [569.8029 ]
 [567.38934]
 [569.63086]
 [575.39813]
 [573.35565]
 [570.05365]
 [565.1305 ]
 [569.73376]
 [571.784  ]
 [570.09174]
 [569.9793 ]
 [573.5881 ]
 [568.30707]
 [568.0037 ]
 [566.5935 ]
 [569.17175]
 [568.3973 ]
 [574.837  ]
 [559.2665 ]
 [567.60333]
 [565.87994]
 [572.72296]
 [569.6136 ]
 [574.3174 ]
 [573.6304 ]
 [567.03485]
 [569.41943]
 [572.0465 ]
 [571.5731 ]
 [571.4846 ]
 [572.15985]
 [567.3981 ]
 [572.6162 ]
 [566.65875]
 [573.163  ]
 [572.4138 ]
 [573.971  ]
 [569.8932 ]
 [569.72614]
 [569.6387 ]
 [571.1024 ]
 [574.9567 ]
 [567.42523]
 [575.8037 ]
 [571.0192 ]
 [572.63696]
 [571.70746]
 [568.09186]
 [575.0866 ]
 [570.24194]
 [573.96735]
 [574.3467 ]
 [574.30963]
 [573.9681 ]
 [569.20465]
 [568.48535]
 [568.5349 ]
 [566.4832 ]
 [566.7679 ]
 [570.22015]
 [571.4695 ]
 [572.2255 ]
 [572.0395 ]
 [567.22394]
 [571.0223 ]
 [567.159  ]
 [569.2345 ]
 [573.86975]
 [572.31195]
 [571.2228 ]
 [573.07153]
 [568.9299 ]
 [572.5434 ]
 [573.4576 ]
 [570.0278 ]
 [566.96594]
 [572.3408 ]
 [570.6126 ]
 [573.3245 ]
 [568.6018 ]
 [570.9615 ]
 [576.7515 ]
 [570.6989 ]
 [566.8231 ]
 [568.5941 ]]"
7,"[[613.1655 ]
 [623.49316]
 [617.14435]
 [617.9085 ]
 [624.61914]
 [616.71484]
 [624.68054]
 [616.60944]
 [629.58594]
 [627.21893]
 [617.3429 ]
 [611.6826 ]
 [619.4792 ]
 [623.9171 ]
 [623.8163 ]
 [620.41705]
 [615.1251 ]
 [622.9176 ]
 [620.85706]
 [622.1831 ]
 [626.75446]
 [625.8387 ]
 [618.1456 ]
 [616.7744 ]
 [626.6058 ]
 [620.35425]
 [627.6197 ]
 [625.3604 ]
 [620.69037]
 [622.64124]
 [622.7436 ]
 [620.524  ]
 [619.6153 ]
 [622.25555]
 [619.61194]
 [625.6505 ]
 [614.71515]
 [624.55585]
 [613.36316]
 [619.2885 ]
 [627.9497 ]
 [626.36774]
 [614.3357 ]
 [625.14514]
 [619.2005 ]
 [623.733  ]
 [613.14343]
 [623.63464]
 [623.74554]
 [619.7028 ]
 [624.5237 ]
 [613.83203]
 [623.66876]
 [619.43884]
 [624.71985]
 [614.623  ]
 [624.271  ]
 [617.0828 ]
 [615.875  ]
 [622.0163 ]
 [624.7028 ]
 [619.5135 ]
 [620.6888 ]
 [627.7312 ]
 [619.5513 ]
 [620.155  ]
 [624.6039 ]
 [621.9784 ]
 [623.94147]
 [619.12463]
 [619.4214 ]
 [624.44586]
 [624.70605]
 [619.82404]
 [620.8484 ]
 [621.1849 ]
 [626.8974 ]
 [624.3829 ]
 [623.9955 ]
 [626.46484]
 [624.3894 ]
 [614.9305 ]
 [621.59766]
 [622.8436 ]
 [620.3801 ]
 [616.7554 ]
 [621.99963]
 [624.4611 ]
 [622.85767]
 [623.1921 ]
 [618.9571 ]
 [622.067  ]
 [620.2939 ]
 [622.6777 ]
 [623.2215 ]
 [620.1148 ]
 [627.57355]
 [621.9157 ]
 [619.71844]
 [625.2789 ]
 [619.94684]
 [622.66174]
 [618.0076 ]
 [620.0849 ]
 [618.7242 ]
 [626.5038 ]
 [623.2289 ]
 [621.19696]
 [616.8216 ]
 [624.1979 ]
 [623.0045 ]
 [623.7597 ]
 [626.766  ]
 [622.7971 ]
 [623.23334]
 [626.5936 ]
 [623.78656]
 [622.64966]
 [619.2728 ]
 [612.4977 ]
 [626.6663 ]
 [626.9598 ]
 [621.8938 ]
 [621.9556 ]
 [619.1996 ]
 [629.6325 ]
 [631.48334]
 [620.01263]]"
8,"[[663.6209 ]
 [669.4001 ]
 [669.4659 ]
 [668.072  ]
 [669.04126]
 [664.04987]
 [674.33813]
 [673.6483 ]
 [657.22925]
 [666.6064 ]
 [674.18353]
 [659.91797]
 [671.4578 ]
 [671.59076]
 [668.72003]
 [666.83386]
 [665.94946]
 [671.94525]
 [663.3123 ]
 [659.158  ]
 [662.33966]
 [671.3086 ]
 [666.72687]
 [666.17535]
 [664.356  ]
 [670.80914]
 [667.46045]
 [670.55194]
 [670.70264]
 [666.92255]
 [660.96606]
 [670.1955 ]
 [671.3746 ]
 [669.67926]
 [670.461  ]
 [663.1159 ]
 [662.7842 ]
 [668.887  ]
 [670.29755]
 [670.6115 ]
 [669.97406]
 [669.6951 ]
 [664.3906 ]
 [671.7176 ]
 [666.0733 ]
 [667.41144]
 [669.4828 ]
 [670.83905]
 [666.4841 ]
 [666.32574]
 [670.3152 ]
 [664.3368 ]
 [672.79535]
 [666.5134 ]
 [667.69257]
 [668.86346]
 [668.95135]
 [673.9517 ]
 [668.9698 ]
 [671.8137 ]
 [662.1192 ]
 [665.81274]
 [666.9643 ]
 [666.7613 ]
 [669.91925]
 [667.3847 ]
 [669.44025]
 [670.1748 ]
 [659.07324]
 [666.70825]
 [673.6805 ]
 [663.5974 ]
 [672.19507]
 [668.1612 ]
 [667.68976]
 [665.36774]
 [670.93713]
 [661.2342 ]
 [667.4561 ]
 [672.7035 ]
 [665.05927]
 [669.9195 ]
 [666.78516]
 [669.1108 ]
 [659.95483]
 [669.2354 ]
 [670.08936]
 [671.8683 ]
 [661.90155]
 [667.60675]
 [673.9835 ]
 [667.6805 ]
 [662.6165 ]
 [664.08984]
 [664.5062 ]
 [670.8908 ]
 [664.9904 ]
 [669.59534]
 [666.7372 ]
 [665.4421 ]
 [661.8411 ]
 [666.1264 ]
 [669.3793 ]
 [668.0416 ]
 [673.96356]
 [666.1949 ]
 [662.459  ]
 [663.6099 ]
 [660.4926 ]
 [662.31866]
 [669.4203 ]
 [667.8653 ]
 [663.4844 ]
 [671.9605 ]
 [665.41815]
 [664.98047]
 [671.1953 ]
 [663.652  ]
 [669.6333 ]
 [667.88477]
 [670.15173]
 [672.9302 ]
 [667.4142 ]
 [665.1343 ]
 [669.95404]
 [672.25275]
 [670.986  ]
 [669.76465]]"
9,"[[712.5054 ]
 [716.1553 ]
 [716.1049 ]
 [709.9732 ]
 [717.1239 ]
 [709.46027]
 [718.75476]
 [713.4704 ]
 [717.3145 ]
 [714.41113]
 [716.4272 ]
 [713.30426]
 [715.136  ]
 [717.97943]
 [708.6819 ]
 [710.4016 ]
 [718.39514]
 [716.9386 ]
 [711.8866 ]
 [715.1854 ]
 [714.8358 ]
 [708.1886 ]
 [707.4141 ]
 [717.5794 ]
 [710.90735]
 [710.34875]
 [713.92206]
 [713.115  ]
 [711.4212 ]
 [716.6983 ]
 [715.75116]
 [711.2323 ]
 [710.0696 ]
 [709.7137 ]
 [717.43353]
 [712.67267]
 [718.5294 ]
 [718.52295]
 [709.32306]
 [713.3112 ]
 [711.04803]
 [716.3339 ]
 [720.146  ]
 [707.1303 ]
 [712.57715]
 [708.52484]
 [717.6319 ]
 [712.5783 ]
 [708.29144]
 [710.1283 ]
 [715.11707]
 [713.0718 ]
 [718.6532 ]
 [714.0252 ]
 [704.516  ]
 [706.13434]
 [706.6222 ]
 [714.67847]
 [712.2391 ]
 [711.67505]
 [712.81586]
 [714.41925]
 [714.0377 ]
 [705.15216]
 [717.1985 ]
 [707.7187 ]
 [718.6014 ]
 [708.163  ]
 [713.72034]
 [705.07697]
 [712.3071 ]
 [712.4898 ]
 [720.3065 ]
 [708.3769 ]
 [714.0209 ]
 [710.0758 ]
 [703.9348 ]
 [716.8941 ]
 [702.52435]
 [710.739  ]
 [703.81903]
 [716.57745]
 [714.1319 ]
 [709.7846 ]
 [711.4635 ]
 [713.91956]
 [711.4116 ]
 [713.09534]
 [715.02606]
 [711.5781 ]
 [709.5438 ]
 [717.42676]
 [717.31464]
 [715.8716 ]
 [711.57874]
 [711.8147 ]
 [713.306  ]
 [711.42145]
 [714.13257]
 [715.13885]
 [706.5007 ]
 [708.7297 ]
 [709.48627]
 [708.11053]
 [712.6753 ]
 [716.4462 ]
 [713.4405 ]
 [715.53186]
 [713.57855]
 [717.0448 ]
 [716.63367]
 [715.417  ]
 [709.6076 ]
 [715.51135]
 [713.47534]
 [709.93567]
 [710.9126 ]
 [710.7471 ]
 [706.6745 ]
 [714.63306]
 [705.11475]
 [710.4922 ]
 [722.1949 ]
 [709.34467]
 [716.5799 ]
 [710.13837]
 [717.252  ]
 [715.8655 ]]"
10,"[[754.52966]
 [752.7268 ]
 [756.25085]
 [758.124  ]
 [755.7251 ]
 [756.863  ]
 [760.21234]
 [757.80225]
 [759.0448 ]
 [758.3445 ]
 [755.1388 ]
 [760.8538 ]
 [751.97437]
 [760.88916]
 [751.0837 ]
 [763.50226]
 [763.3894 ]
 [755.5713 ]
 [747.5325 ]
 [752.2956 ]
 [757.6525 ]
 [752.1071 ]
 [757.85284]
 [757.75116]
 [746.2668 ]
 [755.33264]
 [763.7241 ]
 [756.7248 ]
 [756.40607]
 [751.85095]
 [760.7234 ]
 [754.54724]
 [756.70917]
 [757.15106]
 [752.9653 ]
 [755.0664 ]
 [765.4058 ]
 [749.4984 ]
 [759.68396]
 [757.7841 ]
 [764.7387 ]
 [759.5691 ]
 [753.75665]
 [758.12646]
 [754.4374 ]
 [753.2148 ]
 [749.4275 ]
 [761.6504 ]
 [755.4239 ]
 [756.0261 ]
 [764.88855]
 [767.406  ]
 [747.79755]
 [760.1504 ]
 [756.7477 ]
 [754.68713]
 [754.33734]
 [752.6228 ]
 [758.4193 ]
 [757.8465 ]
 [755.316  ]
 [756.31384]
 [756.2952 ]
 [754.89575]
 [755.55237]
 [757.08057]
 [746.5243 ]
 [757.7244 ]
 [756.4476 ]
 [760.4572 ]
 [758.7111 ]
 [766.9172 ]
 [751.5329 ]
 [758.2248 ]
 [760.5898 ]
 [745.59814]
 [753.204  ]
 [758.05945]
 [748.4788 ]
 [757.22577]
 [758.17957]
 [759.1139 ]
 [755.3527 ]
 [758.7935 ]
 [751.6586 ]
 [758.0215 ]
 [760.1597 ]
 [760.79193]
 [760.9708 ]
 [765.4208 ]
 [758.058  ]
 [760.98285]
 [761.2622 ]
 [760.7424 ]
 [747.3574 ]
 [757.0048 ]
 [748.1925 ]
 [753.3342 ]
 [760.3638 ]
 [749.88464]
 [753.94507]
 [760.6961 ]
 [758.32715]
 [751.1916 ]
 [759.1538 ]
 [744.7604 ]
 [761.5203 ]
 [743.8234 ]
 [750.0351 ]
 [758.82666]
 [754.223  ]
 [760.6265 ]
 [757.17847]
 [750.3443 ]
 [757.29535]
 [753.94305]
 [756.87775]
 [760.98773]
 [763.90485]
 [746.8165 ]
 [748.21265]
 [748.1906 ]
 [754.8582 ]
 [756.9312 ]
 [760.52936]
 [744.7126 ]
 [746.19556]
 [759.0406 ]]"
