episode,total_reward
1,-90.39338795045353
2,-95.6794737304011
3,-277.1323138178235
4,-293.78041894286866
5,-221.76427465826274
6,-336.97839805185794
7,-203.84751941673466
8,-245.1758724808692
9,-226.5416338086129
10,-324.3122870326042
11,-378.7759839117527
12,-346.74978306293485
13,-386.0886967718602
14,-430.44366458058346
15,-398.1402788162233
16,-96.65902993828333
17,-108.06753785368345
18,-85.67808526853277
19,-76.11968795690211
20,-74.41997968283619
21,-80.52773664124268
22,-71.71739821732629
23,-156.8744492016782
24,-75.35046235698059
25,-185.19947956056305
26,-80.40854979008678
27,-81.0591957427693
28,-92.2851147664083
29,-105.41735562757991
30,-119.58558134065548
31,-102.807251460107
32,-106.19857278020586
33,-89.9319720819628
34,-78.26132839173843
35,-87.76999592186024
36,-91.72767508402754
37,-87.22038086878013
38,-122.11901111752697
39,-168.26768369451338
40,-107.36811279282311
41,-157.6589907586646
42,-127.72119760215543
43,-93.04090739116398
44,-99.51261506677616
45,-119.12566094549405
46,-190.30258041099046
47,-126.30988732577082
48,-201.3326422959587
49,-171.95790139064368
50,-158.35761026144192
51,-133.76907253787104
52,-192.28941932395253
53,-170.05638238638807
54,-149.63759826198438
55,-239.99774215669365
56,-151.23541975096006
57,-131.12691084892288
58,-149.8892802476908
59,-191.92972123102007
