episode,Q_value
1,0.5682095289230347
2,45.4530029296875
3,107.27788543701172
4,42.434539794921875
5,-143.77789306640625
6,-441.0358581542969
7,-759.1019287109375
8,-1172.326904296875
9,-1524.32275390625
10,-1952.2703857421875
11,-2308.010009765625
12,-2626.560791015625
13,-3089.337158203125
14,-3160.53173828125
15,-3760.275390625
16,-4111.25
17,-4546.666015625
18,-4872.4912109375
19,-5316.5546875
20,-5746.6669921875
21,-6017.56396484375
22,-6234.546875
23,-6172.9248046875
24,-5992.7607421875
25,-5765.2001953125
26,-5636.48193359375
27,-5571.64111328125
28,-5475.11328125
29,-5302.2119140625
30,-5205.1494140625
31,-5187.06591796875
32,-4975.1611328125
33,-4985.7431640625
34,-4780.8310546875
35,-4928.4912109375
36,-4698.513671875
37,-4721.8359375
38,-4608.84765625
39,-4555.13037109375
40,-4472.8759765625
41,-4330.544921875
42,-4328.93359375
43,-4300.94140625
44,-4285.9296875
45,-4130.16015625
46,-4111.767578125
47,-4055.75439453125
48,-3879.73583984375
49,-3790.08154296875
50,-3420.26123046875
51,-3366.41552734375
52,-3003.75048828125
53,-2759.90625
54,-2699.046875
55,-2422.537109375
56,-2081.922119140625
57,-2015.5908203125
58,-1792.028076171875
59,-1575.8961181640625
60,-1385.731689453125
61,-1139.83203125
62,-861.23583984375
63,-694.14892578125
64,-553.5142822265625
65,-405.69158935546875
66,-134.74221801757812
67,-44.526832580566406
68,265.85491943359375
69,334.41845703125
70,540.9735107421875
71,796.0980224609375
72,875.37109375
73,966.9358520507812
74,1250.392822265625
75,1419.4365234375
76,1580.568359375
77,1814.7767333984375
78,1975.518798828125
79,2017.025390625
80,2259.893798828125
81,2369.173095703125
82,2293.34619140625
83,2479.74609375
84,2712.50537109375
85,2907.45361328125
86,3118.89990234375
87,3152.216064453125
88,3116.326904296875
89,3263.12158203125
90,3465.4892578125
91,3684.085205078125
92,3654.1044921875
93,3809.71435546875
94,3748.2294921875
95,3959.70703125
96,4111.7646484375
97,4063.411865234375
98,4295.7421875
99,4270.2705078125
100,4458.2578125
101,4593.544921875
102,4703.22412109375
103,4684.6572265625
104,4867.9755859375
105,4873.07861328125
106,4946.75
107,5093.669921875
108,5165.869140625
109,5277.57177734375
110,5352.1474609375
111,5299.3115234375
112,5403.828125
113,5484.7958984375
114,5596.8701171875
115,5758.37451171875
116,5673.232421875
117,5692.517578125
118,5839.37890625
119,5968.7412109375
