episode,total_reward
1,"[[1.0434562 ]
 [1.3329475 ]
 [1.3252617 ]
 [1.3976231 ]
 [1.2509757 ]
 [1.6057587 ]
 [1.4391843 ]
 [1.0618521 ]
 [1.2824439 ]
 [1.0463194 ]
 [1.3352543 ]
 [1.0226278 ]
 [1.2420269 ]
 [1.3019867 ]
 [1.0282891 ]
 [1.2117566 ]
 [1.2797611 ]
 [1.3706996 ]
 [0.94413483]
 [1.2189543 ]
 [1.0895399 ]
 [1.3044472 ]
 [1.2296219 ]
 [1.0402161 ]
 [1.3628095 ]
 [1.3331025 ]
 [1.0494964 ]
 [1.5130835 ]
 [1.347601  ]
 [1.1817874 ]
 [0.8995114 ]
 [1.2845309 ]
 [1.1319915 ]
 [1.0684959 ]
 [1.3962607 ]
 [1.2321746 ]
 [1.3186184 ]
 [1.0995696 ]
 [1.1602598 ]
 [1.379723  ]
 [0.8205373 ]
 [1.3119473 ]
 [1.277085  ]
 [1.5225862 ]
 [1.3037548 ]
 [0.9617471 ]
 [1.1649244 ]
 [1.4358606 ]
 [1.4360943 ]
 [1.2968171 ]
 [1.3251622 ]
 [1.1885021 ]
 [1.4108355 ]
 [1.4658986 ]
 [1.0665941 ]
 [1.0321838 ]
 [1.5083406 ]
 [1.3738314 ]
 [1.2706171 ]
 [1.2272822 ]
 [1.3912432 ]
 [1.0309579 ]
 [1.1655293 ]
 [0.92112786]
 [1.527465  ]
 [0.977075  ]
 [1.2965991 ]
 [1.4932632 ]
 [1.3113489 ]
 [1.2754027 ]
 [1.231946  ]
 [1.1002051 ]
 [1.364883  ]
 [1.3221467 ]
 [1.324162  ]
 [1.2276101 ]
 [1.3280684 ]
 [1.3499639 ]
 [1.3334603 ]
 [1.4067134 ]
 [1.1894785 ]
 [1.2702338 ]
 [1.5729396 ]
 [1.4232931 ]
 [0.8378693 ]
 [1.2038646 ]
 [1.2108598 ]
 [1.1668832 ]
 [1.2159723 ]
 [1.3484596 ]
 [1.4515375 ]
 [1.1498958 ]
 [1.4994004 ]
 [1.3126365 ]
 [1.7247963 ]
 [0.9139128 ]
 [1.1923661 ]
 [1.479994  ]
 [1.5613511 ]
 [1.3490708 ]
 [1.4616135 ]
 [1.2702521 ]
 [1.189798  ]
 [1.3866731 ]
 [1.489477  ]
 [1.4383495 ]
 [1.4211302 ]
 [1.3505806 ]
 [0.95141757]
 [1.1635139 ]
 [1.348704  ]
 [1.1750185 ]
 [1.2119703 ]
 [1.3245108 ]
 [1.2382467 ]
 [1.3617942 ]
 [1.3251119 ]
 [1.5287782 ]
 [1.407347  ]
 [1.2240481 ]
 [1.4864881 ]
 [1.3415307 ]
 [1.3143543 ]
 [1.3642695 ]
 [1.5669395 ]
 [1.5081483 ]
 [1.4298344 ]
 [1.2381344 ]]"
2,"[[57.502167]
 [58.332695]
 [60.234413]
 [58.38623 ]
 [56.523434]
 [60.493835]
 [58.800514]
 [57.539577]
 [57.18909 ]
 [56.387947]
 [55.854935]
 [56.37698 ]
 [58.21171 ]
 [58.031036]
 [56.043896]
 [59.18941 ]
 [59.835976]
 [57.80197 ]
 [57.205505]
 [53.268375]
 [58.58397 ]
 [60.448006]
 [59.85863 ]
 [58.21135 ]
 [58.541893]
 [57.87079 ]
 [62.43694 ]
 [55.24656 ]
 [56.73696 ]
 [57.3671  ]
 [56.469124]
 [56.95299 ]
 [57.732113]
 [58.628662]
 [59.82032 ]
 [55.69896 ]
 [56.654045]
 [57.12959 ]
 [58.52459 ]
 [55.979507]
 [57.728203]
 [57.55955 ]
 [58.248436]
 [56.353344]
 [59.86956 ]
 [59.09278 ]
 [56.38193 ]
 [59.562225]
 [58.21297 ]
 [59.063557]
 [59.48369 ]
 [58.92582 ]
 [57.59852 ]
 [55.134872]
 [60.630775]
 [55.63182 ]
 [54.072254]
 [55.941414]
 [59.21083 ]
 [57.62445 ]
 [58.520294]
 [58.519768]
 [56.33274 ]
 [58.547394]
 [57.633972]
 [57.027378]
 [54.17995 ]
 [57.361885]
 [59.34158 ]
 [58.01131 ]
 [58.739555]
 [56.150467]
 [55.91115 ]
 [58.548702]
 [57.1412  ]
 [58.629284]
 [58.168232]
 [58.29509 ]
 [57.544743]
 [59.977795]
 [56.359264]
 [57.83864 ]
 [61.176086]
 [57.206726]
 [56.220566]
 [57.78473 ]
 [58.024162]
 [59.585503]
 [56.92806 ]
 [55.26921 ]
 [54.139732]
 [57.546898]
 [57.85419 ]
 [57.31739 ]
 [59.87976 ]
 [57.915462]
 [58.019005]
 [58.293667]
 [56.139435]
 [56.305134]
 [55.154808]
 [57.70843 ]
 [58.582897]
 [57.723194]
 [58.95877 ]
 [59.93398 ]
 [55.686317]
 [57.50634 ]
 [58.228687]
 [57.671085]
 [60.804497]
 [58.67127 ]
 [57.382557]
 [57.938442]
 [58.766956]
 [56.24784 ]
 [55.98994 ]
 [59.413105]
 [59.036316]
 [58.722126]
 [57.91346 ]
 [57.788574]
 [61.684555]
 [60.078457]
 [59.65715 ]
 [58.66617 ]
 [56.956326]
 [57.833595]]"
3,"[[233.92328]
 [234.18777]
 [225.89223]
 [221.50899]
 [222.27469]
 [233.11014]
 [226.68909]
 [221.25703]
 [223.86606]
 [225.14142]
 [223.11526]
 [237.124  ]
 [225.42773]
 [235.26204]
 [231.81335]
 [232.9846 ]
 [225.18875]
 [230.41296]
 [219.42282]
 [232.337  ]
 [226.63693]
 [225.49437]
 [223.7621 ]
 [232.42429]
 [233.68213]
 [230.00822]
 [235.17245]
 [234.08754]
 [230.87057]
 [226.22366]
 [223.63985]
 [216.49236]
 [229.71953]
 [226.93004]
 [239.73001]
 [224.17886]
 [224.8614 ]
 [229.11566]
 [221.13008]
 [221.41911]
 [228.38849]
 [222.50471]
 [238.42351]
 [232.83784]
 [226.64838]
 [217.67802]
 [229.01297]
 [226.40776]
 [230.94359]
 [221.99867]
 [225.9072 ]
 [218.7836 ]
 [225.3267 ]
 [237.47713]
 [219.34155]
 [228.7339 ]
 [217.36009]
 [230.40947]
 [214.17603]
 [228.50453]
 [228.60776]
 [231.0426 ]
 [236.57137]
 [228.9968 ]
 [225.67453]
 [222.48395]
 [236.14122]
 [232.64706]
 [233.17891]
 [229.68242]
 [224.67465]
 [220.65175]
 [232.00961]
 [233.93602]
 [228.8761 ]
 [227.49849]
 [218.52315]
 [224.7825 ]
 [228.79555]
 [230.55658]
 [212.14317]
 [225.55685]
 [225.96996]
 [225.5191 ]
 [239.24634]
 [231.11111]
 [234.91579]
 [215.24971]
 [227.45667]
 [229.96912]
 [231.20341]
 [227.2858 ]
 [218.60172]
 [206.14067]
 [228.1879 ]
 [220.77255]
 [229.8985 ]
 [229.62907]
 [237.14014]
 [227.53197]
 [221.65126]
 [221.97272]
 [210.59032]
 [234.0896 ]
 [227.62357]
 [231.82346]
 [218.73555]
 [225.70398]
 [232.85373]
 [232.49591]
 [221.0046 ]
 [221.54071]
 [225.52403]
 [222.98125]
 [233.10426]
 [235.15096]
 [226.56436]
 [226.38531]
 [223.04584]
 [230.65746]
 [224.40128]
 [215.03546]
 [234.66222]
 [227.72375]
 [231.26215]
 [223.34311]
 [227.28658]
 [223.3094 ]]"
4,"[[495.16837]
 [490.7325 ]
 [519.51825]
 [483.3114 ]
 [505.78552]
 [498.71933]
 [493.77808]
 [485.3877 ]
 [507.19003]
 [496.5772 ]
 [491.95514]
 [473.4883 ]
 [500.61328]
 [518.6428 ]
 [504.3952 ]
 [510.63455]
 [503.92813]
 [513.7394 ]
 [485.98978]
 [510.63834]
 [493.36145]
 [499.14148]
 [497.5566 ]
 [486.3248 ]
 [508.17368]
 [494.14886]
 [506.78052]
 [509.0839 ]
 [506.96048]
 [500.1521 ]
 [511.5671 ]
 [503.41257]
 [500.82956]
 [498.14908]
 [490.3347 ]
 [506.81238]
 [506.1778 ]
 [495.26602]
 [526.34753]
 [497.3378 ]
 [516.917  ]
 [499.54077]
 [488.16147]
 [492.3347 ]
 [500.87305]
 [493.5117 ]
 [494.235  ]
 [499.02246]
 [516.0257 ]
 [521.96295]
 [511.1084 ]
 [517.02325]
 [498.81757]
 [513.853  ]
 [499.5082 ]
 [512.2317 ]
 [492.9402 ]
 [504.35376]
 [500.5135 ]
 [484.66953]
 [515.96564]
 [509.19073]
 [500.6127 ]
 [505.25293]
 [485.01544]
 [497.21762]
 [527.9719 ]
 [514.2655 ]
 [490.63416]
 [504.41165]
 [494.8987 ]
 [509.46146]
 [519.81775]
 [474.24573]
 [517.3486 ]
 [511.80475]
 [489.0938 ]
 [524.16785]
 [500.8178 ]
 [531.1198 ]
 [511.37228]
 [498.777  ]
 [462.44327]
 [494.56183]
 [471.92578]
 [508.07755]
 [502.99783]
 [463.51633]
 [507.69653]
 [481.22177]
 [506.24698]
 [505.9212 ]
 [501.80966]
 [498.73013]
 [497.9177 ]
 [501.42563]
 [513.3594 ]
 [490.23285]
 [501.08777]
 [537.3184 ]
 [510.23053]
 [487.0488 ]
 [497.31775]
 [502.80737]
 [489.8876 ]
 [508.17084]
 [504.08383]
 [515.0907 ]
 [510.951  ]
 [484.71494]
 [498.5543 ]
 [497.11304]
 [492.82132]
 [514.4854 ]
 [510.12143]
 [503.10794]
 [513.6555 ]
 [502.93585]
 [503.0231 ]
 [503.1283 ]
 [521.183  ]
 [468.4692 ]
 [500.04782]
 [516.1861 ]
 [497.91528]
 [508.52072]
 [496.14218]
 [499.91113]]"
5,"[[767.00415]
 [828.61475]
 [803.7781 ]
 [817.56006]
 [812.56226]
 [807.4502 ]
 [832.21674]
 [833.50165]
 [791.9115 ]
 [828.9403 ]
 [807.12646]
 [843.2282 ]
 [839.847  ]
 [812.59424]
 [819.26697]
 [798.7684 ]
 [789.4258 ]
 [837.2846 ]
 [836.62604]
 [838.38275]
 [837.5604 ]
 [811.15576]
 [817.4218 ]
 [840.3855 ]
 [838.9364 ]
 [845.86847]
 [815.50287]
 [837.14624]
 [813.9736 ]
 [785.5719 ]
 [820.7657 ]
 [811.93866]
 [814.0566 ]
 [812.8736 ]
 [798.87885]
 [810.5649 ]
 [825.28546]
 [829.8026 ]
 [830.5699 ]
 [832.29614]
 [822.41095]
 [830.8386 ]
 [846.9511 ]
 [813.5304 ]
 [816.9892 ]
 [833.81366]
 [815.7049 ]
 [814.4063 ]
 [843.58057]
 [825.83374]
 [815.5941 ]
 [850.00116]
 [843.23047]
 [797.83154]
 [816.82184]
 [849.1972 ]
 [831.93695]
 [783.56573]
 [854.3108 ]
 [826.9801 ]
 [797.9017 ]
 [831.5104 ]
 [835.4143 ]
 [791.42303]
 [825.0345 ]
 [849.6207 ]
 [826.9033 ]
 [785.7717 ]
 [841.75116]
 [807.1263 ]
 [798.4146 ]
 [825.82007]
 [784.46893]
 [843.6718 ]
 [814.2098 ]
 [845.5719 ]
 [825.16223]
 [800.07556]
 [819.4196 ]
 [816.58704]
 [843.1615 ]
 [827.29346]
 [801.98035]
 [791.79553]
 [814.10583]
 [791.7657 ]
 [800.408  ]
 [814.81055]
 [850.8675 ]
 [822.5159 ]
 [819.35266]
 [811.9761 ]
 [846.62213]
 [806.4572 ]
 [812.50903]
 [794.6769 ]
 [819.79376]
 [835.9799 ]
 [817.84705]
 [783.3849 ]
 [863.238  ]
 [815.5293 ]
 [813.60474]
 [832.8512 ]
 [806.4708 ]
 [828.5409 ]
 [840.75385]
 [838.4865 ]
 [802.7372 ]
 [816.23627]
 [811.99304]
 [832.041  ]
 [835.2389 ]
 [763.89166]
 [827.29504]
 [836.36475]
 [827.20715]
 [842.22125]
 [796.2215 ]
 [791.2128 ]
 [816.5137 ]
 [787.2457 ]
 [815.5434 ]
 [805.7141 ]
 [817.9379 ]
 [841.2597 ]
 [832.16345]
 [835.53143]]"
6,"[[1131.7637]
 [1136.2921]
 [1094.467 ]
 [1119.771 ]
 [1171.487 ]
 [1122.1431]
 [1131.0779]
 [1114.0358]
 [1124.4276]
 [1116.5667]
 [1096.9706]
 [1163.7678]
 [1150.7666]
 [1137.9243]
 [1117.5638]
 [1123.3408]
 [1122.5408]
 [1112.3219]
 [1094.1758]
 [1186.3054]
 [1097.4238]
 [1204.1914]
 [1068.7062]
 [1158.6815]
 [1158.809 ]
 [1117.2921]
 [1179.5726]
 [1113.8977]
 [1120.475 ]
 [1173.2056]
 [1054.3215]
 [1151.7498]
 [1136.7255]
 [1150.4319]
 [1090.885 ]
 [1148.7186]
 [1132.6317]
 [1113.9056]
 [1149.5125]
 [1144.0245]
 [1128.518 ]
 [1118.107 ]
 [1176.7477]
 [1162.7528]
 [1096.4117]
 [1062.9363]
 [1144.1053]
 [1125.9681]
 [1156.2462]
 [1117.3536]
 [1123.9165]
 [1135.8821]
 [1174.2086]
 [1081.3926]
 [1082.1375]
 [1117.5789]
 [1120.1982]
 [1154.427 ]
 [1124.6584]
 [1159.7065]
 [1153.8888]
 [1128.2777]
 [1132.9904]
 [1144.6461]
 [1134.9592]
 [1133.9481]
 [1114.2461]
 [1129.4426]
 [1127.2913]
 [1120.1088]
 [1184.3317]
 [1137.6979]
 [1101.1539]
 [1086.915 ]
 [1140.5985]
 [1111.6146]
 [1096.0094]
 [1172.175 ]
 [1154.2233]
 [1170.6637]
 [1130.1461]
 [1135.7539]
 [1144.1986]
 [1096.4385]
 [1067.7773]
 [1158.1273]
 [1136.4442]
 [1113.0872]
 [1149.3815]
 [1166.7144]
 [1095.8429]
 [1103.0273]
 [1194.0012]
 [1170.2662]
 [1092.1135]
 [1116.6282]
 [1167.0406]
 [1161.4927]
 [1128.505 ]
 [1129.3154]
 [1120.5692]
 [1155.7509]
 [1122.709 ]
 [1111.1865]
 [1069.0037]
 [1166.15  ]
 [1126.2802]
 [1155.0367]
 [1101.9714]
 [1142.1416]
 [1127.9785]
 [1129.8712]
 [1132.1488]
 [1128.7948]
 [1153.8903]
 [1103.9965]
 [1141.8547]
 [1131.2827]
 [1175.1147]
 [1146.6854]
 [1135.4429]
 [1131.2194]
 [1085.58  ]
 [1145.7344]
 [1132.6669]
 [1117.3041]
 [1093.3802]
 [1131.3215]]"
7,"[[1496.128 ]
 [1442.9391]
 [1500.7767]
 [1512.3881]
 [1511.6375]
 [1452.2854]
 [1470.0496]
 [1463.1044]
 [1468.2523]
 [1474.0945]
 [1451.1984]
 [1444.0902]
 [1394.9854]
 [1485.7029]
 [1488.1855]
 [1439.8353]
 [1415.9437]
 [1409.761 ]
 [1490.4366]
 [1424.5487]
 [1449.7684]
 [1428.8617]
 [1444.8572]
 [1469.1959]
 [1501.5568]
 [1496.7993]
 [1437.3628]
 [1392.0096]
 [1464.9226]
 [1502.4962]
 [1404.3107]
 [1422.7782]
 [1445.4507]
 [1467.175 ]
 [1496.317 ]
 [1470.9751]
 [1458.2539]
 [1380.9111]
 [1375.8134]
 [1481.9467]
 [1483.779 ]
 [1471.3524]
 [1443.9622]
 [1436.3137]
 [1436.3734]
 [1469.296 ]
 [1469.506 ]
 [1467.1315]
 [1446.1282]
 [1453.7667]
 [1456.6664]
 [1405.6658]
 [1452.2892]
 [1439.4343]
 [1517.8812]
 [1477.171 ]
 [1439.2467]
 [1503.7178]
 [1429.1738]
 [1444.976 ]
 [1447.9708]
 [1442.1437]
 [1450.9314]
 [1451.4354]
 [1497.4698]
 [1437.8892]
 [1482.5625]
 [1485.7831]
 [1408.3475]
 [1382.9735]
 [1418.6002]
 [1466.624 ]
 [1389.0555]
 [1428.1317]
 [1465.2552]
 [1412.1644]
 [1459.1266]
 [1427.577 ]
 [1477.9861]
 [1456.6599]
 [1446.594 ]
 [1484.049 ]
 [1464.4039]
 [1462.5416]
 [1410.2429]
 [1437.8433]
 [1442.4518]
 [1487.9624]
 [1491.5687]
 [1396.098 ]
 [1445.3234]
 [1482.7013]
 [1474.7146]
 [1443.1559]
 [1465.0701]
 [1408.4573]
 [1519.3754]
 [1486.5667]
 [1430.461 ]
 [1441.264 ]
 [1504.2556]
 [1426.3334]
 [1408.6635]
 [1474.3835]
 [1479.9406]
 [1444.3612]
 [1465.9005]
 [1430.3235]
 [1430.4829]
 [1440.8726]
 [1482.925 ]
 [1422.8812]
 [1491.333 ]
 [1487.4828]
 [1461.1028]
 [1469.2802]
 [1431.1986]
 [1419.333 ]
 [1458.9348]
 [1488.4147]
 [1438.7524]
 [1457.6481]
 [1532.946 ]
 [1432.9336]
 [1439.8933]
 [1466.2811]
 [1489.6616]
 [1460.7072]]"
8,"[[1826.8247]
 [1775.6135]
 [1840.0149]
 [1801.6324]
 [1655.8812]
 [1682.374 ]
 [1753.6117]
 [1831.6526]
 [1765.9176]
 [1729.1465]
 [1793.786 ]
 [1790.0529]
 [1716.7178]
 [1780.9669]
 [1799.577 ]
 [1672.9302]
 [1802.955 ]
 [1733.9917]
 [1706.1813]
 [1758.7291]
 [1696.8578]
 [1785.9164]
 [1769.1401]
 [1709.1705]
 [1828.4941]
 [1800.3372]
 [1672.4207]
 [1724.312 ]
 [1783.1141]
 [1763.8237]
 [1767.073 ]
 [1780.3721]
 [1737.6887]
 [1770.294 ]
 [1780.1772]
 [1687.2911]
 [1798.8085]
 [1733.2178]
 [1701.5096]
 [1758.5824]
 [1701.6646]
 [1810.2747]
 [1827.111 ]
 [1719.8116]
 [1752.2285]
 [1712.4727]
 [1689.9618]
 [1764.5148]
 [1729.4507]
 [1685.8163]
 [1752.0973]
 [1739.8448]
 [1818.3561]
 [1767.5605]
 [1732.6711]
 [1716.9556]
 [1707.9214]
 [1813.0599]
 [1780.7455]
 [1746.0131]
 [1842.5651]
 [1789.824 ]
 [1784.2534]
 [1704.3165]
 [1707.2495]
 [1732.8265]
 [1707.5172]
 [1743.6772]
 [1708.0635]
 [1783.326 ]
 [1699.0011]
 [1808.1625]
 [1826.2352]
 [1799.2263]
 [1787.1742]
 [1873.6007]
 [1829.3271]
 [1739.5646]
 [1784.0305]
 [1759.1237]
 [1830.0925]
 [1766.1511]
 [1685.2089]
 [1778.8657]
 [1753.624 ]
 [1784.7614]
 [1772.4808]
 [1767.7118]
 [1755.0535]
 [1762.7955]
 [1676.187 ]
 [1749.0312]
 [1857.0542]
 [1796.9725]
 [1712.8085]
 [1778.0514]
 [1708.3005]
 [1811.5552]
 [1765.1647]
 [1790.2144]
 [1695.8469]
 [1699.8881]
 [1775.4425]
 [1727.2296]
 [1702.196 ]
 [1683.0244]
 [1762.7185]
 [1728.8293]
 [1731.2451]
 [1726.1553]
 [1721.8827]
 [1832.9751]
 [1761.0729]
 [1725.5397]
 [1743.5527]
 [1751.104 ]
 [1804.1857]
 [1732.7675]
 [1780.0139]
 [1671.3318]
 [1736.6417]
 [1785.5576]
 [1672.3699]
 [1783.6456]
 [1712.8336]
 [1774.734 ]
 [1822.6736]
 [1812.9204]]"
9,"[[2090.073 ]
 [2209.3027]
 [2137.2866]
 [2063.6243]
 [2118.367 ]
 [1979.6091]
 [2099.5105]
 [2022.5074]
 [2132.6746]
 [2132.0059]
 [2017.9863]
 [2058.6523]
 [2068.9045]
 [2074.8752]
 [2134.5376]
 [2104.1697]
 [2092.0515]
 [2032.6337]
 [2046.9829]
 [2057.5571]
 [2089.7615]
 [2082.0078]
 [2065.8364]
 [2127.1846]
 [2103.4128]
 [2177.3726]
 [2152.3162]
 [2021.5168]
 [2128.8552]
 [2129.132 ]
 [2119.4468]
 [2136.4656]
 [2037.1737]
 [2110.9968]
 [1983.7609]
 [2087.985 ]
 [2052.496 ]
 [2167.9504]
 [2095.6086]
 [2091.374 ]
 [2053.5159]
 [2152.9062]
 [2103.987 ]
 [2098.3174]
 [2137.367 ]
 [2163.1155]
 [2142.187 ]
 [2200.2166]
 [2044.6443]
 [2151.6902]
 [2065.7686]
 [2021.2212]
 [2184.466 ]
 [2095.1372]
 [2077.4116]
 [2058.1414]
 [2098.4082]
 [2201.2383]
 [2047.3856]
 [2016.6178]
 [2105.828 ]
 [2143.208 ]
 [2086.6963]
 [2011.3326]
 [2234.814 ]
 [2057.446 ]
 [2018.0087]
 [2159.8132]
 [2161.5447]
 [2086.7744]
 [2126.5862]
 [2097.8708]
 [2074.4497]
 [2126.879 ]
 [2123.7412]
 [2162.1204]
 [2049.567 ]
 [2117.0837]
 [2130.6912]
 [2031.3912]
 [2084.6628]
 [2125.449 ]
 [2007.7831]
 [2101.7324]
 [2042.8871]
 [2041.1642]
 [2047.0287]
 [2169.7517]
 [2131.6067]
 [2015.3561]
 [2093.8293]
 [2090.8008]
 [2117.6172]
 [2136.4978]
 [2182.7532]
 [2145.1348]
 [2161.6206]
 [2069.2698]
 [2121.5288]
 [2129.638 ]
 [2113.6438]
 [2128.3745]
 [2059.8372]
 [2050.0962]
 [2052.884 ]
 [1964.1023]
 [2056.5283]
 [2098.293 ]
 [2079.2517]
 [2122.0676]
 [2059.429 ]
 [2148.882 ]
 [2129.6768]
 [2064.1633]
 [2089.091 ]
 [2123.261 ]
 [2077.6904]
 [2140.0535]
 [2022.7141]
 [2114.1865]
 [2135.6553]
 [2064.5579]
 [2062.6294]
 [2057.2664]
 [2078.0796]
 [2008.031 ]
 [2136.2576]
 [2073.8267]]"
10,"[[2435.5151]
 [2476.0427]
 [2447.129 ]
 [2449.675 ]
 [2536.5405]
 [2521.6953]
 [2447.1145]
 [2450.9597]
 [2463.8667]
 [2383.6165]
 [2473.853 ]
 [2445.9268]
 [2335.3293]
 [2420.2185]
 [2499.9763]
 [2438.4465]
 [2416.143 ]
 [2319.102 ]
 [2403.8303]
 [2469.506 ]
 [2448.711 ]
 [2461.1606]
 [2421.5056]
 [2381.526 ]
 [2424.2988]
 [2433.914 ]
 [2403.1409]
 [2494.6934]
 [2472.1184]
 [2339.3916]
 [2379.5217]
 [2383.5154]
 [2359.5247]
 [2371.4475]
 [2287.2634]
 [2474.6875]
 [2421.3857]
 [2337.1714]
 [2457.4934]
 [2483.6182]
 [2340.7346]
 [2385.841 ]
 [2353.7131]
 [2455.8323]
 [2335.5679]
 [2441.5703]
 [2471.995 ]
 [2404.4695]
 [2396.8757]
 [2512.656 ]
 [2501.0159]
 [2367.1636]
 [2404.6558]
 [2439.9236]
 [2454.792 ]
 [2442.024 ]
 [2478.8408]
 [2426.421 ]
 [2456.7214]
 [2561.68  ]
 [2483.038 ]
 [2485.6636]
 [2556.9404]
 [2437.2588]
 [2410.5312]
 [2515.1516]
 [2335.1233]
 [2414.0286]
 [2440.7056]
 [2434.3774]
 [2448.4143]
 [2392.884 ]
 [2352.8447]
 [2520.052 ]
 [2480.058 ]
 [2414.7002]
 [2406.6714]
 [2479.1045]
 [2491.4893]
 [2403.8865]
 [2409.5278]
 [2388.3303]
 [2516.85  ]
 [2442.1824]
 [2400.4497]
 [2404.963 ]
 [2413.6477]
 [2328.061 ]
 [2469.9963]
 [2480.6821]
 [2387.1167]
 [2553.3284]
 [2432.1265]
 [2360.9438]
 [2350.9875]
 [2381.5217]
 [2472.7068]
 [2415.5537]
 [2486.5242]
 [2468.6223]
 [2329.2576]
 [2247.4001]
 [2520.8728]
 [2441.691 ]
 [2461.042 ]
 [2356.0093]
 [2503.464 ]
 [2382.8865]
 [2473.859 ]
 [2487.1372]
 [2398.028 ]
 [2400.8865]
 [2433.277 ]
 [2478.062 ]
 [2363.7224]
 [2462.6428]
 [2455.3726]
 [2388.6501]
 [2490.0227]
 [2463.2966]
 [2477.0142]
 [2382.6453]
 [2447.6113]
 [2511.6228]
 [2445.6418]
 [2391.0151]
 [2458.9946]
 [2352.6223]]"
