episode,Q_value
1,-0.01528981328010559
2,-46.918148040771484
3,-456.9822082519531
4,-1187.202880859375
5,-1425.663330078125
6,-1950.42919921875
7,-2461.15625
8,-3077.637939453125
9,-3479.101318359375
10,-3406.570556640625
11,-3759.11376953125
12,-3863.722900390625
13,-3953.5185546875
14,-4405.9150390625
15,-4471.2265625
16,-4764.029296875
17,-4931.97265625
18,-5261.578125
19,-5467.98779296875
20,-5637.71435546875
21,-5874.1923828125
22,-6093.5283203125
23,-6484.6376953125
24,-6655.7626953125
25,-6762.2333984375
26,-6454.57666015625
27,-7358.03125
28,-7523.099609375
29,-8045.455078125
30,-8014.2177734375
31,-8105.0947265625
32,-8363.595703125
33,-8756.169921875
34,-9060.294921875
35,-9688.0390625
36,-9141.2705078125
37,-9740.6787109375
38,-9922.6142578125
39,-9232.2021484375
40,-10531.923828125
41,-10732.8486328125
42,-9695.01953125
43,-11041.41796875
44,-10155.6826171875
45,-10819.8408203125
46,-11249.458984375
47,-11780.85546875
48,-12232.46484375
49,-12540.64453125
50,-12310.10546875
51,-12932.896484375
52,-13106.859375
53,-13290.80078125
54,-13547.751953125
55,-13195.71875
56,-13032.166015625
57,-13500.2548828125
58,-13583.8466796875
59,-14140.65625
60,-14099.140625
61,-13932.349609375
62,-12849.060546875
63,-14306.705078125
64,-14463.8125
65,-14727.345703125
66,-14627.119140625
67,-14775.484375
68,-15664.4658203125
69,-15802.7861328125
70,-15572.140625
71,-16190.0888671875
72,-16088.4638671875
73,-16543.28125
74,-16138.7666015625
75,-15949.3203125
76,-16776.29296875
77,-16750.80078125
78,-17112.953125
79,-17305.57421875
80,-17620.265625
81,-17387.21484375
82,-17104.80078125
83,-17989.904296875
84,-18201.69921875
85,-18407.802734375
86,-17653.98828125
87,-17924.49609375
88,-17812.509765625
89,-17867.3203125
90,-17749.00390625
91,-17872.40234375
92,-17875.662109375
93,-18243.919921875
94,-18314.77734375
95,-18705.0234375
96,-18609.80859375
97,-18865.15625
98,-16542.828125
99,-18672.185546875
100,-19353.4453125
101,-19189.017578125
