episode,total_reward
1,"[[111.1073  ]
 [111.14925 ]
 [111.002365]
 [111.06711 ]
 [111.151855]
 [111.16222 ]
 [111.13124 ]
 [111.091675]
 [111.14261 ]
 [111.07471 ]
 [111.16004 ]
 [111.10809 ]
 [111.076866]
 [110.84721 ]
 [110.99251 ]
 [111.103195]
 [111.15851 ]
 [111.07136 ]
 [111.136444]
 [111.01854 ]
 [111.079506]
 [110.913   ]
 [111.15837 ]
 [111.02846 ]
 [111.128845]
 [111.03777 ]
 [111.13959 ]
 [111.0685  ]
 [111.11779 ]
 [111.124374]
 [111.14047 ]
 [111.170456]
 [111.11995 ]
 [111.1266  ]
 [111.12709 ]
 [111.04817 ]
 [111.16261 ]
 [111.09317 ]
 [111.16227 ]
 [111.06064 ]
 [111.10977 ]
 [111.076324]
 [111.09238 ]
 [111.009544]
 [111.148735]
 [111.03008 ]
 [111.07984 ]
 [111.14322 ]
 [111.12193 ]
 [111.022644]
 [111.165985]
 [111.033455]
 [111.02117 ]
 [111.16639 ]
 [111.117676]
 [111.08193 ]
 [111.15933 ]
 [111.10959 ]
 [111.049194]
 [111.035034]
 [111.11905 ]
 [111.1286  ]
 [111.09279 ]
 [111.064865]
 [111.03134 ]
 [111.03049 ]
 [111.06343 ]
 [111.11011 ]
 [111.11476 ]
 [110.92298 ]
 [111.12259 ]
 [111.03213 ]
 [111.040436]
 [111.16133 ]
 [111.05165 ]
 [111.123   ]
 [111.08638 ]
 [111.149796]
 [111.088974]
 [111.12247 ]
 [111.030785]
 [111.08766 ]
 [111.14673 ]
 [111.13324 ]
 [111.11401 ]
 [111.05899 ]
 [111.10727 ]
 [111.11095 ]
 [111.168625]
 [111.003685]
 [111.156525]
 [111.12033 ]
 [111.056305]
 [111.166565]
 [111.15318 ]
 [111.146484]
 [111.11247 ]
 [111.07654 ]
 [111.145775]
 [111.15999 ]
 [110.90643 ]
 [111.16048 ]
 [111.1366  ]
 [111.124374]
 [110.895744]
 [111.15349 ]
 [110.86465 ]
 [111.175995]
 [111.15959 ]
 [110.968475]
 [111.102264]
 [111.02848 ]
 [111.12283 ]
 [111.13695 ]
 [111.11702 ]
 [111.1517  ]
 [111.053116]
 [111.16223 ]
 [110.97389 ]
 [111.146454]
 [111.06989 ]
 [111.04733 ]
 [111.1098  ]
 [111.17057 ]
 [111.06579 ]
 [111.093445]
 [111.169495]
 [111.10492 ]]"
2,"[[973.20624]
 [969.63007]
 [973.45496]
 [981.55914]
 [976.3639 ]
 [982.0914 ]
 [976.10626]
 [975.8015 ]
 [975.07825]
 [972.75415]
 [975.27203]
 [983.76776]
 [973.56586]
 [980.41583]
 [972.191  ]
 [979.6427 ]
 [977.3741 ]
 [971.0849 ]
 [989.37195]
 [970.5522 ]
 [978.63074]
 [968.78577]
 [967.41473]
 [978.2881 ]
 [989.4606 ]
 [981.80396]
 [980.7286 ]
 [975.3719 ]
 [984.49493]
 [981.2503 ]
 [973.5031 ]
 [964.5928 ]
 [987.5186 ]
 [976.1565 ]
 [975.67426]
 [980.21454]
 [976.3865 ]
 [977.59827]
 [957.8639 ]
 [979.87427]
 [975.621  ]
 [973.112  ]
 [980.0351 ]
 [977.73694]
 [973.35144]
 [980.74994]
 [971.0216 ]
 [975.451  ]
 [971.12256]
 [972.70404]
 [977.0946 ]
 [977.18536]
 [979.82825]
 [972.6883 ]
 [985.81305]
 [970.05664]
 [977.64624]
 [973.77637]
 [971.6167 ]
 [970.4957 ]
 [982.5839 ]
 [973.1871 ]
 [977.0882 ]
 [976.34467]
 [979.3051 ]
 [977.8505 ]
 [972.83997]
 [974.56683]
 [977.3061 ]
 [977.91534]
 [970.9186 ]
 [969.81555]
 [983.8106 ]
 [978.30396]
 [978.61365]
 [973.60565]
 [966.0089 ]
 [972.1273 ]
 [979.05896]
 [982.32983]
 [978.6267 ]
 [983.8877 ]
 [972.18115]
 [978.23425]
 [971.0802 ]
 [978.5546 ]
 [983.2579 ]
 [968.78735]
 [980.20074]
 [976.7477 ]
 [983.9837 ]
 [984.0323 ]
 [970.29846]
 [975.1276 ]
 [986.42145]
 [975.67975]
 [971.9626 ]
 [972.8062 ]
 [984.08527]
 [973.84436]
 [974.13873]
 [982.64417]
 [969.62256]
 [974.9751 ]
 [978.39465]
 [971.5331 ]
 [975.44507]
 [978.6868 ]
 [978.6675 ]
 [977.41895]
 [973.6649 ]
 [974.99786]
 [972.489  ]
 [972.32825]
 [988.70966]
 [976.4885 ]
 [979.48224]
 [976.4796 ]
 [972.84753]
 [975.1127 ]
 [973.34106]
 [980.1116 ]
 [992.57007]
 [979.4806 ]
 [976.10956]
 [970.66284]
 [968.93964]
 [971.39124]]"
3,"[[2268.0986]
 [2268.0527]
 [2269.1548]
 [2267.1775]
 [2262.955 ]
 [2268.9077]
 [2265.2793]
 [2263.06  ]
 [2260.5327]
 [2253.8752]
 [2264.879 ]
 [2266.5657]
 [2259.6682]
 [2268.7217]
 [2268.2375]
 [2254.633 ]
 [2264.2466]
 [2266.5046]
 [2254.8003]
 [2267.7898]
 [2261.6938]
 [2263.6987]
 [2266.816 ]
 [2268.5515]
 [2266.775 ]
 [2248.4292]
 [2261.2925]
 [2270.9082]
 [2263.487 ]
 [2264.5317]
 [2258.214 ]
 [2263.0469]
 [2267.3923]
 [2265.5989]
 [2273.5735]
 [2251.418 ]
 [2267.7747]
 [2264.9568]
 [2267.3704]
 [2267.2966]
 [2267.3552]
 [2267.3638]
 [2260.6208]
 [2255.2268]
 [2268.591 ]
 [2276.581 ]
 [2265.5017]
 [2261.7522]
 [2271.462 ]
 [2271.24  ]
 [2253.812 ]
 [2264.3118]
 [2271.9792]
 [2269.3652]
 [2261.108 ]
 [2253.1868]
 [2261.1287]
 [2258.6033]
 [2262.5376]
 [2259.9006]
 [2278.5178]
 [2267.8293]
 [2263.3708]
 [2266.8337]
 [2258.524 ]
 [2249.8914]
 [2265.4316]
 [2254.862 ]
 [2264.9219]
 [2257.2666]
 [2264.3926]
 [2269.72  ]
 [2258.6187]
 [2269.4739]
 [2254.0276]
 [2271.45  ]
 [2272.8948]
 [2269.377 ]
 [2258.4355]
 [2266.8435]
 [2260.405 ]
 [2256.001 ]
 [2260.8682]
 [2257.2288]
 [2272.9067]
 [2271.8396]
 [2251.5276]
 [2267.2246]
 [2247.9683]
 [2261.524 ]
 [2264.607 ]
 [2274.3975]
 [2275.26  ]
 [2260.4976]
 [2260.2932]
 [2270.3289]
 [2277.5322]
 [2251.6692]
 [2255.4233]
 [2263.5146]
 [2263.3525]
 [2255.1914]
 [2275.4656]
 [2263.1936]
 [2257.48  ]
 [2265.409 ]
 [2266.35  ]
 [2261.0662]
 [2262.584 ]
 [2254.6528]
 [2259.801 ]
 [2263.9102]
 [2269.829 ]
 [2271.6633]
 [2273.751 ]
 [2267.8613]
 [2264.8667]
 [2256.0605]
 [2257.174 ]
 [2259.093 ]
 [2265.3   ]
 [2250.1104]
 [2255.5112]
 [2262.497 ]
 [2273.2937]
 [2271.3704]
 [2263.7385]
 [2257.8843]]"
4,"[[3640.0752]
 [3630.0625]
 [3628.435 ]
 [3642.8816]
 [3624.2258]
 [3634.769 ]
 [3633.9263]
 [3628.7327]
 [3620.0188]
 [3642.6423]
 [3635.5393]
 [3644.0913]
 [3629.7356]
 [3643.2234]
 [3638.9517]
 [3639.9504]
 [3626.7305]
 [3635.284 ]
 [3633.0544]
 [3634.3308]
 [3623.9387]
 [3640.5547]
 [3618.2393]
 [3641.0908]
 [3641.8335]
 [3614.498 ]
 [3631.472 ]
 [3656.6904]
 [3633.5488]
 [3618.454 ]
 [3619.1467]
 [3641.6047]
 [3624.9478]
 [3635.5376]
 [3632.431 ]
 [3638.2441]
 [3635.304 ]
 [3631.9753]
 [3629.4927]
 [3622.7122]
 [3641.2654]
 [3623.6904]
 [3632.4243]
 [3633.301 ]
 [3636.2563]
 [3624.4404]
 [3630.2397]
 [3656.3896]
 [3640.1992]
 [3625.3132]
 [3634.3904]
 [3639.7664]
 [3635.0176]
 [3625.8403]
 [3626.805 ]
 [3641.6587]
 [3633.8228]
 [3623.362 ]
 [3624.4397]
 [3629.3625]
 [3634.6982]
 [3630.847 ]
 [3636.2505]
 [3637.907 ]
 [3610.5312]
 [3642.816 ]
 [3637.684 ]
 [3632.116 ]
 [3629.1921]
 [3624.8804]
 [3641.152 ]
 [3639.0696]
 [3610.5857]
 [3623.8982]
 [3617.2861]
 [3623.575 ]
 [3619.9238]
 [3635.368 ]
 [3633.8936]
 [3644.4238]
 [3634.809 ]
 [3616.8857]
 [3635.1772]
 [3610.6064]
 [3643.5266]
 [3612.128 ]
 [3644.4478]
 [3614.5044]
 [3618.8855]
 [3629.6523]
 [3641.4739]
 [3618.1982]
 [3637.012 ]
 [3625.3008]
 [3620.1511]
 [3632.537 ]
 [3632.8542]
 [3646.0024]
 [3633.5398]
 [3630.1409]
 [3627.4565]
 [3645.9421]
 [3633.263 ]
 [3649.1475]
 [3631.29  ]
 [3643.2346]
 [3647.3647]
 [3626.843 ]
 [3639.2017]
 [3634.6504]
 [3643.9973]
 [3645.8284]
 [3620.7336]
 [3649.3835]
 [3632.0967]
 [3650.1184]
 [3616.6816]
 [3624.8286]
 [3629.0066]
 [3644.6616]
 [3635.2727]
 [3631.2915]
 [3645.89  ]
 [3644.752 ]
 [3624.8103]
 [3654.3406]
 [3622.317 ]
 [3625.9922]]"
5,"[[4881.081 ]
 [4889.11  ]
 [4921.816 ]
 [4920.697 ]
 [4939.908 ]
 [4927.8374]
 [4867.9595]
 [4843.559 ]
 [4897.298 ]
 [4901.9663]
 [4877.3677]
 [4908.92  ]
 [4876.9673]
 [4910.913 ]
 [4934.547 ]
 [4892.3755]
 [4908.605 ]
 [4906.1553]
 [4932.9595]
 [4933.4307]
 [4892.032 ]
 [4942.553 ]
 [4920.277 ]
 [4904.0537]
 [4887.3125]
 [4857.577 ]
 [4948.1787]
 [4923.9863]
 [4951.761 ]
 [4926.5547]
 [4875.0454]
 [4852.3716]
 [4913.182 ]
 [4901.717 ]
 [4931.3477]
 [4928.1875]
 [4897.866 ]
 [4897.686 ]
 [4893.71  ]
 [4896.706 ]
 [4882.0796]
 [4919.9146]
 [4875.4004]
 [4925.167 ]
 [4933.0806]
 [4890.3403]
 [4877.126 ]
 [4872.2866]
 [4901.045 ]
 [4898.006 ]
 [4915.246 ]
 [4919.812 ]
 [4876.1787]
 [4905.489 ]
 [4893.521 ]
 [4884.731 ]
 [4848.251 ]
 [4903.884 ]
 [4904.0645]
 [4930.23  ]
 [4859.642 ]
 [4878.5933]
 [4922.142 ]
 [4906.9517]
 [4920.8203]
 [4889.213 ]
 [4917.887 ]
 [4907.9116]
 [4914.8994]
 [4947.4937]
 [4883.9287]
 [4881.5493]
 [4908.1787]
 [4849.9727]
 [4920.892 ]
 [4865.83  ]
 [4872.63  ]
 [4926.682 ]
 [4907.8667]
 [4892.084 ]
 [4920.96  ]
 [4886.693 ]
 [4874.3364]
 [4904.663 ]
 [4947.3955]
 [4896.1035]
 [4892.302 ]
 [4870.0166]
 [4891.487 ]
 [4881.2314]
 [4911.6787]
 [4912.469 ]
 [4901.121 ]
 [4953.427 ]
 [4939.4595]
 [4934.9424]
 [4927.335 ]
 [4914.9697]
 [4897.3237]
 [4914.448 ]
 [4918.4155]
 [4868.6143]
 [4946.3657]
 [4942.393 ]
 [4884.142 ]
 [4949.6885]
 [4921.776 ]
 [4889.8604]
 [4905.7705]
 [4896.784 ]
 [4849.715 ]
 [4870.5054]
 [4891.6353]
 [4902.702 ]
 [4904.85  ]
 [4865.5137]
 [4905.1484]
 [4872.1816]
 [4817.687 ]
 [4862.3354]
 [4895.52  ]
 [4905.589 ]
 [4903.572 ]
 [4961.9946]
 [4903.1885]
 [4925.7095]
 [4847.3286]
 [4873.7354]]"
6,"[[5763.596 ]
 [5843.0806]
 [5755.782 ]
 [5695.122 ]
 [5746.302 ]
 [5720.2544]
 [5696.9746]
 [5702.6484]
 [5751.238 ]
 [5782.801 ]
 [5780.2974]
 [5844.8604]
 [5742.8623]
 [5777.8813]
 [5816.116 ]
 [5865.3047]
 [5752.982 ]
 [5790.23  ]
 [5788.4546]
 [5874.961 ]
 [5865.4478]
 [5886.379 ]
 [5820.752 ]
 [5560.2236]
 [5671.3677]
 [5718.983 ]
 [5785.138 ]
 [5748.128 ]
 [5729.955 ]
 [5669.0083]
 [5889.4805]
 [5848.4956]
 [5740.0757]
 [5824.4346]
 [5790.3716]
 [5798.445 ]
 [5738.0967]
 [5765.8237]
 [5808.675 ]
 [5737.41  ]
 [5819.9043]
 [5775.572 ]
 [5783.3345]
 [5768.693 ]
 [5598.376 ]
 [5870.4155]
 [5819.6113]
 [5711.4985]
 [5815.6504]
 [5887.2944]
 [5837.0044]
 [5715.284 ]
 [5725.3584]
 [5735.336 ]
 [5787.8833]
 [5808.3237]
 [5733.8916]
 [5806.4834]
 [5824.835 ]
 [5827.473 ]
 [5796.997 ]
 [5862.4805]
 [5713.345 ]
 [5838.7173]
 [5773.986 ]
 [5758.2944]
 [5843.943 ]
 [5656.426 ]
 [5803.3096]
 [5815.123 ]
 [5698.4775]
 [5748.297 ]
 [5807.199 ]
 [5800.5493]
 [5796.936 ]
 [5804.839 ]
 [5713.565 ]
 [5838.9253]
 [5813.6694]
 [5837.905 ]
 [5788.2354]
 [5713.6655]
 [5812.1597]
 [5802.2793]
 [5641.2485]
 [5780.1274]
 [5840.0464]
 [5730.566 ]
 [5795.9106]
 [5834.82  ]
 [5743.0405]
 [5734.534 ]
 [5805.551 ]
 [5778.279 ]
 [5698.662 ]
 [5714.534 ]
 [5794.521 ]
 [5737.4067]
 [5785.4946]
 [5712.039 ]
 [5838.047 ]
 [5841.8726]
 [5796.027 ]
 [5882.9673]
 [5778.6733]
 [5779.6816]
 [5768.4233]
 [5889.2056]
 [5817.388 ]
 [5734.6396]
 [5782.348 ]
 [5774.173 ]
 [5694.062 ]
 [5780.1245]
 [5870.571 ]
 [5676.6606]
 [5749.307 ]
 [5776.773 ]
 [5780.516 ]
 [5857.3613]
 [5760.715 ]
 [5780.3564]
 [5807.2803]
 [5741.7095]
 [5813.998 ]
 [5865.811 ]
 [5742.5435]
 [5759.467 ]]"
7,"[[7098.4404]
 [7066.6196]
 [7083.281 ]
 [7117.2686]
 [7161.3716]
 [7132.708 ]
 [7021.3384]
 [7144.3003]
 [7139.1655]
 [7039.244 ]
 [7151.9077]
 [7151.198 ]
 [7128.701 ]
 [7046.7505]
 [7153.386 ]
 [7054.647 ]
 [7129.5435]
 [7141.602 ]
 [7097.503 ]
 [7159.87  ]
 [7055.12  ]
 [7013.351 ]
 [7240.576 ]
 [7090.268 ]
 [7131.892 ]
 [7059.2686]
 [7062.8203]
 [7135.65  ]
 [7083.282 ]
 [7084.9053]
 [7075.76  ]
 [6959.934 ]
 [7122.005 ]
 [7099.6597]
 [7222.608 ]
 [7094.544 ]
 [7199.9565]
 [6993.9136]
 [7069.5728]
 [7173.1904]
 [7099.7847]
 [7184.104 ]
 [7142.03  ]
 [7027.445 ]
 [7028.722 ]
 [7142.747 ]
 [7144.006 ]
 [7084.249 ]
 [7249.8823]
 [7157.3286]
 [7104.01  ]
 [7026.4624]
 [7079.7734]
 [7202.777 ]
 [6918.2075]
 [7171.5674]
 [7035.1597]
 [7019.3926]
 [7078.128 ]
 [6968.2236]
 [7184.7427]
 [7137.5312]
 [6953.456 ]
 [7105.156 ]
 [7202.882 ]
 [7049.701 ]
 [7023.675 ]
 [7164.7163]
 [7029.0586]
 [7185.651 ]
 [7079.943 ]
 [7107.7646]
 [7062.1504]
 [7062.222 ]
 [7071.972 ]
 [7040.196 ]
 [7149.7085]
 [7050.911 ]
 [7097.9526]
 [7029.5845]
 [7181.172 ]
 [7096.8545]
 [7044.87  ]
 [7158.876 ]
 [7076.8833]
 [7159.435 ]
 [7143.4463]
 [7180.7495]
 [7077.7627]
 [7070.3896]
 [7121.075 ]
 [7238.9883]
 [7072.2314]
 [7147.5728]
 [7124.011 ]
 [7118.7104]
 [6999.307 ]
 [7147.5645]
 [7144.5073]
 [7148.4165]
 [7053.597 ]
 [6916.4893]
 [7061.68  ]
 [7130.9805]
 [7058.3555]
 [7213.6265]
 [7158.109 ]
 [7217.132 ]
 [7131.7134]
 [7142.081 ]
 [7106.1475]
 [7138.0127]
 [7094.246 ]
 [7175.9546]
 [7114.206 ]
 [7156.438 ]
 [7138.5806]
 [7097.2666]
 [7057.3315]
 [7145.2754]
 [7193.035 ]
 [7139.5884]
 [7117.759 ]
 [7081.5728]
 [7095.2983]
 [7102.7173]
 [7181.339 ]
 [7006.3955]]"
8,"[[8236.535 ]
 [8184.725 ]
 [8132.855 ]
 [8242.211 ]
 [8150.3213]
 [8171.0576]
 [8298.488 ]
 [8230.951 ]
 [8195.849 ]
 [8152.893 ]
 [8291.321 ]
 [8167.017 ]
 [8062.0894]
 [8142.464 ]
 [8202.574 ]
 [8157.073 ]
 [8194.947 ]
 [8238.887 ]
 [8100.76  ]
 [8203.916 ]
 [8118.4893]
 [8128.0894]
 [8006.9053]
 [8152.511 ]
 [8222.032 ]
 [8054.8037]
 [8177.791 ]
 [8209.879 ]
 [8019.237 ]
 [8130.0605]
 [8135.821 ]
 [8272.151 ]
 [8097.608 ]
 [8253.651 ]
 [7971.597 ]
 [8238.759 ]
 [8221.557 ]
 [8181.5503]
 [8112.    ]
 [8111.2534]
 [8157.485 ]
 [8310.381 ]
 [8195.66  ]
 [8224.605 ]
 [8252.246 ]
 [8176.2617]
 [8147.765 ]
 [8270.919 ]
 [8224.817 ]
 [8071.9097]
 [8316.394 ]
 [8211.553 ]
 [8104.0483]
 [8065.4697]
 [8419.494 ]
 [8200.956 ]
 [8359.827 ]
 [8265.763 ]
 [8136.3784]
 [8148.939 ]
 [8111.2915]
 [8339.622 ]
 [8035.8867]
 [8155.5415]
 [8222.44  ]
 [8230.704 ]
 [8313.211 ]
 [8075.3354]
 [8090.8477]
 [8134.5425]
 [8212.687 ]
 [8245.726 ]
 [8204.366 ]
 [8323.125 ]
 [8251.549 ]
 [8289.772 ]
 [8319.098 ]
 [8259.253 ]
 [8018.432 ]
 [8137.3687]
 [8231.363 ]
 [8071.608 ]
 [8074.9126]
 [8146.6816]
 [8102.594 ]
 [8191.3823]
 [8285.506 ]
 [8250.469 ]
 [8234.054 ]
 [8267.735 ]
 [8310.87  ]
 [8316.33  ]
 [8262.386 ]
 [8047.7344]
 [8184.5522]
 [8332.725 ]
 [8224.727 ]
 [8102.7666]
 [8148.8374]
 [8149.4956]
 [8315.053 ]
 [8192.982 ]
 [8208.983 ]
 [8285.6   ]
 [8163.4155]
 [8307.954 ]
 [8189.354 ]
 [8246.889 ]
 [8222.641 ]
 [8247.301 ]
 [8198.426 ]
 [8223.261 ]
 [8192.524 ]
 [8163.464 ]
 [8226.682 ]
 [8352.628 ]
 [8286.724 ]
 [8289.727 ]
 [8302.64  ]
 [8249.566 ]
 [8223.6   ]
 [8283.148 ]
 [8208.941 ]
 [8222.524 ]
 [8247.13  ]
 [8246.212 ]
 [8080.7266]
 [8278.577 ]]"
9,"[[9145.802 ]
 [9213.646 ]
 [9175.16  ]
 [9140.374 ]
 [9301.581 ]
 [9257.976 ]
 [9004.589 ]
 [9223.322 ]
 [9199.858 ]
 [9162.247 ]
 [9070.023 ]
 [8998.508 ]
 [9398.6   ]
 [9066.704 ]
 [9192.138 ]
 [9063.551 ]
 [9124.348 ]
 [8921.892 ]
 [9110.861 ]
 [8965.909 ]
 [9097.382 ]
 [8990.942 ]
 [9355.43  ]
 [9074.575 ]
 [9242.716 ]
 [9135.735 ]
 [8985.994 ]
 [9071.237 ]
 [9080.149 ]
 [8997.31  ]
 [8905.203 ]
 [9045.206 ]
 [9350.853 ]
 [9103.023 ]
 [9149.201 ]
 [9345.623 ]
 [9261.325 ]
 [9111.024 ]
 [9087.545 ]
 [9289.254 ]
 [8946.581 ]
 [9255.994 ]
 [9093.725 ]
 [8788.753 ]
 [9052.404 ]
 [8956.049 ]
 [9313.255 ]
 [9099.432 ]
 [9100.131 ]
 [9122.835 ]
 [9032.83  ]
 [9133.426 ]
 [9227.563 ]
 [9056.438 ]
 [9054.666 ]
 [9295.728 ]
 [9100.67  ]
 [9131.467 ]
 [9044.238 ]
 [9084.303 ]
 [9004.077 ]
 [8922.295 ]
 [8818.6045]
 [9234.264 ]
 [9104.09  ]
 [9137.192 ]
 [9113.832 ]
 [9090.469 ]
 [8928.478 ]
 [8980.074 ]
 [8890.414 ]
 [9054.384 ]
 [9120.226 ]
 [9071.583 ]
 [9132.009 ]
 [9280.054 ]
 [9154.91  ]
 [9046.073 ]
 [9077.172 ]
 [9070.668 ]
 [8936.883 ]
 [9148.277 ]
 [9018.638 ]
 [9256.505 ]
 [9138.428 ]
 [8873.985 ]
 [8990.811 ]
 [9067.672 ]
 [9164.706 ]
 [9048.656 ]
 [8934.769 ]
 [9145.805 ]
 [9056.566 ]
 [9185.349 ]
 [9273.843 ]
 [9123.033 ]
 [9171.336 ]
 [9159.3955]
 [9158.37  ]
 [9125.531 ]
 [9301.207 ]
 [9119.127 ]
 [9150.504 ]
 [8897.082 ]
 [9039.366 ]
 [9163.806 ]
 [9065.429 ]
 [8883.162 ]
 [9212.409 ]
 [9066.438 ]
 [9309.685 ]
 [9183.786 ]
 [9225.392 ]
 [9159.923 ]
 [9073.412 ]
 [9168.275 ]
 [9129.102 ]
 [9109.62  ]
 [9114.571 ]
 [9177.2705]
 [9093.893 ]
 [9152.839 ]
 [9208.95  ]
 [8951.608 ]
 [9058.282 ]
 [9006.652 ]
 [9114.698 ]
 [9272.825 ]]"
10,"[[9593.572 ]
 [9724.964 ]
 [9703.704 ]
 [9217.5625]
 [9576.506 ]
 [9481.97  ]
 [9727.385 ]
 [9636.21  ]
 [9685.562 ]
 [9365.167 ]
 [9799.394 ]
 [9538.518 ]
 [9764.046 ]
 [9641.548 ]
 [9675.375 ]
 [9703.981 ]
 [9398.58  ]
 [9658.05  ]
 [9891.617 ]
 [9389.609 ]
 [9644.528 ]
 [9581.081 ]
 [9666.1875]
 [9896.409 ]
 [9389.167 ]
 [9618.026 ]
 [9550.949 ]
 [9624.251 ]
 [9550.68  ]
 [9777.142 ]
 [9577.848 ]
 [9737.141 ]
 [9412.702 ]
 [9380.793 ]
 [9722.716 ]
 [9498.726 ]
 [9748.141 ]
 [9628.321 ]
 [9608.7   ]
 [9884.735 ]
 [9457.035 ]
 [9616.079 ]
 [9491.504 ]
 [9856.172 ]
 [9349.924 ]
 [9391.88  ]
 [9533.363 ]
 [9613.842 ]
 [9504.96  ]
 [9457.787 ]
 [9527.9   ]
 [9607.696 ]
 [9715.668 ]
 [9748.76  ]
 [9665.501 ]
 [9420.02  ]
 [9588.401 ]
 [9736.178 ]
 [9506.239 ]
 [9580.85  ]
 [9533.012 ]
 [9327.255 ]
 [9687.438 ]
 [9525.941 ]
 [9736.307 ]
 [9698.103 ]
 [9604.272 ]
 [9613.594 ]
 [9603.118 ]
 [9525.411 ]
 [9642.808 ]
 [9700.062 ]
 [9530.385 ]
 [9533.528 ]
 [9500.526 ]
 [9560.311 ]
 [9420.852 ]
 [9718.34  ]
 [9418.659 ]
 [9812.689 ]
 [9687.154 ]
 [9438.4795]
 [9664.078 ]
 [9555.062 ]
 [9629.686 ]
 [9396.692 ]
 [9782.467 ]
 [9723.354 ]
 [9754.985 ]
 [9727.222 ]
 [9744.884 ]
 [9328.666 ]
 [9916.117 ]
 [9849.421 ]
 [9613.696 ]
 [9478.876 ]
 [9466.506 ]
 [9278.745 ]
 [9641.474 ]
 [9310.031 ]
 [9499.203 ]
 [9657.016 ]
 [9515.041 ]
 [9589.009 ]
 [9532.687 ]
 [9583.725 ]
 [9723.262 ]
 [9675.381 ]
 [9462.525 ]
 [9511.881 ]
 [9549.415 ]
 [9431.784 ]
 [9567.615 ]
 [9313.008 ]
 [9748.967 ]
 [9445.233 ]
 [9637.119 ]
 [9544.044 ]
 [9594.342 ]
 [9799.273 ]
 [9452.798 ]
 [9558.201 ]
 [9481.928 ]
 [9486.114 ]
 [9572.298 ]
 [9474.586 ]
 [9652.476 ]
 [9440.869 ]]"
