episode,total_reward
11,"[[442.30267]
 [414.9828 ]
 [485.40808]
 [558.0689 ]
 [521.1882 ]
 [438.8595 ]
 [368.93558]
 [386.6707 ]
 [495.06897]
 [414.96002]
 [577.1912 ]
 [449.65207]
 [499.28516]
 [488.58685]
 [495.1802 ]
 [312.16162]
 [405.5243 ]
 [528.2111 ]
 [441.0602 ]
 [430.7514 ]
 [415.02277]
 [482.11786]
 [483.97226]
 [486.34186]
 [597.4766 ]
 [494.20502]
 [391.68958]
 [446.67932]
 [394.5018 ]
 [421.1464 ]
 [474.3959 ]
 [338.32452]
 [461.15216]
 [512.4918 ]
 [435.2907 ]
 [468.25955]
 [459.26495]
 [389.6093 ]
 [388.6067 ]
 [385.46808]
 [508.76526]
 [503.01526]
 [426.86188]
 [457.80206]
 [511.0392 ]
 [489.86896]
 [486.67923]
 [585.9348 ]
 [350.84576]
 [440.06476]
 [471.28464]
 [505.7983 ]
 [402.66916]
 [448.52356]
 [570.96423]
 [591.57983]
 [427.39502]
 [526.962  ]
 [502.60828]
 [434.55676]
 [437.95334]
 [451.4676 ]
 [451.6634 ]
 [554.42786]]"
12,"[[486.2625 ]
 [570.61945]
 [441.40186]
 [478.71124]
 [504.42453]
 [555.23004]
 [488.7445 ]
 [537.04834]
 [544.02295]
 [515.06274]
 [590.6148 ]
 [605.60223]
 [502.72437]
 [595.1106 ]
 [493.67154]
 [590.03156]
 [425.96155]
 [510.56796]
 [444.83505]
 [470.9409 ]
 [542.37787]
 [498.60925]
 [573.90717]
 [473.6781 ]
 [493.0383 ]
 [389.973  ]
 [508.05988]
 [442.51385]
 [646.69336]
 [585.78467]
 [589.4358 ]
 [411.34943]
 [466.68817]
 [522.6898 ]
 [442.1999 ]
 [545.19257]
 [475.58426]
 [559.49176]
 [593.61096]
 [443.43243]
 [557.2957 ]
 [458.10727]
 [542.94275]
 [520.49286]
 [625.81464]
 [407.80582]
 [457.3554 ]
 [521.4636 ]
 [522.19464]
 [537.064  ]
 [459.68164]
 [435.8586 ]
 [469.382  ]
 [517.6619 ]
 [384.9945 ]
 [618.18823]
 [452.91632]
 [544.3652 ]
 [475.50433]
 [468.5852 ]
 [482.57242]
 [522.00757]
 [595.898  ]
 [582.8596 ]]"
13,"[[574.7646 ]
 [540.94714]
 [580.2708 ]
 [542.0236 ]
 [521.903  ]
 [587.7956 ]
 [605.1195 ]
 [532.97656]
 [514.60944]
 [476.17996]
 [510.8167 ]
 [465.77457]
 [562.1723 ]
 [560.2477 ]
 [596.75183]
 [567.81354]
 [472.79916]
 [635.0401 ]
 [624.77466]
 [481.6915 ]
 [558.9541 ]
 [611.92993]
 [547.3744 ]
 [551.7606 ]
 [557.36993]
 [564.9485 ]
 [490.3187 ]
 [461.8946 ]
 [512.5082 ]
 [663.5059 ]
 [574.53253]
 [592.76825]
 [673.0751 ]
 [681.5876 ]
 [423.32297]
 [604.1856 ]
 [560.6046 ]
 [540.4669 ]
 [638.68176]
 [510.19922]
 [603.573  ]
 [509.9713 ]
 [480.65402]
 [596.92664]
 [556.0109 ]
 [560.58673]
 [458.95132]
 [614.1396 ]
 [422.53482]
 [661.38165]
 [628.65845]
 [444.2849 ]
 [613.90186]
 [381.69733]
 [542.2017 ]
 [574.8563 ]
 [611.8782 ]
 [630.15216]
 [488.78635]
 [648.85767]
 [659.851  ]
 [623.9163 ]
 [442.99048]
 [593.2306 ]]"
14,"[[490.76437]
 [601.5746 ]
 [582.08813]
 [636.73846]
 [709.82886]
 [562.1033 ]
 [591.6079 ]
 [565.74023]
 [659.1865 ]
 [516.8008 ]
 [631.85974]
 [425.1049 ]
 [692.66064]
 [507.48767]
 [685.4527 ]
 [617.6395 ]
 [580.26306]
 [502.51645]
 [532.69226]
 [698.2059 ]
 [673.4572 ]
 [730.31696]
 [566.1924 ]
 [674.5425 ]
 [630.636  ]
 [683.19055]
 [522.68695]
 [612.53674]
 [601.4019 ]
 [586.75977]
 [744.3041 ]
 [543.42114]
 [650.1757 ]
 [574.98   ]
 [597.06287]
 [662.2074 ]
 [456.5692 ]
 [584.6577 ]
 [526.00885]
 [730.07184]
 [550.2718 ]
 [718.06226]
 [639.0424 ]
 [692.7311 ]
 [627.72614]
 [675.2085 ]
 [544.9879 ]
 [597.1448 ]
 [499.81787]
 [573.8171 ]
 [624.69586]
 [408.10672]
 [727.87256]
 [545.5212 ]
 [645.01263]
 [721.70074]
 [618.629  ]
 [490.3667 ]
 [683.6247 ]
 [694.094  ]
 [470.1012 ]
 [559.84045]
 [625.27094]
 [670.2782 ]]"
15,"[[592.8226 ]
 [739.32745]
 [765.279  ]
 [654.37714]
 [660.2971 ]
 [701.15686]
 [776.9193 ]
 [652.3614 ]
 [619.41077]
 [666.80096]
 [673.39484]
 [593.42535]
 [708.0719 ]
 [735.1126 ]
 [574.4767 ]
 [670.78973]
 [686.60486]
 [609.4581 ]
 [572.39746]
 [689.51154]
 [714.97345]
 [818.3268 ]
 [691.6188 ]
 [487.879  ]
 [762.45264]
 [748.5956 ]
 [567.9551 ]
 [619.77106]
 [823.07764]
 [513.8116 ]
 [715.9675 ]
 [726.95575]
 [698.3486 ]
 [678.56976]
 [627.32184]
 [659.6373 ]
 [768.5628 ]
 [587.6184 ]
 [648.0629 ]
 [710.4336 ]
 [658.4405 ]
 [628.20105]
 [530.92773]
 [770.5509 ]
 [627.4564 ]
 [483.51965]
 [716.93164]
 [706.5429 ]
 [467.31006]
 [831.6694 ]
 [524.84375]
 [491.68054]
 [599.462  ]
 [786.23486]
 [581.373  ]
 [625.16833]
 [532.8868 ]
 [511.0271 ]
 [555.2113 ]
 [643.45526]
 [550.8682 ]
 [708.6111 ]
 [566.517  ]
 [619.22345]]"
16,"[[686.86475]
 [655.5448 ]
 [679.1684 ]
 [691.9817 ]
 [602.97534]
 [658.0141 ]
 [741.272  ]
 [619.2776 ]
 [732.1958 ]
 [705.566  ]
 [631.81805]
 [697.89294]
 [774.821  ]
 [588.9688 ]
 [715.78   ]
 [660.01373]
 [706.99493]
 [648.5826 ]
 [671.8174 ]
 [618.4267 ]
 [615.6874 ]
 [597.6903 ]
 [670.74146]
 [651.35126]
 [793.97107]
 [829.1632 ]
 [776.4577 ]
 [707.8316 ]
 [598.0455 ]
 [719.7759 ]
 [769.2037 ]
 [546.6287 ]
 [639.28253]
 [601.4623 ]
 [847.56354]
 [704.6928 ]
 [591.84296]
 [641.5196 ]
 [746.78973]
 [749.66754]
 [853.4458 ]
 [765.4025 ]
 [800.3074 ]
 [741.97577]
 [814.3467 ]
 [647.0853 ]
 [805.32904]
 [646.67816]
 [630.7248 ]
 [700.479  ]
 [681.3459 ]
 [692.68317]
 [743.0619 ]
 [718.809  ]
 [886.98535]
 [730.3075 ]
 [927.75244]
 [781.75903]
 [701.35834]
 [687.58344]
 [733.3195 ]
 [749.9432 ]
 [802.8088 ]
 [581.58795]]"
17,"[[780.5929 ]
 [728.3853 ]
 [712.35175]
 [653.90656]
 [727.55725]
 [634.1957 ]
 [683.9193 ]
 [725.269  ]
 [570.7197 ]
 [731.7119 ]
 [661.0708 ]
 [706.8814 ]
 [830.3733 ]
 [693.2475 ]
 [797.2062 ]
 [778.8895 ]
 [821.75824]
 [858.5152 ]
 [778.9569 ]
 [595.9197 ]
 [691.9275 ]
 [708.7692 ]
 [627.42505]
 [826.7297 ]
 [818.51984]
 [615.9826 ]
 [815.8538 ]
 [828.7905 ]
 [678.12634]
 [897.2478 ]
 [612.1436 ]
 [853.78424]
 [626.9952 ]
 [783.4805 ]
 [724.0042 ]
 [658.07916]
 [708.31067]
 [936.4425 ]
 [742.3049 ]
 [973.08405]
 [829.7137 ]
 [712.3141 ]
 [717.75977]
 [713.0095 ]
 [794.05347]
 [710.784  ]
 [836.40924]
 [645.54395]
 [646.7886 ]
 [707.7516 ]
 [754.11414]
 [735.2825 ]
 [651.6105 ]
 [723.34845]
 [814.37604]
 [634.9065 ]
 [660.34985]
 [744.73755]
 [663.7154 ]
 [587.4056 ]
 [719.1871 ]
 [677.49146]
 [710.6705 ]
 [884.87744]]"
18,"[[739.15155]
 [731.58136]
 [631.04236]
 [714.5016 ]
 [704.63916]
 [788.6814 ]
 [847.35736]
 [934.2734 ]
 [590.2008 ]
 [942.5382 ]
 [765.90125]
 [879.1275 ]
 [817.8733 ]
 [818.0104 ]
 [902.69006]
 [767.2794 ]
 [661.9973 ]
 [876.1288 ]
 [720.78394]
 [782.5327 ]
 [698.9254 ]
 [706.63135]
 [883.632  ]
 [872.9175 ]
 [874.8578 ]
 [937.00775]
 [771.1354 ]
 [675.6476 ]
 [838.92847]
 [735.0019 ]
 [787.5542 ]
 [754.8018 ]
 [762.9501 ]
 [685.7631 ]
 [766.08093]
 [972.14984]
 [922.49524]
 [624.41724]
 [605.21326]
 [806.6015 ]
 [775.39496]
 [848.0482 ]
 [624.8811 ]
 [810.1652 ]
 [878.0378 ]
 [866.18256]
 [795.16895]
 [774.42786]
 [922.3673 ]
 [852.36365]
 [864.25226]
 [761.4338 ]
 [800.5723 ]
 [722.49207]
 [816.8083 ]
 [849.7469 ]
 [852.5823 ]
 [650.8869 ]
 [895.1585 ]
 [953.09247]
 [777.9703 ]
 [855.64636]
 [642.42645]
 [952.48   ]]"
19,"[[ 700.5905 ]
 [ 746.62146]
 [ 751.30774]
 [ 798.88214]
 [ 825.14636]
 [ 795.39087]
 [ 797.04175]
 [ 829.39197]
 [ 991.57446]
 [ 906.33154]
 [ 931.2823 ]
 [ 788.2929 ]
 [ 846.8517 ]
 [ 882.73834]
 [ 840.57544]
 [ 965.4    ]
 [ 772.30475]
 [ 882.5369 ]
 [ 940.80194]
 [ 795.0202 ]
 [ 754.0202 ]
 [ 975.6276 ]
 [ 873.1107 ]
 [ 690.3186 ]
 [ 864.2987 ]
 [ 779.3028 ]
 [ 853.3391 ]
 [ 831.76337]
 [ 937.2906 ]
 [ 705.79   ]
 [ 993.08636]
 [ 736.0087 ]
 [ 780.5252 ]
 [ 797.37415]
 [ 699.32855]
 [ 771.40686]
 [ 846.49567]
 [ 790.47205]
 [ 786.88293]
 [ 677.598  ]
 [ 805.4718 ]
 [ 819.557  ]
 [ 921.3924 ]
 [1071.6191 ]
 [ 742.22015]
 [1005.88464]
 [ 689.45636]
 [ 745.8205 ]
 [ 847.2272 ]
 [ 935.5506 ]
 [1098.605  ]
 [ 642.0527 ]
 [ 723.0711 ]
 [ 922.60046]
 [ 791.83765]
 [ 698.5559 ]
 [ 912.2189 ]
 [ 786.2553 ]
 [ 611.91003]
 [ 744.42334]
 [ 865.032  ]
 [ 877.36444]
 [1084.4795 ]
 [ 876.8262 ]]"
20,"[[ 929.214  ]
 [ 794.196  ]
 [ 823.9937 ]
 [ 949.7509 ]
 [ 835.1332 ]
 [ 873.09143]
 [ 813.926  ]
 [ 925.7393 ]
 [1153.1703 ]
 [ 926.66956]
 [ 800.44806]
 [1025.6505 ]
 [ 908.43915]
 [ 746.1659 ]
 [ 941.6318 ]
 [ 849.9065 ]
 [ 991.736  ]
 [ 921.07776]
 [ 895.3497 ]
 [1000.7318 ]
 [1060.9833 ]
 [1073.5214 ]
 [ 910.2931 ]
 [ 912.7664 ]
 [ 972.5503 ]
 [ 740.3019 ]
 [ 972.1817 ]
 [1121.7964 ]
 [1035.1649 ]
 [ 931.094  ]
 [ 872.86273]
 [ 886.0871 ]
 [1129.7755 ]
 [ 808.86926]
 [ 820.1431 ]
 [ 872.16846]
 [ 917.6779 ]
 [ 753.6086 ]
 [ 727.43896]
 [ 985.06964]
 [1023.1529 ]
 [ 949.31085]
 [ 857.00867]
 [ 833.9757 ]
 [ 765.762  ]
 [ 931.51654]
 [1044.5573 ]
 [1233.5927 ]
 [1039.5819 ]
 [ 732.01184]
 [ 773.7695 ]
 [ 879.0382 ]
 [ 822.7241 ]
 [ 845.837  ]
 [ 877.0836 ]
 [ 901.2732 ]
 [ 748.1335 ]
 [ 916.218  ]
 [ 869.78625]
 [ 914.10034]
 [1036.6581 ]
 [ 914.0882 ]
 [ 881.8524 ]
 [ 894.3508 ]]"
