episode,total_reward
1,"[[2.7315571]
 [2.6271677]
 [2.4624727]
 [3.381306 ]
 [2.807701 ]
 [2.9821754]
 [3.0730076]
 [3.3341014]
 [3.6213815]
 [2.5920672]
 [3.071936 ]
 [2.75162  ]
 [2.8185475]
 [2.511954 ]
 [2.8383672]
 [2.6706219]
 [2.5620294]
 [3.5519476]
 [3.1591594]
 [2.4898686]
 [3.2680292]
 [2.5583832]
 [3.5246878]
 [3.0727525]
 [3.3297236]
 [3.192351 ]
 [2.6276157]
 [3.3182156]
 [2.7120245]
 [3.671684 ]
 [2.9042048]
 [3.225831 ]
 [2.6967194]
 [2.3591878]
 [2.5337172]
 [2.621086 ]
 [3.3416905]
 [3.0173736]
 [2.7239017]
 [3.1113145]
 [2.867524 ]
 [2.6914363]
 [3.3222382]
 [3.0142932]
 [3.1832244]
 [2.588448 ]
 [2.4282613]
 [3.570681 ]
 [3.3268106]
 [2.9029565]
 [2.3957155]
 [2.9332223]
 [2.4267495]
 [3.1975658]
 [2.648372 ]
 [2.5002158]
 [2.9722352]
 [2.7616966]
 [2.320888 ]
 [3.657505 ]
 [2.8212876]
 [2.4976478]
 [3.5034902]
 [2.6053987]
 [2.5056572]
 [3.1376991]
 [3.3350532]
 [2.8038144]
 [2.9266746]
 [2.9067063]
 [3.171254 ]
 [3.9103267]
 [2.8166797]
 [2.8394253]
 [3.0856972]
 [2.7206397]
 [3.3531516]
 [3.0536413]
 [2.56689  ]
 [2.8193116]
 [3.0094361]
 [2.9082165]
 [2.9015372]
 [2.5353992]
 [2.6307597]
 [2.7528918]
 [3.5842292]
 [2.7639897]
 [2.5003068]
 [2.7080588]
 [2.9672656]
 [2.6817484]
 [3.1400473]
 [2.7156355]
 [3.1203535]
 [3.0412533]
 [3.4793897]
 [2.707262 ]
 [2.9317164]
 [2.7524543]
 [2.9985094]
 [3.0940444]
 [2.9704077]
 [2.5745358]
 [2.576183 ]
 [3.2173789]
 [2.7626095]
 [2.6002355]
 [2.9283996]
 [3.0155387]
 [3.6092603]
 [2.4101744]
 [3.0787818]
 [2.9280276]
 [2.3523147]
 [3.0526545]
 [2.7296872]
 [2.262997 ]
 [3.254021 ]
 [3.6282568]
 [2.856871 ]
 [2.8969114]
 [2.8007922]
 [3.1058402]
 [2.8788435]
 [3.2554338]
 [2.9478521]
 [3.0999339]]"
2,"[[137.44429]
 [145.82823]
 [136.68053]
 [134.3843 ]
 [134.23958]
 [141.19379]
 [138.72624]
 [139.52406]
 [138.99194]
 [131.71814]
 [140.06557]
 [141.9938 ]
 [137.6563 ]
 [137.66585]
 [140.08492]
 [141.12474]
 [134.66112]
 [137.54567]
 [136.89957]
 [139.69795]
 [135.50575]
 [138.40782]
 [136.62083]
 [141.20673]
 [134.78954]
 [138.81056]
 [128.79726]
 [138.06313]
 [140.05048]
 [129.67136]
 [131.60585]
 [138.78592]
 [138.69461]
 [138.2755 ]
 [134.7104 ]
 [143.57823]
 [145.91708]
 [134.9269 ]
 [146.08238]
 [140.36877]
 [138.96329]
 [135.03696]
 [135.26479]
 [138.39786]
 [131.07417]
 [136.22487]
 [143.84279]
 [137.91502]
 [133.63399]
 [135.22714]
 [132.93716]
 [143.29347]
 [137.75687]
 [140.79417]
 [136.15025]
 [137.84396]
 [139.96777]
 [139.2002 ]
 [143.08138]
 [140.70123]
 [144.15358]
 [136.54843]
 [131.6263 ]
 [138.54974]
 [134.38058]
 [143.36191]
 [138.44783]
 [131.3131 ]
 [142.18788]
 [136.06047]
 [140.27654]
 [138.64423]
 [134.97343]
 [134.29993]
 [137.64662]
 [135.05031]
 [140.22699]
 [140.57927]
 [136.69922]
 [136.04468]
 [133.39894]
 [139.99666]
 [142.271  ]
 [139.58693]
 [132.40613]
 [136.16454]
 [137.90744]
 [136.39888]
 [140.34836]
 [136.06326]
 [135.12553]
 [136.3955 ]
 [135.79053]
 [139.57976]
 [144.03801]
 [136.57312]
 [141.18149]
 [134.17026]
 [133.4091 ]
 [142.02278]
 [136.81532]
 [130.91484]
 [135.94046]
 [138.06111]
 [136.29332]
 [135.0643 ]
 [142.18166]
 [136.96922]
 [144.62782]
 [134.58095]
 [135.71663]
 [137.10597]
 [135.7395 ]
 [140.28282]
 [142.81668]
 [136.12538]
 [137.75241]
 [130.69624]
 [132.90762]
 [146.1386 ]
 [128.8075 ]
 [137.79103]
 [134.2916 ]
 [138.8808 ]
 [142.85527]
 [136.6883 ]
 [135.64111]
 [142.74065]]"
3,"[[301.58917]
 [307.9955 ]
 [298.74374]
 [305.21103]
 [313.32214]
 [294.33487]
 [304.72455]
 [295.01892]
 [305.7628 ]
 [297.82394]
 [316.4124 ]
 [305.2892 ]
 [306.09326]
 [323.03476]
 [304.0734 ]
 [313.36368]
 [310.44748]
 [310.14075]
 [298.7551 ]
 [304.2321 ]
 [297.7712 ]
 [305.39914]
 [299.85504]
 [301.68524]
 [296.1991 ]
 [321.98624]
 [301.7873 ]
 [320.61295]
 [296.52335]
 [314.6894 ]
 [299.9578 ]
 [307.74042]
 [306.38574]
 [307.1858 ]
 [308.1498 ]
 [308.45523]
 [313.35718]
 [309.83093]
 [304.08536]
 [314.63394]
 [303.2951 ]
 [300.86624]
 [307.9834 ]
 [301.495  ]
 [297.1172 ]
 [308.98096]
 [306.51486]
 [292.19928]
 [288.69427]
 [304.17227]
 [310.13074]
 [319.72955]
 [294.67963]
 [322.47858]
 [303.1611 ]
 [304.70874]
 [305.73782]
 [314.36298]
 [298.7948 ]
 [306.41513]
 [307.39005]
 [312.50162]
 [308.40298]
 [309.50198]
 [299.54895]
 [311.26102]
 [321.85013]
 [320.65097]
 [304.0447 ]
 [303.7056 ]
 [309.1314 ]
 [319.8317 ]
 [299.52118]
 [305.72287]
 [306.64587]
 [304.59296]
 [303.94382]
 [313.66675]
 [310.98618]
 [319.46738]
 [301.9518 ]
 [305.9538 ]
 [304.78772]
 [305.92944]
 [303.56995]
 [312.77655]
 [318.57397]
 [325.0341 ]
 [319.8542 ]
 [310.1989 ]
 [307.88818]
 [314.40823]
 [323.44778]
 [316.80164]
 [302.0017 ]
 [317.3596 ]
 [304.49252]
 [320.75793]
 [312.92358]
 [305.63278]
 [308.23776]
 [312.56403]
 [322.23227]
 [307.41083]
 [309.4335 ]
 [308.4288 ]
 [317.41623]
 [310.18057]
 [296.49014]
 [295.03342]
 [279.0959 ]
 [313.24265]
 [297.45294]
 [305.41776]
 [302.0388 ]
 [304.05643]
 [318.16867]
 [310.0479 ]
 [306.01202]
 [312.47067]
 [305.4181 ]
 [310.76447]
 [296.8638 ]
 [291.03485]
 [314.57935]
 [307.63638]
 [315.20984]
 [301.10458]]"
4,"[[303.76743]
 [309.3818 ]
 [285.42587]
 [298.84833]
 [229.66724]
 [266.047  ]
 [322.90744]
 [288.241  ]
 [343.7177 ]
 [290.26694]
 [283.0022 ]
 [294.83105]
 [245.56523]
 [308.16714]
 [326.2918 ]
 [296.76114]
 [310.051  ]
 [324.6074 ]
 [271.64423]
 [318.12704]
 [263.1436 ]
 [303.88354]
 [242.32954]
 [268.8701 ]
 [310.7539 ]
 [308.57993]
 [321.4994 ]
 [321.56387]
 [287.009  ]
 [249.97845]
 [303.79333]
 [320.66766]
 [294.19144]
 [252.31166]
 [311.37128]
 [319.88275]
 [270.4216 ]
 [340.83905]
 [246.13995]
 [315.50748]
 [259.62607]
 [264.18564]
 [279.00198]
 [322.87875]
 [262.03577]
 [262.72427]
 [316.79242]
 [286.5495 ]
 [283.33075]
 [283.33295]
 [283.96173]
 [280.86432]
 [300.2785 ]
 [286.03818]
 [281.55948]
 [251.74205]
 [238.36862]
 [320.8646 ]
 [325.81284]
 [329.57776]
 [300.23474]
 [300.36404]
 [295.88144]
 [328.9279 ]
 [295.70694]
 [286.08826]
 [296.664  ]
 [266.7758 ]
 [318.50476]
 [324.6323 ]
 [285.48633]
 [265.92917]
 [237.18417]
 [353.01355]
 [264.44208]
 [308.28314]
 [243.98192]
 [330.5766 ]
 [356.39383]
 [240.92934]
 [273.20404]
 [271.24045]
 [267.6407 ]
 [302.262  ]
 [332.6239 ]
 [320.90045]
 [281.65247]
 [314.25674]
 [264.7317 ]
 [311.89127]
 [253.55692]
 [248.38638]
 [346.5154 ]
 [314.24933]
 [336.35507]
 [331.65906]
 [282.9112 ]
 [275.344  ]
 [274.5921 ]
 [346.24374]
 [312.85455]
 [263.82584]
 [275.26843]
 [317.5604 ]
 [260.8425 ]
 [305.43707]
 [294.6168 ]
 [325.9562 ]
 [300.64697]
 [341.12958]
 [318.10754]
 [277.80692]
 [305.01422]
 [337.73523]
 [312.3591 ]
 [285.6864 ]
 [266.91406]
 [292.41257]
 [295.2423 ]
 [270.2151 ]
 [261.1428 ]
 [261.58823]
 [308.01508]
 [305.06918]
 [341.09003]
 [278.1677 ]
 [269.2035 ]
 [321.96832]]"
5,"[[123.3043  ]
 [205.03743 ]
 [190.89151 ]
 [234.68903 ]
 [181.33171 ]
 [281.24362 ]
 [298.25183 ]
 [143.09964 ]
 [193.84015 ]
 [335.3092  ]
 [268.72958 ]
 [161.13887 ]
 [264.774   ]
 [244.30156 ]
 [213.58867 ]
 [105.589005]
 [207.3413  ]
 [171.5658  ]
 [188.48253 ]
 [145.27475 ]
 [234.24149 ]
 [155.37538 ]
 [237.05272 ]
 [232.89998 ]
 [222.99161 ]
 [243.60962 ]
 [196.53677 ]
 [193.85681 ]
 [132.1868  ]
 [255.69142 ]
 [195.76979 ]
 [201.6591  ]
 [201.70866 ]
 [252.04066 ]
 [204.0178  ]
 [229.28008 ]
 [145.2802  ]
 [216.81326 ]
 [224.41904 ]
 [255.41167 ]
 [203.94034 ]
 [232.65105 ]
 [201.8627  ]
 [198.25722 ]
 [187.27055 ]
 [233.93573 ]
 [213.05096 ]
 [203.29631 ]
 [242.87547 ]
 [187.66315 ]
 [124.98447 ]
 [256.41202 ]
 [168.39745 ]
 [209.38036 ]
 [228.97841 ]
 [260.95187 ]
 [170.20007 ]
 [215.36488 ]
 [199.97452 ]
 [196.81413 ]
 [207.55693 ]
 [130.88109 ]
 [105.14299 ]
 [225.17223 ]
 [179.27551 ]
 [146.9596  ]
 [204.6831  ]
 [188.42673 ]
 [282.6129  ]
 [254.69774 ]
 [121.79646 ]
 [180.07059 ]
 [138.70155 ]
 [174.23796 ]
 [226.27104 ]
 [253.72495 ]
 [185.7295  ]
 [196.33496 ]
 [126.778   ]
 [194.76953 ]
 [183.49727 ]
 [247.86118 ]
 [263.67035 ]
 [177.32333 ]
 [155.22731 ]
 [217.18361 ]
 [212.00262 ]
 [253.3992  ]
 [183.0086  ]
 [139.37624 ]
 [183.15813 ]
 [191.17038 ]
 [297.60925 ]
 [244.59329 ]
 [303.39874 ]
 [162.23982 ]
 [212.35701 ]
 [166.04572 ]
 [224.66264 ]
 [256.61697 ]
 [178.16904 ]
 [242.92065 ]
 [167.62675 ]
 [311.82114 ]
 [210.25879 ]
 [197.50117 ]
 [233.26566 ]
 [199.15527 ]
 [229.4562  ]
 [324.17566 ]
 [200.12608 ]
 [251.11253 ]
 [222.22784 ]
 [272.15012 ]
 [304.19052 ]
 [179.96695 ]
 [257.82727 ]
 [251.74312 ]
 [ 72.669   ]
 [272.6865  ]
 [145.37804 ]
 [120.01307 ]
 [210.80807 ]
 [112.665955]
 [205.72644 ]
 [188.02553 ]
 [190.43092 ]
 [176.46402 ]]"
6,"[[151.44952  ]
 [-16.891762 ]
 [ 54.529484 ]
 [ 69.78618  ]
 [116.91488  ]
 [ 38.2621   ]
 [ 20.666859 ]
 [ 18.88232  ]
 [ 21.071344 ]
 [ 54.41016  ]
 [-34.710247 ]
 [ 48.836205 ]
 [ 74.9559   ]
 [-11.9388275]
 [ 68.82988  ]
 [ 38.451138 ]
 [-23.310492 ]
 [-26.462807 ]
 [-17.2334   ]
 [ 70.416214 ]
 [ 46.929512 ]
 [144.6697   ]
 [138.15213  ]
 [108.01498  ]
 [ 26.241016 ]
 [ 86.849    ]
 [ 99.76063  ]
 [ 84.42551  ]
 [ 76.225746 ]
 [ 16.1543   ]
 [ 92.91876  ]
 [  7.967872 ]
 [ 52.03303  ]
 [ 44.558548 ]
 [ 91.91317  ]
 [175.00513  ]
 [-17.108028 ]
 [ 47.74165  ]
 [ 70.1435   ]
 [147.76886  ]
 [169.9988   ]
 [ 43.352142 ]
 [132.81598  ]
 [ 18.468262 ]
 [130.33607  ]
 [238.86658  ]
 [ 26.5707   ]
 [ 54.72245  ]
 [ 80.739746 ]
 [ 32.42808  ]
 [ 77.88996  ]
 [  4.6355786]
 [-46.73264  ]
 [110.78892  ]
 [134.167    ]
 [ 34.77939  ]
 [ 62.111717 ]
 [143.34431  ]
 [-11.666396 ]
 [130.38507  ]
 [ 47.63452  ]
 [119.39059  ]
 [218.51518  ]
 [  4.2710075]
 [194.22922  ]
 [101.11722  ]
 [ 22.763023 ]
 [268.46445  ]
 [-31.830078 ]
 [ 10.015482 ]
 [ 98.36216  ]
 [165.4837   ]
 [  9.575996 ]
 [109.384315 ]
 [129.2831   ]
 [ 65.94666  ]
 [189.59215  ]
 [142.14682  ]
 [ -6.2195954]
 [125.50247  ]
 [-60.812637 ]
 [155.44818  ]
 [  6.238682 ]
 [160.30238  ]
 [157.73856  ]
 [-61.89708  ]
 [ 38.003036 ]
 [117.077324 ]
 [124.20565  ]
 [161.0981   ]
 [  9.726585 ]
 [ 97.42209  ]
 [ 35.24051  ]
 [ 62.59291  ]
 [ 98.57199  ]
 [-16.891161 ]
 [-85.31455  ]
 [125.41771  ]
 [ 38.10916  ]
 [-62.75967  ]
 [148.88545  ]
 [101.64322  ]
 [ 63.828495 ]
 [ 49.69397  ]
 [125.93141  ]
 [ 54.184387 ]
 [-43.418392 ]
 [167.28804  ]
 [ 21.248255 ]
 [-35.216976 ]
 [ 40.343613 ]
 [ 66.14566  ]
 [154.31488  ]
 [ 58.098915 ]
 [ 90.07026  ]
 [142.93526  ]
 [148.50934  ]
 [156.06223  ]
 [ 79.20735  ]
 [ 94.2767   ]
 [159.6578   ]
 [139.43205  ]
 [-34.761765 ]
 [ 90.754425 ]
 [149.87029  ]
 [157.8287   ]
 [130.63565  ]
 [108.66095  ]]"
7,"[[-240.78287   ]
 [  10.713562  ]
 [ -84.13424   ]
 [ 159.37064   ]
 [-179.353     ]
 [ -32.43866   ]
 [  22.263496  ]
 [ -83.464264  ]
 [-127.59694   ]
 [   0.96916246]
 [-102.60404   ]
 [ -39.04171   ]
 [ -30.1059    ]
 [ -43.338593  ]
 [-142.96779   ]
 [ -24.927195  ]
 [ -27.13762   ]
 [ -97.31081   ]
 [   8.540349  ]
 [ -69.13127   ]
 [-159.6486    ]
 [-229.7901    ]
 [  12.670961  ]
 [ -71.47496   ]
 [-212.08649   ]
 [ -96.483     ]
 [ -13.633005  ]
 [-130.35005   ]
 [ -13.404167  ]
 [-118.10484   ]
 [  30.65316   ]
 [  44.777275  ]
 [ -18.304329  ]
 [ -14.636036  ]
 [ -99.18655   ]
 [ -45.311306  ]
 [ -59.31496   ]
 [  -1.6981659 ]
 [-260.71848   ]
 [-154.02422   ]
 [  33.29325   ]
 [   7.8810816 ]
 [ -85.01471   ]
 [  43.822037  ]
 [-219.08557   ]
 [  23.363392  ]
 [  36.527603  ]
 [-130.89207   ]
 [ -67.62207   ]
 [-223.50586   ]
 [  33.31948   ]
 [-204.85513   ]
 [ -57.522804  ]
 [ -55.107056  ]
 [ -64.81059   ]
 [-104.182175  ]
 [-286.85794   ]
 [-141.24516   ]
 [ -91.0612    ]
 [ -12.714528  ]
 [-194.57158   ]
 [-184.18253   ]
 [-186.42407   ]
 [-179.28625   ]
 [ -75.4447    ]
 [ -43.294468  ]
 [-283.5533    ]
 [ -15.093739  ]
 [-171.41518   ]
 [  76.96124   ]
 [-130.31136   ]
 [-105.15953   ]
 [-111.714676  ]
 [  23.620758  ]
 [ -87.9366    ]
 [  74.97866   ]
 [ -57.678406  ]
 [ -76.71205   ]
 [  61.01107   ]
 [ -88.66801   ]
 [  30.745178  ]
 [  40.80077   ]
 [ -68.87377   ]
 [ -84.95018   ]
 [ -52.375004  ]
 [-117.856926  ]
 [-175.45773   ]
 [-126.06005   ]
 [ -72.19243   ]
 [  50.73763   ]
 [-182.21739   ]
 [ -14.25667   ]
 [-174.71901   ]
 [ -72.3441    ]
 [-258.33887   ]
 [ -32.71032   ]
 [  47.624367  ]
 [-174.28342   ]
 [ -36.334984  ]
 [-105.51278   ]
 [ -19.623241  ]
 [-117.065506  ]
 [ -21.23926   ]
 [  27.442236  ]
 [  54.83992   ]
 [ -90.86936   ]
 [-156.29996   ]
 [-102.446396  ]
 [ -70.733505  ]
 [ -95.888535  ]
 [ -33.6887    ]
 [  56.370377  ]
 [ -21.402054  ]
 [ -63.27742   ]
 [ -68.96965   ]
 [-109.33453   ]
 [  14.368904  ]
 [ -41.293213  ]
 [ -27.0032    ]
 [ -61.21538   ]
 [-234.7766    ]
 [ -76.91175   ]
 [ -88.817566  ]
 [ -80.510315  ]
 [-173.88228   ]
 [ -69.072586  ]
 [ -13.871129  ]
 [ -37.770798  ]]"
8,"[[ -46.909435]
 [-334.04517 ]
 [-400.76978 ]
 [-265.68137 ]
 [-266.20184 ]
 [-359.1379  ]
 [-205.35933 ]
 [-236.4529  ]
 [-159.7972  ]
 [-196.9768  ]
 [-283.21768 ]
 [-211.8326  ]
 [-373.7478  ]
 [-489.9098  ]
 [-191.70259 ]
 [-263.8718  ]
 [-216.27748 ]
 [-351.23587 ]
 [-125.79882 ]
 [-178.56749 ]
 [-462.30276 ]
 [-184.64653 ]
 [ -64.40345 ]
 [-405.85245 ]
 [ -32.586597]
 [  -7.388528]
 [-112.72159 ]
 [-251.15567 ]
 [-231.0155  ]
 [-134.77922 ]
 [ -24.513746]
 [-308.1981  ]
 [-271.10565 ]
 [  32.290867]
 [-282.28616 ]
 [-378.17047 ]
 [-231.18205 ]
 [ -68.462845]
 [-100.52807 ]
 [-196.398   ]
 [-123.22714 ]
 [-285.77975 ]
 [-160.55078 ]
 [-311.41486 ]
 [-140.6955  ]
 [-266.65637 ]
 [-144.09863 ]
 [-233.62369 ]
 [-246.22565 ]
 [-163.52013 ]
 [-328.70615 ]
 [-156.01346 ]
 [-418.98337 ]
 [-277.19354 ]
 [-281.28275 ]
 [-119.12873 ]
 [-288.93613 ]
 [-199.3774  ]
 [-162.2301  ]
 [-421.29    ]
 [ 104.789635]
 [-257.94998 ]
 [-115.39494 ]
 [-361.09924 ]
 [-347.997   ]
 [-235.99771 ]
 [ -17.548117]
 [-394.45782 ]
 [-212.29408 ]
 [-294.82578 ]
 [-416.9384  ]
 [-144.62888 ]
 [-148.66756 ]
 [-194.90802 ]
 [ -90.953384]
 [-365.8357  ]
 [ -20.56086 ]
 [-138.56166 ]
 [-312.0867  ]
 [-292.75754 ]
 [-299.7189  ]
 [-179.02518 ]
 [-167.81766 ]
 [-198.6922  ]
 [-145.6471  ]
 [-280.01117 ]
 [-143.50195 ]
 [ -49.178566]
 [-217.99507 ]
 [-133.21008 ]
 [-126.04129 ]
 [-391.7536  ]
 [ -73.50819 ]
 [ -56.594414]
 [-273.4079  ]
 [-266.04688 ]
 [-246.52803 ]
 [-120.047905]
 [-232.63893 ]
 [-198.8641  ]
 [-267.17883 ]
 [-145.66249 ]
 [ -56.409805]
 [-357.0846  ]
 [-352.31116 ]
 [-237.44998 ]
 [-329.7482  ]
 [-308.043   ]
 [-188.67415 ]
 [-199.96277 ]
 [ -38.26887 ]
 [-283.43466 ]
 [-187.1484  ]
 [-356.8624  ]
 [-208.06017 ]
 [-260.71103 ]
 [-320.651   ]
 [-324.85367 ]
 [-230.20023 ]
 [-207.17247 ]
 [-172.33388 ]
 [ -88.961044]
 [-280.3683  ]
 [-104.377975]
 [-185.5675  ]
 [-242.5722  ]
 [ -66.909874]
 [-160.85197 ]]"
9,"[[-341.4811 ]
 [-321.7859 ]
 [-200.90836]
 [-283.2663 ]
 [-319.02698]
 [-207.61708]
 [-257.61768]
 [-393.62207]
 [-222.56818]
 [-293.4876 ]
 [-465.35956]
 [-383.5743 ]
 [-427.25537]
 [-466.43002]
 [-205.62555]
 [-392.736  ]
 [-337.3023 ]
 [-384.7252 ]
 [-426.17984]
 [-327.38635]
 [-287.72812]
 [-366.8696 ]
 [-638.07623]
 [-277.6774 ]
 [-414.74442]
 [-378.05023]
 [-333.01163]
 [-408.5091 ]
 [-218.10895]
 [-492.28897]
 [-210.28683]
 [-373.20395]
 [-453.7738 ]
 [-668.1227 ]
 [-449.32043]
 [-412.74518]
 [-317.89584]
 [-350.59058]
 [-135.74355]
 [-301.84717]
 [-273.84933]
 [-291.2936 ]
 [-578.43066]
 [-266.7204 ]
 [-421.18988]
 [-484.34662]
 [-315.03427]
 [-319.7935 ]
 [-377.18445]
 [-574.4633 ]
 [-509.85153]
 [-374.13657]
 [-437.5493 ]
 [-262.79895]
 [-213.72913]
 [-330.3937 ]
 [-302.75327]
 [-521.61316]
 [-508.40244]
 [-276.39984]
 [-391.12305]
 [-450.79315]
 [-199.69084]
 [-306.9528 ]
 [-432.2209 ]
 [-525.5565 ]
 [-238.29143]
 [-229.35265]
 [-295.3131 ]
 [-235.11234]
 [-352.42776]
 [-265.8971 ]
 [-377.92566]
 [-128.07138]
 [-218.40623]
 [-377.55652]
 [-475.5402 ]
 [-428.95544]
 [-273.5634 ]
 [-433.9043 ]
 [-478.8662 ]
 [-503.89774]
 [-331.89066]
 [-114.85501]
 [-293.50644]
 [-432.41116]
 [-356.60693]
 [-751.25433]
 [-391.95142]
 [-400.58685]
 [-216.01001]
 [-147.64339]
 [-549.81683]
 [-371.60498]
 [-458.14062]
 [-397.3858 ]
 [-254.50128]
 [-525.6041 ]
 [-422.00156]
 [-299.26837]
 [-697.1839 ]
 [-300.1873 ]
 [-637.8569 ]
 [-283.94327]
 [-237.55559]
 [-536.5065 ]
 [-280.36157]
 [-568.16455]
 [-539.3145 ]
 [-720.11346]
 [-265.56125]
 [-474.56772]
 [-285.2009 ]
 [-730.7216 ]
 [-314.34802]
 [-419.25467]
 [-269.216  ]
 [-198.24403]
 [-257.226  ]
 [-248.54457]
 [-475.82114]
 [-282.00137]
 [-468.45355]
 [-310.38757]
 [-553.82605]
 [-154.34268]
 [-364.4248 ]
 [-265.15897]]"
10,"[[-599.2336 ]
 [-800.84485]
 [-378.65674]
 [-427.2132 ]
 [-498.2386 ]
 [-449.95538]
 [-483.9258 ]
 [-548.2212 ]
 [-552.89417]
 [-609.9292 ]
 [-663.6722 ]
 [-630.8911 ]
 [-698.91205]
 [-624.5119 ]
 [-604.5504 ]
 [-633.07166]
 [-624.2816 ]
 [-550.1866 ]
 [-666.22614]
 [-736.7213 ]
 [-497.2783 ]
 [-670.66724]
 [-508.50507]
 [-425.74362]
 [-258.16367]
 [-402.92456]
 [-269.76343]
 [-675.7196 ]
 [-772.73126]
 [-529.30005]
 [-416.73218]
 [-436.35025]
 [-560.9243 ]
 [-480.6721 ]
 [-807.442  ]
 [-703.8121 ]
 [-570.83344]
 [-498.6425 ]
 [-650.5577 ]
 [-489.5886 ]
 [-579.70953]
 [-480.10822]
 [-280.8538 ]
 [-670.0962 ]
 [-662.839  ]
 [-750.245  ]
 [-365.04355]
 [-541.3908 ]
 [-385.12473]
 [-493.23608]
 [-462.32883]
 [-387.08844]
 [-634.16626]
 [-606.06714]
 [-761.15564]
 [-496.1795 ]
 [-401.13922]
 [-585.74115]
 [-644.0258 ]
 [-467.53223]
 [-803.0649 ]
 [-510.4946 ]
 [-645.8455 ]
 [-527.34503]
 [-582.62415]
 [-613.6056 ]
 [-671.8854 ]
 [-682.6107 ]
 [-725.47156]
 [-516.6085 ]
 [-384.4067 ]
 [-433.8311 ]
 [-447.58807]
 [-590.9974 ]
 [-372.28058]
 [-636.92957]
 [-674.7845 ]
 [-687.2706 ]
 [-313.89487]
 [-424.91074]
 [-373.13574]
 [-713.4071 ]
 [-620.7962 ]
 [-417.82297]
 [-649.60016]
 [-664.0263 ]
 [-571.37164]
 [-648.55743]
 [-409.08026]
 [-629.5222 ]
 [-656.4511 ]
 [-490.45627]
 [-416.04572]
 [-608.5536 ]
 [-601.03143]
 [-312.29993]
 [-529.9627 ]
 [-594.8164 ]
 [-515.39056]
 [-666.6218 ]
 [-425.2693 ]
 [-634.5142 ]
 [-631.8861 ]
 [-654.9889 ]
 [-616.3617 ]
 [-751.7434 ]
 [-395.09488]
 [-502.8983 ]
 [-557.8726 ]
 [-570.5822 ]
 [-460.1473 ]
 [-462.4142 ]
 [-583.59375]
 [-436.44922]
 [-448.47772]
 [-372.11285]
 [-307.13644]
 [-372.80933]
 [-454.00015]
 [-866.8679 ]
 [-831.0982 ]
 [-542.67267]
 [-328.8253 ]
 [-363.67838]
 [-693.34125]
 [-647.6662 ]
 [-386.45474]
 [-715.6578 ]]"
