episode,total_reward
1,"[[-251.77638]
 [-236.50381]
 [-257.75363]
 [-254.22687]
 [-256.85388]
 [-258.78986]
 [-257.99704]
 [-253.04877]
 [-255.0471 ]
 [-256.5442 ]
 [-258.33395]
 [-257.91708]
 [-258.20624]
 [-258.48886]
 [-258.65588]
 [-259.15585]
 [-259.5422 ]
 [-259.88443]
 [-260.20444]
 [-260.5098 ]
 [-260.84293]
 [-261.16144]
 [-261.4697 ]
 [-261.75534]
 [-262.0462 ]
 [-262.3713 ]
 [-262.66403]
 [-263.0037 ]
 [-263.23004]
 [-263.53946]
 [-263.7994 ]
 [-264.14062]
 [-264.23462]
 [-264.5935 ]
 [-264.9454 ]
 [-265.37646]
 [-265.7976 ]
 [-266.00244]
 [-266.0449 ]
 [-265.8739 ]
 [-266.30246]
 [-266.11368]
 [-266.64087]
 [-266.5647 ]
 [-267.3505 ]
 [-268.1849 ]
 [-267.1598 ]
 [-267.6096 ]
 [-267.69318]
 [-267.83374]
 [-267.56882]
 [-268.0757 ]
 [-267.70172]
 [-268.51505]
 [-268.1288 ]
 [-270.04825]
 [-270.1372 ]
 [-269.9527 ]
 [-269.2903 ]
 [-269.20776]
 [-270.08694]
 [-269.5215 ]
 [-270.33603]
 [-269.48346]]"
2,"[[-220.68536]
 [-215.0435 ]
 [-214.11049]
 [-217.07683]
 [-217.57967]
 [-217.35059]
 [-217.84784]
 [-226.82367]
 [-221.69907]
 [-225.49196]
 [-226.38412]
 [-224.29388]
 [-226.1676 ]
 [-223.4888 ]
 [-230.13487]
 [-227.70995]
 [-219.19705]
 [-221.14954]
 [-233.05827]
 [-221.45012]
 [-231.72348]
 [-232.41301]
 [-236.77191]
 [-235.31355]
 [-222.33794]
 [-235.6714 ]
 [-237.38152]
 [-257.49557]
 [-227.30353]
 [-245.8166 ]
 [-235.29945]
 [-251.0743 ]
 [-261.6182 ]
 [-253.34314]
 [-237.33325]
 [-238.90068]
 [-268.6439 ]
 [-257.49667]
 [-266.39874]
 [-288.13342]
 [-243.6422 ]
 [-249.17625]
 [-240.2617 ]
 [-284.26932]
 [-257.2287 ]
 [-267.07812]
 [-275.22662]
 [-278.16992]
 [-290.26956]
 [-282.0931 ]
 [-293.96292]
 [-295.19925]
 [-287.55237]
 [-282.6233 ]
 [-307.9715 ]
 [-301.49118]
 [-302.51453]
 [-289.78983]
 [-304.37875]
 [-306.64944]
 [-301.24777]
 [-303.55673]
 [-316.46732]
 [-311.11194]]"
3,"[[ -36.983833]
 [ -26.386055]
 [ -32.213158]
 [ -29.55842 ]
 [ -30.216885]
 [ -32.984844]
 [ -35.124912]
 [ -43.871098]
 [ -40.87455 ]
 [ -46.737198]
 [ -48.107452]
 [ -40.74927 ]
 [ -42.82175 ]
 [ -43.629467]
 [ -50.767513]
 [ -56.029778]
 [ -36.428658]
 [ -31.140318]
 [ -59.400494]
 [ -39.222485]
 [ -63.12512 ]
 [ -57.55099 ]
 [ -73.344215]
 [ -67.78909 ]
 [ -36.342365]
 [ -67.08396 ]
 [ -86.58376 ]
 [-103.488235]
 [ -50.133812]
 [ -87.13103 ]
 [ -82.7936  ]
 [ -92.70086 ]
 [-105.25477 ]
 [ -98.990875]
 [ -75.07223 ]
 [ -72.985695]
 [-116.00887 ]
 [-107.03306 ]
 [-118.67791 ]
 [-142.2475  ]
 [ -84.85335 ]
 [-107.521225]
 [ -77.98253 ]
 [-140.05934 ]
 [-115.72413 ]
 [-113.16187 ]
 [-130.24344 ]
 [-134.74359 ]
 [-149.56836 ]
 [-141.14098 ]
 [-155.35518 ]
 [-157.28418 ]
 [-149.64401 ]
 [-148.83908 ]
 [-176.25478 ]
 [-166.58133 ]
 [-167.96008 ]
 [-158.80486 ]
 [-177.20573 ]
 [-173.23825 ]
 [-168.7447  ]
 [-171.45369 ]
 [-184.68913 ]
 [-178.36456 ]]"
4,"[[177.99828 ]
 [183.58197 ]
 [174.56705 ]
 [173.3527  ]
 [183.42728 ]
 [181.91876 ]
 [172.33492 ]
 [180.07286 ]
 [170.7591  ]
 [176.86887 ]
 [166.33755 ]
 [178.70657 ]
 [162.48228 ]
 [170.77763 ]
 [163.00766 ]
 [173.20146 ]
 [186.38008 ]
 [183.27611 ]
 [172.7316  ]
 [174.22112 ]
 [171.56471 ]
 [175.10124 ]
 [160.04785 ]
 [173.09523 ]
 [167.47331 ]
 [176.02313 ]
 [166.07909 ]
 [158.12825 ]
 [176.21492 ]
 [153.9255  ]
 [156.4558  ]
 [146.90294 ]
 [140.09856 ]
 [142.23157 ]
 [161.85968 ]
 [147.63606 ]
 [158.07617 ]
 [137.25241 ]
 [136.61752 ]
 [148.73975 ]
 [160.2155  ]
 [152.8579  ]
 [161.61623 ]
 [135.5114  ]
 [134.36931 ]
 [134.41006 ]
 [155.79247 ]
 [146.98424 ]
 [144.94284 ]
 [144.0143  ]
 [117.98976 ]
 [140.28737 ]
 [139.87213 ]
 [130.67358 ]
 [132.63226 ]
 [129.43376 ]
 [134.21799 ]
 [129.21547 ]
 [132.3689  ]
 [115.361305]
 [137.70987 ]
 [121.96889 ]
 [119.28653 ]
 [126.344376]]"
5,"[[425.37344]
 [426.8473 ]
 [420.6517 ]
 [416.91522]
 [428.61234]
 [427.9004 ]
 [418.6209 ]
 [434.77835]
 [419.91812]
 [429.7715 ]
 [423.35532]
 [431.22055]
 [409.1487 ]
 [421.15598]
 [415.26328]
 [432.8125 ]
 [446.88034]
 [438.3404 ]
 [436.7118 ]
 [426.4538 ]
 [438.8971 ]
 [447.23676]
 [422.0245 ]
 [446.00092]
 [419.87372]
 [450.77075]
 [441.69562]
 [428.01572]
 [450.37866]
 [423.1885 ]
 [424.44495]
 [419.03644]
 [412.8678 ]
 [414.94678]
 [438.60495]
 [414.38815]
 [442.2088 ]
 [413.60443]
 [421.75922]
 [430.1775 ]
 [431.32303]
 [441.93054]
 [440.40405]
 [435.45892]
 [415.52924]
 [412.41663]
 [456.55234]
 [448.1939 ]
 [448.07324]
 [435.40945]
 [412.8053 ]
 [431.82663]
 [434.8417 ]
 [441.99072]
 [440.13177]
 [421.29092]
 [444.1951 ]
 [433.26593]
 [442.6797 ]
 [422.11142]
 [443.0843 ]
 [418.5504 ]
 [418.10913]
 [425.5489 ]]"
6,"[[661.28864]
 [657.19135]
 [660.2825 ]
 [653.84283]
 [661.9743 ]
 [665.5946 ]
 [653.7411 ]
 [672.9616 ]
 [653.31793]
 [665.1449 ]
 [659.3449 ]
 [668.2632 ]
 [633.93146]
 [653.5999 ]
 [652.962  ]
 [670.72656]
 [680.5821 ]
 [673.42053]
 [674.48096]
 [655.0354 ]
 [675.8367 ]
 [681.4393 ]
 [653.82086]
 [669.0801 ]
 [641.4501 ]
 [675.7742 ]
 [666.91815]
 [658.78033]
 [682.0283 ]
 [654.6732 ]
 [654.94165]
 [641.90625]
 [646.7362 ]
 [650.7919 ]
 [675.97076]
 [651.2721 ]
 [657.2211 ]
 [640.8666 ]
 [657.7245 ]
 [635.11755]
 [640.50323]
 [664.7483 ]
 [659.8918 ]
 [670.85205]
 [635.3316 ]
 [636.4897 ]
 [657.3926 ]
 [661.17114]
 [661.9632 ]
 [638.02325]
 [642.9046 ]
 [622.8468 ]
 [635.4252 ]
 [670.334  ]
 [653.64966]
 [609.0408 ]
 [638.5827 ]
 [646.07806]
 [626.9075 ]
 [648.8758 ]
 [622.8578 ]
 [612.29974]
 [602.3217 ]
 [583.2749 ]]"
7,"[[890.4877 ]
 [883.1705 ]
 [889.7106 ]
 [884.42334]
 [890.9062 ]
 [895.19543]
 [877.0395 ]
 [905.0518 ]
 [859.3517 ]
 [906.67865]
 [868.6204 ]
 [866.8543 ]
 [846.7753 ]
 [870.07556]
 [899.49066]
 [907.41077]
 [913.36237]
 [878.09283]
 [904.25604]
 [885.10706]
 [879.36536]
 [897.3153 ]
 [870.1905 ]
 [859.7702 ]
 [893.43884]
 [884.042  ]
 [887.76685]
 [880.57544]
 [876.34454]
 [857.6126 ]
 [912.6402 ]
 [847.9415 ]
 [888.3677 ]
 [903.44946]
 [889.3893 ]
 [908.6282 ]
 [849.06964]
 [902.1461 ]
 [849.847  ]
 [892.37225]
 [835.0459 ]
 [878.24445]
 [901.57355]
 [852.7414 ]
 [899.40326]
 [831.54755]
 [897.6798 ]
 [906.8425 ]
 [862.3687 ]
 [889.4665 ]
 [906.9746 ]
 [872.2834 ]
 [894.8092 ]
 [905.4    ]
 [855.4755 ]
 [885.20557]
 [884.468  ]
 [902.4937 ]
 [865.50684]
 [909.5974 ]
 [877.4291 ]
 [877.5221 ]
 [869.28345]
 [794.28235]]"
8,"[[1108.6077 ]
 [1102.4973 ]
 [1111.5413 ]
 [1111.6282 ]
 [1113.5095 ]
 [1122.2587 ]
 [1092.6101 ]
 [1125.1288 ]
 [1058.3562 ]
 [1140.2749 ]
 [1081.1357 ]
 [1057.7231 ]
 [1052.086  ]
 [1081.7748 ]
 [1145.3329 ]
 [1132.8171 ]
 [1147.144  ]
 [1080.1272 ]
 [1133.347  ]
 [1103.8241 ]
 [1079.4442 ]
 [1100.2323 ]
 [1077.3059 ]
 [1045.5221 ]
 [1136.0344 ]
 [1090.8871 ]
 [1096.9467 ]
 [1086.2076 ]
 [1064.3964 ]
 [1039.126  ]
 [1161.1321 ]
 [1036.8207 ]
 [1124.1166 ]
 [1151.1406 ]
 [1081.5139 ]
 [1161.3834 ]
 [1026.9803 ]
 [1161.85   ]
 [1024.4984 ]
 [1157.2001 ]
 [1010.66693]
 [1075.1656 ]
 [1151.8881 ]
 [1013.2861 ]
 [1166.0483 ]
 [ 990.78046]
 [1150.5773 ]
 [1165.6884 ]
 [1055.3563 ]
 [1152.3074 ]
 [1172.0356 ]
 [1121.7045 ]
 [1169.4203 ]
 [1152.6927 ]
 [1048.6068 ]
 [1168.5374 ]
 [1162.9205 ]
 [1170.3546 ]
 [1123.8032 ]
 [1171.5121 ]
 [1153.8267 ]
 [1152.2675 ]
 [1138.6079 ]
 [ 969.32263]]"
9,"[[1353.9783]
 [1352.1984]
 [1358.486 ]
 [1362.8296]
 [1364.7555]
 [1373.64  ]
 [1331.2291]
 [1364.5748]
 [1319.4694]
 [1388.5842]
 [1322.8016]
 [1318.1641]
 [1307.5942]
 [1325.7981]
 [1395.7628]
 [1374.1611]
 [1396.2826]
 [1318.4335]
 [1383.9286]
 [1347.6525]
 [1315.5427]
 [1343.8566]
 [1338.8329]
 [1294.5222]
 [1384.0208]
 [1336.3815]
 [1340.4668]
 [1315.5616]
 [1328.2845]
 [1283.696 ]
 [1406.7069]
 [1280.2509]
 [1375.4209]
 [1400.902 ]
 [1310.2899]
 [1411.4377]
 [1267.1165]
 [1409.818 ]
 [1264.1328]
 [1410.101 ]
 [1248.1868]
 [1303.2659]
 [1404.406 ]
 [1251.19  ]
 [1409.3546]
 [1225.0006]
 [1385.6694]
 [1411.709 ]
 [1290.1703]
 [1404.5508]
 [1404.6686]
 [1369.0054]
 [1412.9512]
 [1404.6267]
 [1285.7645]
 [1408.0365]
 [1415.8965]
 [1406.7819]
 [1392.1824]
 [1402.3542]
 [1405.5559]
 [1405.2207]
 [1371.5376]
 [1200.0294]]"
10,"[[1598.6134]
 [1599.6378]
 [1604.431 ]
 [1611.3771]
 [1613.418 ]
 [1623.3092]
 [1574.894 ]
 [1610.6251]
 [1576.1619]
 [1641.8097]
 [1566.108 ]
 [1574.6954]
 [1565.1891]
 [1569.7493]
 [1650.0347]
 [1623.8062]
 [1649.2162]
 [1560.2284]
 [1635.6448]
 [1591.4794]
 [1555.7748]
 [1587.7537]
 [1586.1489]
 [1551.9426]
 [1636.5016]
 [1581.2318]
 [1584.6714]
 [1545.6528]
 [1581.8799]
 [1538.5397]
 [1640.9962]
 [1533.751 ]
 [1625.3733]
 [1649.4698]
 [1537.6376]
 [1649.1824]
 [1514.4857]
 [1645.4302]
 [1509.6206]
 [1653.4799]
 [1485.454 ]
 [1529.0027]
 [1654.9441]
 [1489.7122]
 [1642.7488]
 [1456.8605]
 [1617.209 ]
 [1646.2799]
 [1515.3019]
 [1654.6726]
 [1636.1139]
 [1602.8105]
 [1646.7656]
 [1654.3024]
 [1510.3151]
 [1640.8446]
 [1653.4023]
 [1639.0796]
 [1637.1354]
 [1633.2291]
 [1653.6569]
 [1655.3002]
 [1601.5668]
 [1428.0126]]"
