episode,total_reward
1,"[[-1.9163867]
 [-1.9389129]
 [-1.4418428]
 [-1.9485223]
 [-1.7713715]
 [-1.9864933]
 [-1.9171705]
 [-2.1235032]
 [-1.7422262]
 [-1.7398405]
 [-1.913213 ]
 [-1.9164603]
 [-2.3591137]
 [-1.8056287]
 [-2.2247417]
 [-1.8803309]
 [-2.13192  ]
 [-1.8942285]
 [-1.6460267]
 [-1.9192021]
 [-1.9426551]
 [-2.094751 ]
 [-2.15876  ]
 [-1.7912941]
 [-1.9994242]
 [-2.3951175]
 [-1.7070069]
 [-2.2200093]
 [-1.887954 ]
 [-1.5963831]
 [-1.6546963]
 [-2.0560212]
 [-2.0296881]
 [-2.0728567]
 [-2.0075974]
 [-1.772514 ]
 [-1.7099699]
 [-2.240792 ]
 [-1.9232455]
 [-1.9981416]
 [-1.5203974]
 [-2.1231892]
 [-1.6258806]
 [-1.7252672]
 [-1.6072844]
 [-1.9985099]
 [-1.9711453]
 [-2.1268625]
 [-1.5565435]
 [-2.019573 ]
 [-2.3741932]
 [-1.607132 ]
 [-2.1106834]
 [-1.9217627]
 [-2.0380986]
 [-1.7370603]
 [-1.849887 ]
 [-2.2015877]
 [-1.792045 ]
 [-1.9905175]
 [-2.4535406]
 [-2.143478 ]
 [-2.168274 ]
 [-1.9001114]
 [-1.5659393]
 [-1.863427 ]
 [-1.7061585]
 [-1.782211 ]
 [-1.5821874]
 [-2.241006 ]
 [-2.0224147]
 [-1.8869282]
 [-2.04611  ]
 [-1.6446244]
 [-1.8917444]
 [-1.8199263]
 [-2.4732025]
 [-2.156369 ]
 [-2.0100496]
 [-2.030399 ]
 [-1.6930816]
 [-1.2448022]
 [-1.9514132]
 [-2.1940682]
 [-1.8947896]
 [-1.6264415]
 [-2.0409024]
 [-1.7474654]
 [-1.917725 ]
 [-1.8917128]
 [-1.6595479]
 [-1.9529581]
 [-2.0746133]
 [-1.9485391]
 [-1.8307076]
 [-1.8461567]
 [-1.8102787]
 [-2.2849646]
 [-2.0925171]
 [-1.9013002]
 [-2.0307071]
 [-1.6549944]
 [-1.9966681]
 [-1.717927 ]
 [-2.2513885]
 [-2.1233425]
 [-1.808992 ]
 [-2.112123 ]
 [-1.950499 ]
 [-1.70853  ]
 [-1.7304556]
 [-1.7516037]
 [-1.8103371]
 [-2.3045714]
 [-2.0423992]
 [-1.7016643]
 [-1.7762489]
 [-1.4375415]
 [-1.4866034]
 [-2.3570147]
 [-1.848833 ]
 [-1.814106 ]
 [-1.9726495]
 [-1.8485696]
 [-2.1704094]
 [-1.8968365]
 [-1.7597897]
 [-1.9604691]]"
2,"[[-77.97101 ]
 [-63.975372]
 [-69.684326]
 [-71.68618 ]
 [-63.08404 ]
 [-75.81092 ]
 [-64.84904 ]
 [-70.419655]
 [-71.231   ]
 [-67.30837 ]
 [-64.12915 ]
 [-65.80951 ]
 [-69.74998 ]
 [-72.38476 ]
 [-73.49708 ]
 [-72.85934 ]
 [-65.08736 ]
 [-65.17618 ]
 [-71.047165]
 [-79.30125 ]
 [-68.43981 ]
 [-65.70282 ]
 [-75.45881 ]
 [-65.52086 ]
 [-69.418915]
 [-59.80359 ]
 [-72.81359 ]
 [-72.059135]
 [-74.66229 ]
 [-68.03039 ]
 [-72.39909 ]
 [-73.55594 ]
 [-65.57271 ]
 [-74.12322 ]
 [-69.87853 ]
 [-70.87372 ]
 [-66.62194 ]
 [-71.86224 ]
 [-75.494194]
 [-73.75592 ]
 [-74.39982 ]
 [-75.75437 ]
 [-71.83436 ]
 [-65.683365]
 [-74.18424 ]
 [-74.41148 ]
 [-62.582993]
 [-67.07984 ]
 [-63.62898 ]
 [-65.38312 ]
 [-77.570625]
 [-69.94236 ]
 [-71.53943 ]
 [-67.42892 ]
 [-69.15259 ]
 [-81.76711 ]
 [-71.80285 ]
 [-74.72774 ]
 [-65.2316  ]
 [-69.64001 ]
 [-68.34198 ]
 [-67.59753 ]
 [-69.848   ]
 [-71.61502 ]
 [-70.374954]
 [-70.60696 ]
 [-65.5399  ]
 [-70.06361 ]
 [-67.43214 ]
 [-68.8674  ]
 [-66.26311 ]
 [-66.99016 ]
 [-72.93103 ]
 [-65.10007 ]
 [-70.55529 ]
 [-75.234795]
 [-71.8381  ]
 [-70.74663 ]
 [-65.19715 ]
 [-64.22322 ]
 [-70.59844 ]
 [-69.87106 ]
 [-67.55528 ]
 [-70.79433 ]
 [-75.64056 ]
 [-82.42822 ]
 [-68.065056]
 [-69.60925 ]
 [-68.55092 ]
 [-75.92684 ]
 [-78.81128 ]
 [-64.38114 ]
 [-70.37317 ]
 [-75.44571 ]
 [-65.343285]
 [-74.89946 ]
 [-64.52156 ]
 [-72.732796]
 [-74.67561 ]
 [-64.44584 ]
 [-69.198395]
 [-69.02349 ]
 [-72.97354 ]
 [-66.012985]
 [-72.76271 ]
 [-74.42943 ]
 [-65.03738 ]
 [-63.8708  ]
 [-74.18939 ]
 [-77.074326]
 [-65.13779 ]
 [-67.69473 ]
 [-69.614136]
 [-66.029465]
 [-61.316925]
 [-72.17496 ]
 [-70.36266 ]
 [-74.041115]
 [-75.1928  ]
 [-75.603325]
 [-73.84141 ]
 [-68.15605 ]
 [-64.28195 ]
 [-65.37168 ]
 [-62.29186 ]
 [-85.09338 ]
 [-80.53779 ]
 [-69.467865]]"
3,"[[-226.3542 ]
 [-242.58916]
 [-246.70088]
 [-221.83308]
 [-267.29272]
 [-208.70807]
 [-242.36955]
 [-228.89786]
 [-229.2443 ]
 [-267.6932 ]
 [-235.18808]
 [-238.27083]
 [-247.62459]
 [-222.3601 ]
 [-215.32896]
 [-226.39238]
 [-237.00021]
 [-294.82895]
 [-242.64537]
 [-244.83374]
 [-286.75186]
 [-275.0831 ]
 [-212.1633 ]
 [-257.56696]
 [-244.67517]
 [-241.1571 ]
 [-251.56201]
 [-252.48116]
 [-276.62827]
 [-273.9145 ]
 [-239.37709]
 [-262.8868 ]
 [-263.18225]
 [-238.22078]
 [-241.66142]
 [-268.25284]
 [-227.58154]
 [-226.59882]
 [-261.10944]
 [-221.23366]
 [-244.1319 ]
 [-252.2141 ]
 [-230.80704]
 [-255.36903]
 [-246.84978]
 [-227.23929]
 [-244.1002 ]
 [-228.78328]
 [-267.7726 ]
 [-229.84866]
 [-226.38832]
 [-256.4507 ]
 [-240.52437]
 [-256.7904 ]
 [-222.61873]
 [-242.8644 ]
 [-225.12743]
 [-278.84   ]
 [-252.6055 ]
 [-241.58788]
 [-268.81894]
 [-237.705  ]
 [-267.60388]
 [-252.70415]
 [-247.48906]
 [-228.83366]
 [-241.48978]
 [-223.01581]
 [-256.4721 ]
 [-224.19174]
 [-242.64394]
 [-214.8805 ]
 [-249.22939]
 [-252.99388]
 [-264.91382]
 [-229.43677]
 [-262.15793]
 [-263.2612 ]
 [-272.84387]
 [-225.7433 ]
 [-259.54376]
 [-271.27963]
 [-236.73427]
 [-269.9922 ]
 [-270.42914]
 [-206.95732]
 [-223.27594]
 [-232.20757]
 [-233.6183 ]
 [-257.78687]
 [-260.1454 ]
 [-213.55054]
 [-237.05577]
 [-240.72696]
 [-233.104  ]
 [-258.35617]
 [-243.24657]
 [-240.68732]
 [-245.13768]
 [-273.12628]
 [-258.53558]
 [-274.69012]
 [-262.07956]
 [-221.43   ]
 [-255.98346]
 [-217.46046]
 [-228.70686]
 [-224.23917]
 [-244.73276]
 [-249.72836]
 [-235.14745]
 [-244.92317]
 [-222.90154]
 [-294.6556 ]
 [-241.26523]
 [-234.95755]
 [-231.12723]
 [-265.2154 ]
 [-245.9515 ]
 [-298.1587 ]
 [-257.78168]
 [-226.6642 ]
 [-234.28113]
 [-214.39537]
 [-262.70245]
 [-224.87083]
 [-272.0436 ]
 [-244.91162]]"
4,"[[-493.57547]
 [-514.3904 ]
 [-471.4497 ]
 [-541.81476]
 [-456.99243]
 [-536.00244]
 [-453.05157]
 [-490.2278 ]
 [-520.02057]
 [-452.44684]
 [-517.38684]
 [-486.02682]
 [-504.62027]
 [-458.87445]
 [-500.36728]
 [-450.91354]
 [-470.65823]
 [-505.08234]
 [-512.85077]
 [-492.85886]
 [-493.27026]
 [-471.92938]
 [-408.07153]
 [-555.69086]
 [-505.69748]
 [-505.67508]
 [-433.06033]
 [-428.93707]
 [-439.2963 ]
 [-529.945  ]
 [-499.69073]
 [-459.98163]
 [-467.18845]
 [-459.57928]
 [-475.60736]
 [-490.25656]
 [-520.3305 ]
 [-474.6516 ]
 [-490.66864]
 [-480.24194]
 [-525.5978 ]
 [-544.02496]
 [-495.52518]
 [-468.35248]
 [-496.28406]
 [-455.00592]
 [-531.53345]
 [-462.5635 ]
 [-525.2981 ]
 [-459.07285]
 [-533.9798 ]
 [-441.79846]
 [-475.97452]
 [-497.59686]
 [-473.30856]
 [-503.82065]
 [-468.11758]
 [-501.73474]
 [-447.84854]
 [-421.8084 ]
 [-426.6564 ]
 [-485.1909 ]
 [-532.4211 ]
 [-445.34268]
 [-454.4684 ]
 [-534.3931 ]
 [-527.2317 ]
 [-501.1584 ]
 [-430.966  ]
 [-444.57306]
 [-451.01108]
 [-494.00433]
 [-525.3324 ]
 [-514.0417 ]
 [-457.25348]
 [-461.38687]
 [-528.22766]
 [-484.93848]
 [-459.27155]
 [-478.59955]
 [-504.2021 ]
 [-465.88602]
 [-440.7649 ]
 [-444.27344]
 [-468.99194]
 [-528.61786]
 [-505.65448]
 [-472.6501 ]
 [-519.6621 ]
 [-463.5451 ]
 [-498.6222 ]
 [-499.20544]
 [-522.34393]
 [-511.3386 ]
 [-570.6737 ]
 [-432.45544]
 [-481.57654]
 [-418.38498]
 [-486.50052]
 [-533.2515 ]
 [-473.04434]
 [-448.6452 ]
 [-464.34857]
 [-398.19952]
 [-420.31778]
 [-457.10822]
 [-478.79266]
 [-465.58136]
 [-464.1298 ]
 [-506.51364]
 [-468.7935 ]
 [-440.37714]
 [-524.4654 ]
 [-509.31873]
 [-462.51306]
 [-433.73972]
 [-491.8003 ]
 [-479.86664]
 [-485.11792]
 [-412.63452]
 [-488.80103]
 [-471.45227]
 [-541.40375]
 [-497.04556]
 [-477.41492]
 [-444.6162 ]
 [-488.79935]
 [-439.8266 ]]"
5,"[[-651.37964]
 [-646.7161 ]
 [-669.119  ]
 [-667.0284 ]
 [-644.50555]
 [-640.9529 ]
 [-730.41797]
 [-696.9999 ]
 [-767.91205]
 [-608.3436 ]
 [-623.2563 ]
 [-638.4258 ]
 [-659.49384]
 [-627.03876]
 [-705.4888 ]
 [-645.438  ]
 [-677.318  ]
 [-716.2917 ]
 [-610.2989 ]
 [-666.40936]
 [-699.8943 ]
 [-654.1364 ]
 [-682.40894]
 [-641.1163 ]
 [-723.9492 ]
 [-663.2123 ]
 [-629.0625 ]
 [-713.6901 ]
 [-658.0856 ]
 [-606.7576 ]
 [-703.37756]
 [-701.70984]
 [-689.48816]
 [-750.0295 ]
 [-664.82965]
 [-592.8939 ]
 [-699.6311 ]
 [-739.14575]
 [-656.8739 ]
 [-653.65533]
 [-684.4668 ]
 [-646.09705]
 [-651.93555]
 [-627.71075]
 [-685.4914 ]
 [-603.694  ]
 [-608.8921 ]
 [-616.4254 ]
 [-642.9036 ]
 [-679.4718 ]
 [-689.31274]
 [-699.5943 ]
 [-658.19745]
 [-684.38055]
 [-570.0804 ]
 [-651.23444]
 [-635.11615]
 [-650.5372 ]
 [-694.0469 ]
 [-711.6764 ]
 [-611.0322 ]
 [-679.8932 ]
 [-671.8138 ]
 [-651.41034]
 [-585.4907 ]
 [-597.3837 ]
 [-727.5507 ]
 [-653.2457 ]
 [-716.0425 ]
 [-777.9242 ]
 [-645.234  ]
 [-677.3132 ]
 [-645.21967]
 [-706.4599 ]
 [-648.5202 ]
 [-699.1625 ]
 [-630.64685]
 [-686.0826 ]
 [-755.0061 ]
 [-642.1994 ]
 [-613.1011 ]
 [-699.9096 ]
 [-691.57416]
 [-674.12787]
 [-728.9713 ]
 [-663.6412 ]
 [-639.1011 ]
 [-599.08344]
 [-675.14307]
 [-649.96765]
 [-706.8023 ]
 [-678.99664]
 [-674.22266]
 [-596.25946]
 [-661.7442 ]
 [-611.55035]
 [-611.8038 ]
 [-716.1485 ]
 [-655.53925]
 [-714.4975 ]
 [-626.8486 ]
 [-631.2703 ]
 [-622.16425]
 [-702.295  ]
 [-691.3663 ]
 [-762.6234 ]
 [-670.8118 ]
 [-621.6432 ]
 [-719.56244]
 [-634.5126 ]
 [-645.2807 ]
 [-666.889  ]
 [-659.67   ]
 [-688.98004]
 [-731.6392 ]
 [-635.6236 ]
 [-619.84515]
 [-643.40564]
 [-704.00214]
 [-687.0948 ]
 [-691.37335]
 [-632.8333 ]
 [-674.7741 ]
 [-684.86664]
 [-616.2855 ]
 [-672.3517 ]
 [-697.05286]
 [-633.8891 ]]"
6,"[[-837.48035]
 [-731.6904 ]
 [-847.94855]
 [-821.5143 ]
 [-865.3472 ]
 [-817.0737 ]
 [-888.7671 ]
 [-790.6357 ]
 [-866.78973]
 [-820.8223 ]
 [-824.69836]
 [-885.4111 ]
 [-854.0636 ]
 [-809.97455]
 [-844.2711 ]
 [-718.2864 ]
 [-827.4702 ]
 [-852.9561 ]
 [-754.7252 ]
 [-785.2594 ]
 [-827.69745]
 [-751.08057]
 [-841.7486 ]
 [-741.3483 ]
 [-740.2655 ]
 [-839.1345 ]
 [-868.65094]
 [-767.8258 ]
 [-778.6041 ]
 [-834.22595]
 [-789.3407 ]
 [-734.9739 ]
 [-859.79565]
 [-864.57007]
 [-801.6674 ]
 [-763.9854 ]
 [-832.9039 ]
 [-790.1285 ]
 [-778.31647]
 [-760.82587]
 [-813.3611 ]
 [-763.0606 ]
 [-763.928  ]
 [-844.0942 ]
 [-798.15594]
 [-865.95154]
 [-868.7464 ]
 [-797.0213 ]
 [-774.7169 ]
 [-862.4241 ]
 [-901.9034 ]
 [-707.93634]
 [-810.14374]
 [-820.35016]
 [-785.3798 ]
 [-786.90546]
 [-850.7714 ]
 [-791.0602 ]
 [-843.5691 ]
 [-819.04645]
 [-784.2618 ]
 [-780.2333 ]
 [-753.34186]
 [-848.4188 ]
 [-818.1052 ]
 [-774.9718 ]
 [-811.8413 ]
 [-851.21655]
 [-772.7176 ]
 [-795.5595 ]
 [-894.27344]
 [-830.5543 ]
 [-898.51013]
 [-770.44305]
 [-775.0276 ]
 [-773.5279 ]
 [-868.08875]
 [-756.3012 ]
 [-799.13916]
 [-802.55804]
 [-760.01996]
 [-824.7733 ]
 [-806.9401 ]
 [-834.3445 ]
 [-763.3614 ]
 [-752.64404]
 [-776.67426]
 [-901.0926 ]
 [-876.1039 ]
 [-868.0001 ]
 [-876.4161 ]
 [-779.3474 ]
 [-799.18604]
 [-886.32495]
 [-859.1392 ]
 [-832.56006]
 [-786.1934 ]
 [-848.90424]
 [-767.59924]
 [-793.4447 ]
 [-772.8324 ]
 [-772.50665]
 [-766.96796]
 [-868.13464]
 [-806.5537 ]
 [-866.9708 ]
 [-790.5504 ]
 [-773.4483 ]
 [-816.6465 ]
 [-804.05597]
 [-853.3727 ]
 [-870.8833 ]
 [-784.2384 ]
 [-871.08606]
 [-787.52496]
 [-829.1816 ]
 [-836.93536]
 [-833.1983 ]
 [-813.77637]
 [-768.31335]
 [-853.8596 ]
 [-743.8449 ]
 [-782.98035]
 [-692.2136 ]
 [-911.35565]
 [-825.8411 ]
 [-849.49097]
 [-798.63184]]"
7,"[[ -896.8409 ]
 [ -954.1938 ]
 [ -895.9297 ]
 [ -950.7766 ]
 [ -984.891  ]
 [ -924.23065]
 [-1013.0834 ]
 [ -960.12396]
 [ -980.24347]
 [ -824.9528 ]
 [ -892.6131 ]
 [ -986.94403]
 [ -950.4655 ]
 [ -974.5647 ]
 [-1027.2727 ]
 [ -904.3743 ]
 [ -960.8342 ]
 [ -968.92004]
 [ -955.4878 ]
 [-1049.1315 ]
 [ -944.81256]
 [ -943.7804 ]
 [ -949.7823 ]
 [ -971.01483]
 [-1011.0081 ]
 [ -987.2885 ]
 [ -915.2554 ]
 [ -971.2982 ]
 [ -947.301  ]
 [ -914.00134]
 [ -993.1003 ]
 [ -924.5985 ]
 [ -992.89606]
 [ -875.889  ]
 [ -951.29376]
 [-1004.8768 ]
 [-1012.84607]
 [ -967.28314]
 [-1100.0891 ]
 [ -894.145  ]
 [ -992.1843 ]
 [-1000.5374 ]
 [ -967.0199 ]
 [ -929.9393 ]
 [ -929.5726 ]
 [-1002.2119 ]
 [ -911.93   ]
 [-1002.98004]
 [ -887.7342 ]
 [-1063.8336 ]
 [ -964.01416]
 [-1011.471  ]
 [ -973.879  ]
 [ -895.9448 ]
 [ -950.943  ]
 [ -948.0816 ]
 [ -977.3854 ]
 [ -863.156  ]
 [-1011.0213 ]
 [ -959.09534]
 [ -929.2652 ]
 [ -939.3491 ]
 [-1002.45135]
 [-1115.0591 ]
 [ -949.89844]
 [ -919.11365]
 [-1014.43567]
 [ -907.42725]
 [-1073.4318 ]
 [-1033.8253 ]
 [ -910.6905 ]
 [ -954.2527 ]
 [ -822.81976]
 [ -890.3641 ]
 [ -920.668  ]
 [ -922.68616]
 [ -869.3159 ]
 [ -956.8551 ]
 [ -954.1283 ]
 [ -995.9702 ]
 [ -920.37756]
 [ -849.8762 ]
 [ -915.97046]
 [ -904.79095]
 [ -882.52856]
 [ -973.49585]
 [ -910.3722 ]
 [ -900.97705]
 [ -910.507  ]
 [ -914.44904]
 [ -924.2472 ]
 [ -943.8273 ]
 [ -952.8371 ]
 [ -951.0426 ]
 [ -923.83484]
 [ -982.1128 ]
 [ -992.5712 ]
 [ -926.533  ]
 [ -903.33215]
 [ -981.74414]
 [ -918.7985 ]
 [ -920.1954 ]
 [ -932.82446]
 [ -911.9367 ]
 [ -839.0994 ]
 [ -904.1549 ]
 [ -970.7127 ]
 [ -872.2514 ]
 [ -908.12854]
 [-1017.3048 ]
 [ -961.119  ]
 [-1041.6652 ]
 [ -961.61505]
 [-1009.5741 ]
 [ -898.7816 ]
 [ -990.8896 ]
 [ -934.2753 ]
 [ -970.00476]
 [ -856.285  ]
 [ -924.5179 ]
 [ -938.40314]
 [-1059.2471 ]
 [ -958.7465 ]
 [ -917.837  ]
 [ -892.0695 ]
 [-1038.4879 ]
 [ -964.9734 ]
 [ -928.6965 ]]"
8,"[[-1036.1083 ]
 [-1136.8445 ]
 [-1009.2233 ]
 [-1008.7684 ]
 [-1016.53107]
 [-1138.8743 ]
 [-1045.8712 ]
 [-1187.4332 ]
 [-1055.6742 ]
 [ -995.2755 ]
 [-1152.4508 ]
 [ -949.4407 ]
 [-1243.2106 ]
 [-1027.3125 ]
 [-1128.8591 ]
 [-1077.5028 ]
 [-1086.1437 ]
 [-1128.6738 ]
 [-1093.5807 ]
 [-1133.0841 ]
 [-1012.82965]
 [-1063.1401 ]
 [-1004.95416]
 [-1095.331  ]
 [ -962.99615]
 [-1014.45215]
 [ -954.2256 ]
 [-1078.5724 ]
 [-1019.7262 ]
 [-1105.3442 ]
 [-1094.8732 ]
 [-1109.0483 ]
 [-1108.8003 ]
 [-1151.1465 ]
 [-1127.4596 ]
 [-1073.0088 ]
 [-1034.4177 ]
 [-1084.0603 ]
 [-1088.6583 ]
 [-1115.9352 ]
 [-1095.394  ]
 [ -989.0106 ]
 [ -995.1777 ]
 [-1039.2375 ]
 [-1086.6007 ]
 [-1236.1897 ]
 [-1156.8466 ]
 [-1114.3002 ]
 [-1050.3352 ]
 [-1062.4662 ]
 [-1030.8733 ]
 [-1124.5193 ]
 [-1094.0741 ]
 [-1046.039  ]
 [-1135.1989 ]
 [-1039.5425 ]
 [-1100.1436 ]
 [ -947.8536 ]
 [-1078.1206 ]
 [-1174.7943 ]
 [-1085.3741 ]
 [-1077.5441 ]
 [ -964.2355 ]
 [-1061.9852 ]
 [-1153.1654 ]
 [-1023.2271 ]
 [-1172.5657 ]
 [-1070.6903 ]
 [-1096.1559 ]
 [-1105.3303 ]
 [-1111.6073 ]
 [-1055.1991 ]
 [ -962.05396]
 [-1229.7495 ]
 [-1062.1315 ]
 [-1037.4468 ]
 [-1069.5735 ]
 [-1164.5458 ]
 [-1011.1672 ]
 [-1039.178  ]
 [-1055.5593 ]
 [-1052.3224 ]
 [-1163.404  ]
 [-1031.963  ]
 [-1055.1025 ]
 [ -963.727  ]
 [-1056.012  ]
 [-1080.6184 ]
 [-1039.7692 ]
 [-1161.2103 ]
 [-1112.3646 ]
 [-1074.1346 ]
 [-1122.2017 ]
 [-1048.4218 ]
 [ -990.56537]
 [-1088.3927 ]
 [-1003.9175 ]
 [-1067.7211 ]
 [-1111.0049 ]
 [-1007.5837 ]
 [-1184.507  ]
 [-1176.9053 ]
 [-1074.9958 ]
 [-1194.6567 ]
 [-1104.0361 ]
 [-1042.2849 ]
 [-1079.4307 ]
 [-1045.9655 ]
 [-1091.1846 ]
 [-1042.5515 ]
 [-1087.1766 ]
 [-1179.7484 ]
 [-1031.745  ]
 [-1042.2751 ]
 [-1031.2241 ]
 [-1027.6326 ]
 [-1082.1482 ]
 [-1119.7388 ]
 [-1113.2477 ]
 [-1091.3445 ]
 [-1127.11   ]
 [-1157.4391 ]
 [-1078.704  ]
 [-1144.4103 ]
 [-1025.5438 ]
 [-1060.9565 ]
 [-1091.3284 ]
 [-1230.9993 ]]"
9,"[[-1201.4255]
 [-1208.9366]
 [-1236.1172]
 [-1432.271 ]
 [-1087.8123]
 [-1137.1892]
 [-1235.6707]
 [-1239.039 ]
 [-1320.3749]
 [-1213.615 ]
 [-1197.3999]
 [-1192.3915]
 [-1142.3564]
 [-1435.9352]
 [-1225.2753]
 [-1254.1621]
 [-1291.7557]
 [-1359.6328]
 [-1257.4557]
 [-1123.7075]
 [-1134.7006]
 [-1223.2422]
 [-1339.1614]
 [-1275.8442]
 [-1227.9401]
 [-1160.3926]
 [-1215.6415]
 [-1211.1342]
 [-1159.7771]
 [-1244.1014]
 [-1291.7794]
 [-1389.6514]
 [-1133.5587]
 [-1142.2654]
 [-1178.241 ]
 [-1308.0585]
 [-1321.3699]
 [-1325.2914]
 [-1159.0829]
 [-1122.9199]
 [-1146.5938]
 [-1223.598 ]
 [-1168.5609]
 [-1259.1106]
 [-1281.2612]
 [-1180.9426]
 [-1274.5074]
 [-1230.0746]
 [-1298.2058]
 [-1275.017 ]
 [-1232.7759]
 [-1199.3495]
 [-1199.1611]
 [-1208.6335]
 [-1214.9817]
 [-1183.7869]
 [-1308.4203]
 [-1391.6917]
 [-1225.0375]
 [-1261.4618]
 [-1060.3839]
 [-1220.2944]
 [-1220.7965]
 [-1288.7816]
 [-1240.2722]
 [-1244.7555]
 [-1204.4111]
 [-1155.7961]
 [-1113.3488]
 [-1134.8052]
 [-1204.8381]
 [-1264.6746]
 [-1126.929 ]
 [-1181.4467]
 [-1211.47  ]
 [-1243.4583]
 [-1409.6914]
 [-1279.8442]
 [-1258.3652]
 [-1397.7383]
 [-1326.8722]
 [-1254.2345]
 [-1262.7844]
 [-1294.0935]
 [-1187.5326]
 [-1170.8085]
 [-1230.3317]
 [-1256.3278]
 [-1163.4525]
 [-1299.0502]
 [-1317.2943]
 [-1247.0275]
 [-1162.6111]
 [-1274.3312]
 [-1204.131 ]
 [-1293.3264]
 [-1192.0186]
 [-1217.1539]
 [-1153.076 ]
 [-1203.888 ]
 [-1166.0464]
 [-1201.9583]
 [-1181.8075]
 [-1088.9999]
 [-1120.3462]
 [-1212.3868]
 [-1213.1816]
 [-1355.3212]
 [-1111.7856]
 [-1139.3595]
 [-1303.8112]
 [-1228.1946]
 [-1250.5776]
 [-1139.8678]
 [-1275.1777]
 [-1168.7443]
 [-1156.4331]
 [-1238.0017]
 [-1205.701 ]
 [-1235.4258]
 [-1117.2205]
 [-1247.5933]
 [-1089.8385]
 [-1122.9237]
 [-1321.8217]
 [-1181.6339]
 [-1335.5642]
 [-1236.2808]]"
10,"[[-1441.4481]
 [-1354.8347]
 [-1366.745 ]
 [-1432.9076]
 [-1215.0719]
 [-1352.3214]
 [-1325.4431]
 [-1229.4779]
 [-1335.5345]
 [-1364.2931]
 [-1167.7692]
 [-1271.8896]
 [-1332.5748]
 [-1352.3984]
 [-1285.3739]
 [-1198.5063]
 [-1524.8954]
 [-1406.2821]
 [-1267.7725]
 [-1332.5066]
 [-1392.1221]
 [-1253.6066]
 [-1304.7389]
 [-1255.9717]
 [-1418.1227]
 [-1372.2393]
 [-1552.9598]
 [-1389.4098]
 [-1374.2488]
 [-1297.0774]
 [-1194.1827]
 [-1325.3585]
 [-1402.6964]
 [-1359.6943]
 [-1243.5397]
 [-1355.8433]
 [-1284.5233]
 [-1390.2098]
 [-1448.4614]
 [-1353.096 ]
 [-1420.8236]
 [-1380.5765]
 [-1212.5847]
 [-1231.8064]
 [-1313.8615]
 [-1352.0387]
 [-1362.9746]
 [-1308.4147]
 [-1422.5603]
 [-1496.6823]
 [-1129.3885]
 [-1279.6133]
 [-1282.0603]
 [-1082.6396]
 [-1373.9319]
 [-1350.6212]
 [-1156.702 ]
 [-1317.9406]
 [-1320.1648]
 [-1363.1245]
 [-1351.884 ]
 [-1285.8507]
 [-1301.2217]
 [-1388.118 ]
 [-1263.3663]
 [-1331.9901]
 [-1388.0975]
 [-1394.5914]
 [-1430.5463]
 [-1315.7666]
 [-1266.8757]
 [-1189.3336]
 [-1379.1812]
 [-1292.8633]
 [-1250.052 ]
 [-1365.3392]
 [-1383.2809]
 [-1366.5319]
 [-1273.9657]
 [-1256.2146]
 [-1219.8828]
 [-1407.9615]
 [-1332.2599]
 [-1182.6238]
 [-1235.9735]
 [-1279.6425]
 [-1383.6896]
 [-1436.4152]
 [-1465.6898]
 [-1359.4877]
 [-1344.693 ]
 [-1390.9376]
 [-1335.1313]
 [-1239.9817]
 [-1174.4016]
 [-1273.7303]
 [-1408.399 ]
 [-1266.6523]
 [-1457.9424]
 [-1339.0835]
 [-1288.599 ]
 [-1215.8344]
 [-1324.9563]
 [-1358.2756]
 [-1403.1791]
 [-1368.8162]
 [-1349.0009]
 [-1221.6295]
 [-1469.7466]
 [-1491.0785]
 [-1372.8096]
 [-1307.5358]
 [-1448.8157]
 [-1326.6473]
 [-1255.2212]
 [-1221.8938]
 [-1455.0037]
 [-1361.7562]
 [-1302.9877]
 [-1376.5072]
 [-1288.8376]
 [-1417.0599]
 [-1219.7721]
 [-1305.7645]
 [-1296.7445]
 [-1327.4945]
 [-1306.1737]
 [-1381.7286]]"
