episode,total_reward
1,"[[1.8435649]
 [1.7929794]
 [1.512534 ]
 [1.8352811]
 [1.402713 ]
 [1.8721526]
 [1.5744997]
 [1.7163464]
 [1.3322301]
 [1.5458131]
 [1.754557 ]
 [1.4295812]
 [1.7502365]
 [1.5868945]
 [1.7876813]
 [1.6833596]
 [1.7287829]
 [1.7616775]
 [1.5633789]
 [1.7120275]
 [1.4099412]
 [1.5663604]
 [1.4395365]
 [1.7996176]
 [1.8549039]
 [1.6617634]
 [1.7440673]
 [1.4106545]
 [1.4067236]
 [1.5347509]
 [1.59322  ]
 [2.007347 ]
 [1.9670539]
 [2.121407 ]
 [1.9026072]
 [1.8628767]
 [1.808361 ]
 [1.6975532]
 [1.51985  ]
 [1.7103066]
 [1.683871 ]
 [1.8438288]
 [1.5824645]
 [1.4418688]
 [1.9858817]
 [1.8209406]
 [1.3684828]
 [1.6669456]
 [1.690087 ]
 [2.2386336]
 [1.6795349]
 [1.768836 ]
 [1.7604383]
 [1.5584935]
 [1.9428169]
 [1.9306079]
 [1.6344166]
 [1.5667614]
 [1.9778006]
 [1.7401866]
 [2.0720377]
 [2.0497994]
 [1.4826834]
 [1.7929292]
 [1.5950563]
 [1.6186473]
 [1.6358773]
 [1.5219893]
 [2.0239146]
 [1.8215294]
 [1.7037573]
 [1.4847282]
 [1.5896041]
 [1.7655433]
 [1.6339728]
 [1.90203  ]
 [1.9924781]
 [1.9370914]
 [1.7392299]
 [1.5940583]
 [2.039059 ]
 [1.7952008]
 [1.7503223]
 [1.4758643]
 [1.3792337]
 [1.8644254]
 [1.6126636]
 [1.4776464]
 [1.6057597]
 [1.7405677]
 [1.9029248]
 [1.5816401]
 [1.6306138]
 [1.8818831]
 [1.7212882]
 [1.5827662]
 [2.0550475]
 [2.010304 ]
 [1.7953426]
 [1.8093909]
 [2.0245051]
 [1.9058762]
 [1.7402078]
 [1.7829971]
 [1.5461267]
 [1.6416823]
 [1.7238547]
 [1.7562649]
 [1.8520076]
 [1.6249715]
 [1.6719792]
 [1.7688535]
 [1.8015709]
 [2.0109746]
 [1.7431978]
 [1.8979946]
 [1.7250327]
 [1.6341718]
 [1.7765205]
 [1.8293376]
 [1.6368095]
 [1.6056278]
 [2.0071414]
 [1.648057 ]
 [1.459063 ]
 [1.5535986]
 [1.7694861]
 [1.9474759]]"
2,"[[ 97.461754]
 [ 97.14937 ]
 [ 95.195305]
 [ 94.14794 ]
 [ 96.102455]
 [ 94.6753  ]
 [ 96.10882 ]
 [ 96.69414 ]
 [ 96.99494 ]
 [ 94.69818 ]
 [ 96.54123 ]
 [ 94.71761 ]
 [ 96.95665 ]
 [ 97.15227 ]
 [ 94.30602 ]
 [ 96.4608  ]
 [ 95.44482 ]
 [ 94.95444 ]
 [ 94.65513 ]
 [ 98.04016 ]
 [ 95.7633  ]
 [ 95.406456]
 [ 96.01917 ]
 [ 95.798134]
 [ 96.40328 ]
 [ 96.08795 ]
 [ 97.47445 ]
 [ 96.7441  ]
 [ 94.1714  ]
 [ 96.98394 ]
 [ 96.250885]
 [ 94.62086 ]
 [ 95.99635 ]
 [100.81107 ]
 [ 97.83322 ]
 [ 93.90988 ]
 [ 95.643105]
 [ 93.9475  ]
 [ 95.587074]
 [ 98.19539 ]
 [ 95.00483 ]
 [ 94.06822 ]
 [ 96.866425]
 [ 97.4294  ]
 [ 95.39446 ]
 [ 96.22242 ]
 [ 95.973175]
 [ 96.76804 ]
 [ 96.02406 ]
 [ 96.13585 ]
 [ 95.32819 ]
 [ 96.645645]
 [ 93.093895]
 [ 97.47051 ]
 [ 95.09582 ]
 [ 95.86655 ]
 [ 94.76877 ]
 [ 96.04051 ]
 [ 95.82415 ]
 [ 96.73851 ]
 [ 95.6718  ]
 [100.043335]
 [ 95.775734]
 [ 96.8684  ]
 [ 97.109344]
 [ 96.02471 ]
 [ 95.33221 ]
 [ 97.37306 ]
 [ 97.19043 ]
 [ 93.75064 ]
 [ 99.70955 ]
 [ 96.13528 ]
 [ 93.36947 ]
 [100.38313 ]
 [ 94.95794 ]
 [ 97.065956]
 [ 98.28826 ]
 [ 92.963524]
 [ 95.23551 ]
 [ 97.15442 ]
 [ 96.71622 ]
 [ 96.09694 ]
 [ 95.39594 ]
 [ 97.99678 ]
 [ 94.57747 ]
 [ 93.21817 ]
 [ 95.72261 ]
 [ 97.92646 ]
 [ 95.973946]
 [ 99.10602 ]
 [ 93.37792 ]
 [ 97.46702 ]
 [ 98.35652 ]
 [ 96.90855 ]
 [ 99.37028 ]
 [ 99.118744]
 [ 97.73375 ]
 [ 98.32358 ]
 [ 97.41938 ]
 [ 94.06225 ]
 [ 96.449   ]
 [ 94.84386 ]
 [ 96.01215 ]
 [ 96.506386]
 [ 93.73991 ]
 [ 98.78709 ]
 [ 96.548836]
 [ 99.20518 ]
 [ 96.15028 ]
 [ 93.447105]
 [ 97.51445 ]
 [ 93.95616 ]
 [ 98.878975]
 [ 97.20724 ]
 [ 96.942444]
 [ 95.31338 ]
 [ 97.106705]
 [ 97.96465 ]
 [ 96.08202 ]
 [ 96.7934  ]
 [ 94.27071 ]
 [ 94.92145 ]
 [ 95.05171 ]
 [ 96.07369 ]
 [ 96.07341 ]
 [ 99.041954]
 [ 93.77922 ]
 [ 93.74188 ]]"
3,"[[335.37494]
 [330.5083 ]
 [330.52075]
 [334.13763]
 [330.101  ]
 [313.54446]
 [315.76968]
 [328.94513]
 [328.1163 ]
 [315.6818 ]
 [332.16577]
 [334.14713]
 [329.44104]
 [317.43137]
 [328.66113]
 [332.24756]
 [326.21854]
 [329.1057 ]
 [317.9146 ]
 [319.21484]
 [315.50684]
 [317.253  ]
 [333.89508]
 [321.61578]
 [309.41733]
 [331.14053]
 [321.60995]
 [321.58047]
 [337.7662 ]
 [313.5412 ]
 [325.55188]
 [322.55203]
 [321.7618 ]
 [331.53833]
 [336.95135]
 [290.8312 ]
 [329.16162]
 [342.78558]
 [323.42773]
 [328.97974]
 [312.98904]
 [332.63013]
 [329.26233]
 [316.64194]
 [336.67233]
 [328.41995]
 [330.1718 ]
 [335.37662]
 [324.52734]
 [327.77182]
 [332.85388]
 [326.00107]
 [333.51907]
 [336.68335]
 [324.54178]
 [318.13812]
 [342.73434]
 [322.79095]
 [324.66275]
 [332.87186]
 [312.95895]
 [321.27133]
 [326.22388]
 [330.47528]
 [335.15213]
 [317.12085]
 [323.8478 ]
 [331.73154]
 [328.18774]
 [323.88443]
 [320.881  ]
 [305.90988]
 [338.1995 ]
 [315.643  ]
 [332.24445]
 [334.45718]
 [324.86343]
 [332.62134]
 [321.80234]
 [340.06818]
 [317.40747]
 [315.5125 ]
 [341.89816]
 [343.02243]
 [319.81946]
 [318.63217]
 [328.68463]
 [328.41342]
 [313.44098]
 [328.28192]
 [322.0487 ]
 [317.08542]
 [324.16644]
 [336.58426]
 [322.84897]
 [324.9716 ]
 [309.61215]
 [328.50443]
 [329.20502]
 [348.1663 ]
 [316.56012]
 [340.1612 ]
 [319.48724]
 [322.3077 ]
 [338.15112]
 [349.33813]
 [325.03372]
 [319.6167 ]
 [331.27628]
 [332.6172 ]
 [317.95132]
 [319.43597]
 [334.41025]
 [335.25388]
 [326.0571 ]
 [316.133  ]
 [313.65524]
 [342.7865 ]
 [336.76068]
 [311.25958]
 [320.4215 ]
 [331.21722]
 [331.26315]
 [318.59525]
 [320.79144]
 [330.14102]
 [312.9455 ]
 [341.44678]]"
4,"[[489.46713]
 [439.99466]
 [433.02536]
 [445.71545]
 [452.27722]
 [438.85333]
 [501.30115]
 [462.48654]
 [429.62073]
 [469.02975]
 [469.05344]
 [442.5119 ]
 [499.59317]
 [490.82498]
 [482.45248]
 [431.52286]
 [461.31458]
 [422.3401 ]
 [403.54175]
 [478.93454]
 [472.84076]
 [510.19458]
 [526.4002 ]
 [485.85806]
 [465.7027 ]
 [416.9191 ]
 [505.8109 ]
 [487.639  ]
 [442.14655]
 [541.7192 ]
 [498.25742]
 [424.9654 ]
 [489.4794 ]
 [460.4994 ]
 [500.69073]
 [432.0218 ]
 [462.9337 ]
 [483.72516]
 [428.86423]
 [504.02005]
 [469.22137]
 [452.10663]
 [453.32767]
 [432.5712 ]
 [439.6566 ]
 [455.471  ]
 [440.04962]
 [506.35098]
 [475.68762]
 [476.34332]
 [530.1745 ]
 [489.5999 ]
 [410.5062 ]
 [481.15756]
 [476.8029 ]
 [410.00137]
 [434.4689 ]
 [509.6649 ]
 [445.3688 ]
 [436.04803]
 [484.54904]
 [527.41626]
 [481.501  ]
 [415.9639 ]
 [436.98404]
 [405.78268]
 [504.1268 ]
 [502.71176]
 [536.8599 ]
 [453.5105 ]
 [437.52734]
 [500.93524]
 [485.84406]
 [476.2899 ]
 [458.36325]
 [504.91708]
 [527.51355]
 [414.05185]
 [493.54007]
 [447.5332 ]
 [471.354  ]
 [486.1626 ]
 [451.19577]
 [449.54193]
 [488.85498]
 [482.6511 ]
 [503.5012 ]
 [458.92105]
 [442.4526 ]
 [409.57217]
 [509.4242 ]
 [426.06955]
 [438.9689 ]
 [470.5782 ]
 [527.38605]
 [500.24567]
 [509.09552]
 [470.4759 ]
 [536.2899 ]
 [494.27927]
 [425.59393]
 [530.46027]
 [404.89816]
 [490.74896]
 [527.31824]
 [536.44403]
 [467.50632]
 [454.59616]
 [509.8291 ]
 [472.79715]
 [463.03796]
 [478.11417]
 [473.00824]
 [437.89047]
 [434.23434]
 [459.6829 ]
 [461.8817 ]
 [449.5426 ]
 [475.17603]
 [536.2326 ]
 [518.1486 ]
 [506.91794]
 [459.3054 ]
 [435.5074 ]
 [511.79565]
 [454.36588]
 [492.88873]
 [440.6842 ]]"
