episode,total_reward
1,"[[-6.790441 ]
 [-6.08718  ]
 [-6.08718  ]
 [-5.1724772]
 [-4.7189584]
 [-4.711354 ]
 [-4.709833 ]
 [-4.70535  ]
 [-4.694115 ]
 [-4.6774306]
 [-4.6459265]
 [-4.643934 ]
 [-4.6435776]
 [-4.641393 ]
 [-4.6230974]
 [-4.5941067]
 [-4.574932 ]
 [-4.5575333]
 [-4.5366726]
 [-4.536212 ]
 [-4.5359416]
 [-4.5550036]
 [-4.5612326]
 [-4.523444 ]
 [-4.4387574]
 [-4.481988 ]
 [-4.4286056]
 [-4.443883 ]
 [-4.4227333]
 [-4.4171615]
 [-4.4094644]
 [-4.418362 ]
 [-4.4138074]
 [-4.408436 ]
 [-4.408526 ]
 [-4.4081483]
 [-4.4068084]
 [-4.4128017]
 [-4.412736 ]
 [-4.4067144]
 [-4.4069185]
 [-4.40669  ]
 [-4.4061375]
 [-4.406279 ]
 [-4.406271 ]
 [-4.4062586]
 [-4.406266 ]
 [-4.4062595]
 [-4.4062543]
 [-4.4062486]
 [-4.4062424]
 [-4.4062357]
 [-4.4062304]
 [-4.4062247]
 [-4.4091415]
 [-4.4100103]
 [-4.412814 ]
 [-4.413865 ]
 [-4.4145617]
 [-4.415688 ]
 [-4.4164476]
 [-4.4176464]
 [-4.418901 ]
 [-4.4197736]]"
2,"[[-74.54355 ]
 [-74.19568 ]
 [-73.747055]
 [-73.478645]
 [-73.04072 ]
 [-72.55889 ]
 [-72.12153 ]
 [-71.73081 ]
 [-71.21492 ]
 [-70.52981 ]
 [-69.617744]
 [-69.182076]
 [-68.30302 ]
 [-68.20373 ]
 [-67.38271 ]
 [-66.12371 ]
 [-65.497536]
 [-65.18773 ]
 [-64.310936]
 [-63.9279  ]
 [-63.47234 ]
 [-63.270027]
 [-63.158985]
 [-63.03917 ]
 [-62.957317]
 [-62.863598]
 [-62.675728]
 [-62.400364]
 [-62.30092 ]
 [-62.10795 ]
 [-61.963825]
 [-61.802402]
 [-61.53407 ]
 [-61.25912 ]
 [-61.104656]
 [-60.96048 ]
 [-60.808537]
 [-60.520664]
 [-60.37773 ]
 [-60.33561 ]
 [-60.13135 ]
 [-59.649403]
 [-59.619625]
 [-59.58657 ]
 [-58.99378 ]
 [-58.63931 ]
 [-58.594078]
 [-58.399822]
 [-58.35428 ]
 [-58.32862 ]
 [-58.04807 ]
 [-57.994125]
 [-57.892136]
 [-57.5797  ]
 [-57.569824]
 [-57.562706]
 [-57.545433]
 [-57.533092]
 [-57.51939 ]
 [-57.490414]
 [-57.440777]
 [-57.433964]
 [-57.42952 ]
 [-57.4224  ]]"
3,"[[-170.48712]
 [-170.26358]
 [-169.94945]
 [-169.79868]
 [-169.53407]
 [-169.35515]
 [-169.26854]
 [-169.18585]
 [-169.05376]
 [-168.99266]
 [-168.96362]
 [-168.96362]
 [-168.5617 ]
 [-168.5617 ]
 [-168.15747]
 [-167.1991 ]
 [-166.69305]
 [-166.53897]
 [-165.40813]
 [-164.81572]
 [-164.00166]
 [-163.69853]
 [-163.60054]
 [-163.48605]
 [-163.47491]
 [-163.40979]
 [-163.12956]
 [-162.64679]
 [-162.57695]
 [-162.30882]
 [-162.13303]
 [-161.90865]
 [-161.41263]
 [-160.8609 ]
 [-160.59532]
 [-160.51312]
 [-160.30748]
 [-160.30547]
 [-160.25638]
 [-159.9467 ]
 [-159.85246]
 [-159.39359]
 [-159.27623]
 [-159.26707]
 [-159.02843]
 [-158.7163 ]
 [-157.70059]
 [-157.56085]
 [-157.54337]
 [-157.45874]
 [-155.9755 ]
 [-155.87958]
 [-155.12903]
 [-155.0408 ]
 [-154.6101 ]
 [-154.51051]
 [-154.48018]
 [-153.82063]
 [-153.7067 ]
 [-153.4754 ]
 [-153.36623]
 [-152.72495]
 [-152.69626]
 [-152.68912]]"
4,"[[-273.3848 ]
 [-273.51697]
 [-273.7401 ]
 [-273.85498]
 [-274.08618]
 [-274.2751 ]
 [-274.39874]
 [-274.56412]
 [-275.0542 ]
 [-275.61243]
 [-276.67084]
 [-276.67084]
 [-277.65268]
 [-277.65268]
 [-278.04874]
 [-278.51956]
 [-278.57397]
 [-278.57114]
 [-278.3366 ]
 [-277.94806]
 [-277.26285]
 [-277.02316]
 [-276.94467]
 [-276.85248]
 [-276.84348]
 [-276.79056]
 [-276.55893]
 [-276.1533 ]
 [-276.15042]
 [-276.09024]
 [-275.98547]
 [-275.85583]
 [-275.69998]
 [-275.68393]
 [-275.4901 ]
 [-275.03168]
 [-274.70496]
 [-274.4337 ]
 [-274.11   ]
 [-274.0078 ]
 [-273.75772]
 [-273.7549 ]
 [-273.6962 ]
 [-273.32333]
 [-273.2094 ]
 [-272.63202]
 [-272.48767]
 [-272.476  ]
 [-272.31567]
 [-272.16452]
 [-271.7914 ]
 [-270.685  ]
 [-270.57745]
 [-270.41476]
 [-270.39746]
 [-270.3002 ]
 [-268.59515]
 [-268.49026]
 [-267.62924]
 [-267.52887]
 [-267.02823]
 [-266.91693]
 [-266.88278]
 [-266.51138]]"
5,"[[-390.87985]
 [-391.41815]
 [-392.21634]
 [-392.6171 ]
 [-393.45883]
 [-394.24658]
 [-394.68805]
 [-395.1823 ]
 [-396.2073 ]
 [-397.28436]
 [-399.23962]
 [-399.23962]
 [-401.3584 ]
 [-401.3584 ]
 [-402.38455]
 [-404.47363]
 [-405.42352]
 [-405.665  ]
 [-406.98117]
 [-407.40836]
 [-407.60638]
 [-407.475  ]
 [-407.40512]
 [-407.31393]
 [-407.304  ]
 [-407.25113]
 [-407.0195 ]
 [-406.60626]
 [-406.5992 ]
 [-406.57803]
 [-406.53058]
 [-406.42224]
 [-406.39908]
 [-406.28677]
 [-406.12793]
 [-406.11307]
 [-405.91812]
 [-405.6147 ]
 [-405.4754 ]
 [-405.19498]
 [-405.01733]
 [-404.96515]
 [-404.72052]
 [-404.62726]
 [-404.39645]
 [-404.38223]
 [-404.31247]
 [-403.91418]
 [-403.78052]
 [-403.1553 ]
 [-402.98618]
 [-402.96582]
 [-402.7743 ]
 [-402.58945]
 [-402.3553 ]
 [-402.12228]
 [-400.8698 ]
 [-400.72076]
 [-400.51672]
 [-400.4685 ]
 [-400.3312 ]
 [-400.23795]
 [-398.40012]
 [-398.24768]]"
6,"[[-513.78955]
 [-514.72687]
 [-516.14905]
 [-516.94714]
 [-518.54456]
 [-519.86597]
 [-520.6196 ]
 [-521.4383 ]
 [-523.1944 ]
 [-525.1648 ]
 [-529.3249 ]
 [-529.3249 ]
 [-533.50885]
 [-533.50885]
 [-535.35455]
 [-538.75116]
 [-540.3286 ]
 [-540.7294 ]
 [-542.96674]
 [-543.8149 ]
 [-544.6826 ]
 [-544.81433]
 [-544.81525]
 [-544.9944 ]
 [-545.0579 ]
 [-545.09393]
 [-545.20404]
 [-545.2132 ]
 [-545.2218 ]
 [-545.26355]
 [-545.35175]
 [-545.40155]
 [-545.40015]
 [-545.3845 ]
 [-545.26263]
 [-545.25977]
 [-545.24304]
 [-545.23804]
 [-545.23706]
 [-545.20123]
 [-545.10254]
 [-545.0815 ]
 [-545.07385]
 [-545.0719 ]
 [-544.9742 ]
 [-544.89105]
 [-544.82416]
 [-544.8111 ]
 [-544.72955]
 [-544.64386]
 [-544.6228 ]
 [-544.44525]
 [-544.3572 ]
 [-544.3259 ]
 [-544.1951 ]
 [-544.0001 ]
 [-543.9832 ]
 [-543.923  ]
 [-543.758  ]
 [-543.71655]
 [-543.4895 ]
 [-543.4153 ]
 [-543.37964]
 [-543.2305 ]]"
7,"[[-643.58923]
 [-645.1344 ]
 [-647.6116 ]
 [-648.9338 ]
 [-651.53906]
 [-653.6598 ]
 [-654.8483 ]
 [-656.0626 ]
 [-658.58636]
 [-661.30133]
 [-666.8236 ]
 [-666.8236 ]
 [-672.4873 ]
 [-672.4873 ]
 [-675.1362 ]
 [-680.0398 ]
 [-682.15594]
 [-682.711  ]
 [-686.10516]
 [-687.4999 ]
 [-688.71497]
 [-688.8998 ]
 [-688.8998 ]
 [-689.1538 ]
 [-689.2515 ]
 [-689.2953 ]
 [-689.4597 ]
 [-689.4756 ]
 [-689.4919 ]
 [-689.5691 ]
 [-689.7789 ]
 [-689.921  ]
 [-689.97003]
 [-689.9843 ]
 [-690.20026]
 [-690.36707]
 [-690.5873 ]
 [-690.65576]
 [-690.66046]
 [-690.68896]
 [-690.70233]
 [-690.7016 ]
 [-690.75116]
 [-690.8805 ]
 [-690.9018 ]
 [-690.9073 ]
 [-690.9062 ]
 [-690.98364]
 [-691.02124]
 [-691.0207 ]
 [-691.0188 ]
 [-690.9963 ]
 [-690.93475]
 [-690.9142 ]
 [-690.76196]
 [-690.71606]
 [-690.68274]
 [-690.65344]
 [-690.53723]
 [-690.3648 ]
 [-690.34894]
 [-690.2946 ]
 [-690.146  ]
 [-690.109  ]]"
8,"[[-783.147  ]
 [-785.29346]
 [-788.6653 ]
 [-790.3952 ]
 [-793.70856]
 [-796.426  ]
 [-797.8973 ]
 [-799.3913 ]
 [-802.495  ]
 [-805.8175 ]
 [-812.43915]
 [-812.43915]
 [-819.09   ]
 [-819.09   ]
 [-822.2423 ]
 [-828.4469 ]
 [-831.3283 ]
 [-832.0245 ]
 [-836.2012 ]
 [-838.21326]
 [-840.061  ]
 [-840.30096]
 [-840.30096]
 [-840.6246 ]
 [-840.76355]
 [-840.8097 ]
 [-841.02606]
 [-841.0469 ]
 [-841.06793]
 [-841.1703 ]
 [-841.45776]
 [-841.6363 ]
 [-841.70215]
 [-841.73083]
 [-842.00757]
 [-842.2375 ]
 [-842.522  ]
 [-842.614  ]
 [-842.62036]
 [-842.66   ]
 [-842.68677]
 [-842.68677]
 [-842.75354]
 [-842.9817 ]
 [-843.0272 ]
 [-843.0404 ]
 [-843.0404 ]
 [-843.26306]
 [-843.4633 ]
 [-843.5972 ]
 [-843.6199 ]
 [-843.81067]
 [-843.99567]
 [-844.0209 ]
 [-844.3147 ]
 [-844.3517 ]
 [-844.3917 ]
 [-844.38745]
 [-844.39777]
 [-844.40924]
 [-844.3992 ]
 [-844.25085]
 [-844.2302 ]
 [-844.2173 ]]"
9,"[[-924.87164]
 [-927.39636]
 [-931.22723]
 [-933.2212 ]
 [-937.15247]
 [-940.26886]
 [-941.9262 ]
 [-943.6068 ]
 [-947.0919 ]
 [-950.8365 ]
 [-958.38025]
 [-958.38025]
 [-966.1549 ]
 [-966.1549 ]
 [-969.90704]
 [-977.34894]
 [-980.8807 ]
 [-981.81854]
 [-986.9746 ]
 [-989.3268 ]
 [-991.77783]
 [-992.1198 ]
 [-992.1198 ]
 [-992.58246]
 [-992.7863 ]
 [-992.83813]
 [-993.12994]
 [-993.1572 ]
 [-993.1855 ]
 [-993.31934]
 [-993.6988 ]
 [-993.907  ]
 [-993.98596]
 [-994.03284]
 [-994.3448 ]
 [-994.62244]
 [-994.9404 ]
 [-995.04755]
 [-995.05475]
 [-995.10077]
 [-995.1424 ]
 [-995.1424 ]
 [-995.20917]
 [-995.47516]
 [-995.528  ]
 [-995.5436 ]
 [-995.5436 ]
 [-995.8036 ]
 [-996.0472 ]
 [-996.1936 ]
 [-996.22076]
 [-996.4513 ]
 [-996.6657 ]
 [-996.6879 ]
 [-997.156  ]
 [-997.2533 ]
 [-997.3722 ]
 [-997.3727 ]
 [-997.41986]
 [-997.7443 ]
 [-997.7988 ]
 [-998.21936]
 [-998.22437]
 [-998.24365]]"
10,"[[-1076.1832]
 [-1079.2042]
 [-1083.7546]
 [-1086.1055]
 [-1090.6631]
 [-1094.3015]
 [-1096.2279]
 [-1098.183 ]
 [-1102.2448]
 [-1106.6085]
 [-1115.4033]
 [-1115.4033]
 [-1124.5692]
 [-1124.5692]
 [-1129.0104]
 [-1130.7455]
 [-1131.2653]
 [-1135.11  ]
 [-1137.6897]
 [-1138.0784]
 [-1141.8345]
 [-1142.9772]
 [-1146.1758]
 [-1149.3582]
 [-1152.0302]
 [-1154.909 ]
 [-1155.2966]
 [-1155.3041]
 [-1155.839 ]
 [-1156.095 ]
 [-1156.1432]
 [-1156.4952]
 [-1156.5355]
 [-1156.5754]
 [-1156.7451]
 [-1157.2391]
 [-1157.5028]
 [-1157.6152]
 [-1157.6953]
 [-1158.1166]
 [-1158.5055]
 [-1158.7573]
 [-1158.9053]
 [-1159.0356]
 [-1159.0476]
 [-1159.1053]
 [-1159.1692]
 [-1159.172 ]
 [-1159.2421]
 [-1159.5421]
 [-1159.6047]
 [-1159.6259]
 [-1159.6323]
 [-1159.921 ]
 [-1160.201 ]
 [-1160.3542]
 [-1160.3906]
 [-1160.6569]
 [-1160.8928]
 [-1160.9116]
 [-1161.4288]
 [-1161.5269]
 [-1161.6702]
 [-1161.6677]]"
