episode,Q_value
1,-243.81602478027344
2,-1376.14111328125
3,-2689.47216796875
4,-3333.7392578125
5,-3513.6357421875
6,-3248.20654296875
7,-2875.684814453125
8,-2426.25927734375
9,-2133.4462890625
10,-1858.2056884765625
11,-1397.5152587890625
12,-628.72216796875
13,55.18291091918945
14,690.3489990234375
15,1512.022705078125
16,2303.965087890625
17,3068.9951171875
18,3940.01611328125
19,4901.3720703125
20,5724.4375
21,6596.9833984375
22,7433.345703125
23,8379.37109375
24,9051.794921875
25,9510.6533203125
26,10703.357421875
27,11290.666015625
28,11946.4453125
29,12931.291015625
30,13483.529296875
31,14159.7822265625
32,14827.48828125
33,15529.3056640625
34,15868.7431640625
35,16652.27734375
36,16947.01953125
37,17811.51171875
38,18167.0234375
39,18153.037109375
40,19099.32421875
41,19391.494140625
42,19662.869140625
43,19743.23828125
44,20140.5390625
45,20003.94921875
46,20235.70703125
47,20479.7421875
48,20330.580078125
49,20428.1015625
50,20550.76953125
51,20790.77734375
52,20849.22265625
53,21126.9375
54,20681.984375
55,21495.81640625
56,21788.37890625
57,21736.0546875
58,22000.25
59,22198.9375
60,22325.72265625
61,22487.5546875
62,22559.560546875
63,22740.484375
64,22749.859375
65,22616.279296875
66,22781.6953125
67,22762.3515625
68,23073.255859375
69,23182.962890625
70,23411.138671875
71,23551.6640625
72,23651.654296875
73,23688.263671875
74,23747.94921875
75,24058.83203125
76,23955.5
77,24147.6953125
78,24136.3046875
79,24397.8828125
80,24573.58984375
81,24589.4609375
82,24657.56640625
83,24689.396484375
84,24701.84375
85,24731.9921875
86,24728.4296875
87,24613.822265625
88,24734.251953125
89,23981.0234375
90,24611.958984375
91,24677.8828125
92,24202.25
93,23836.33984375
94,23736.650390625
95,23563.884765625
96,23152.2421875
97,22876.0859375
98,22600.33203125
99,22622.54296875
100,22505.8828125
101,22385.173828125
102,22192.9609375
103,22088.20703125
104,21800.87890625
105,21796.451171875
106,21136.36328125
107,21676.513671875
108,21411.083984375
109,21240.201171875
110,21361.97265625
111,21312.9921875
112,21291.732421875
113,21183.83984375
114,21289.47265625
115,21168.9453125
116,21150.421875
117,20910.5625
118,20816.375
119,20790.6328125
120,20774.265625
121,20942.568359375
122,20873.02734375
123,20896.76953125
124,20356.25
