episode,total_reward
1,223.68804056385497
2,228.1408250366419
3,-61.90340725943469
4,-94.2419165551663
5,-157.70613131523132
6,-162.5193319559097
7,240.39880288759335
8,232.4708134665964
9,212.72647028274415
10,242.61474911759652
11,212.17606822029353
12,244.42978903147693
13,209.28095789584458
14,214.77888897331084
15,193.11147930367014
16,205.147000046736
17,202.14519045427443
18,186.94746206477274
19,93.89939795061935
20,101.81905371919272
21,95.00864177644254
22,97.94562257379297
23,85.95258694961672
24,55.288395098596716
25,40.16684678494931
26,25.286890820413824
27,23.993832656741123
28,63.95234217997456
29,46.25805070474742
30,74.16575156157923
31,80.8960758283734
32,45.83346840217709
33,39.54599232524634
34,31.897237110137883
