episode,Q_value
1,-29.526830673217773
2,-352.196533203125
3,-885.2213745117188
4,-1448.6708984375
5,-1831.552978515625
6,-2184.63818359375
7,-2752.5625
8,-3349.31396484375
9,-3792.326904296875
10,-4269.6474609375
11,-4951.6435546875
12,-5925.2109375
13,-6836.62890625
14,-7969.2177734375
15,-9010.39453125
16,-10067.9833984375
17,-11194.5546875
18,-12347.9326171875
19,-13361.1953125
20,-14455.5322265625
21,-15440.78125
22,-16600.73046875
23,-17634.5703125
24,-18835.67578125
25,-19256.62109375
26,-18315.33984375
27,-19602.96484375
28,-19623.396484375
29,-19705.59765625
30,-19691.140625
31,-19375.986328125
32,-18313.77734375
33,-19314.74609375
34,-19268.134765625
35,-19207.083984375
36,-19124.150390625
37,-19163.841796875
38,-18749.80078125
39,-18699.65625
40,-18398.546875
41,-18405.0625
42,-18039.916015625
43,-17948.205078125
44,-17694.3515625
45,-17262.072265625
46,-16975.15234375
47,-16452.38671875
48,-16391.234375
49,-15927.1474609375
50,-15701.7509765625
51,-15492.6220703125
52,-15172.912109375
53,-14995.1201171875
54,-14580.54296875
55,-13834.814453125
56,-14006.2958984375
57,-13623.9091796875
58,-13281.673828125
59,-13081.576171875
60,-12495.5947265625
61,-12377.791015625
62,-11859.046875
63,-11395.66796875
64,-11240.568359375
65,-11091.8544921875
66,-10680.96484375
67,-10168.5791015625
68,-10090.76953125
69,-9578.30078125
70,-9207.849609375
71,-9011.4423828125
72,-8641.5830078125
73,-8183.83984375
74,-8113.1337890625
75,-7856.958984375
76,-7354.70458984375
77,-7280.919921875
78,-6814.2333984375
79,-6585.1044921875
80,-6351.0439453125
81,-6006.63671875
82,-5776.5087890625
83,-5555.9130859375
84,-5381.3828125
85,-5155.10546875
86,-4587.1962890625
87,-4211.79345703125
88,-4142.92724609375
89,-3885.3671875
90,-3632.6591796875
91,-3337.4296875
92,-2912.99609375
93,-2811.6220703125
94,-2468.47216796875
95,-2332.84716796875
96,-1953.4842529296875
97,-1845.266845703125
98,-1525.6461181640625
99,-1447.7611083984375
100,-1061.93603515625
101,-847.4964599609375
102,-502.72210693359375
103,-503.21392822265625
104,-241.64480590820312
105,-117.7225570678711
106,392.2440185546875
107,339.3319396972656
108,529.6995849609375
109,809.8073120117188
110,876.10693359375
111,1126.7452392578125
112,1315.177978515625
113,1463.0263671875
114,1665.34814453125
115,1791.3104248046875
116,2004.9422607421875
117,2189.922607421875
118,2215.0615234375
119,2508.35986328125
120,2396.60205078125
121,2701.543701171875
122,2777.940673828125
123,2956.17333984375
124,3188.992431640625
