episode,Q_value
1,0.0
2,0.0036971569061279297
3,7.741583824157715
4,37.44843673706055
5,109.49378967285156
6,250.96694946289062
7,209.3144073486328
8,289.15771484375
9,551.392578125
10,644.6619873046875
11,483.4416198730469
12,611.5267333984375
13,678.27685546875
14,1079.473388671875
15,810.6591186523438
16,939.8331298828125
17,1269.3031005859375
18,1556.5108642578125
19,1819.704345703125
20,1707.6923828125
21,2131.478759765625
22,1883.614013671875
23,2395.742431640625
24,1640.698486328125
25,1994.5047607421875
26,2279.24365234375
27,1962.841064453125
28,2990.91015625
29,1752.3892822265625
30,1722.50048828125
31,2180.79638671875
32,3067.52978515625
33,2937.8525390625
34,2248.69140625
35,2877.8359375
36,2245.219970703125
37,3673.454345703125
38,2866.486328125
39,3188.02734375
40,3015.26708984375
41,3208.91064453125
42,3146.744140625
43,2507.137451171875
44,3223.8916015625
45,5150.77294921875
46,5152.5283203125
47,4652.5068359375
48,5282.5458984375
