episode,Q_value
1,19.96747398376465
2,180.79840087890625
3,-325.6722412109375
4,-2116.43896484375
5,-4413.2216796875
6,-7368.470703125
7,-10517.86328125
8,-12398.84375
9,-12713.5625
10,-12250.9287109375
11,-11941.478515625
12,-11560.4853515625
13,-11187.1806640625
14,-10326.359375
15,-9950.77734375
16,-9559.3779296875
17,-9011.171875
18,-8431.630859375
19,-8180.18017578125
20,-7060.64111328125
21,-6843.373046875
22,-6437.3876953125
23,-6071.06884765625
24,-5634.9453125
25,-4966.70556640625
26,-4222.05810546875
27,-4094.468505859375
28,-3619.600341796875
29,-2877.161865234375
