episode,Q_value
1,-8.386970520019531
2,-273.1790466308594
3,-947.3889770507812
4,-1389.040771484375
5,-1779.3297119140625
6,-2377.327392578125
7,-2814.8291015625
8,-3251.69775390625
9,-3613.761474609375
10,-3734.518798828125
11,-3960.124267578125
12,-4065.158203125
13,-4381.791015625
14,-4642.6044921875
15,-4937.712890625
16,-5155.50927734375
17,-5475.509765625
18,-5962.89453125
19,-6314.0146484375
20,-6182.080078125
21,-6449.0751953125
22,-6627.68212890625
23,-7416.0546875
24,-8103.873046875
25,-7835.03515625
26,-8265.5400390625
27,-8771.63671875
28,-8793.1787109375
29,-9113.529296875
30,-8809.267578125
31,-8706.517578125
32,-8935.62109375
33,-9172.828125
34,-9725.63671875
35,-9913.705078125
36,-10034.02734375
37,-10373.02734375
38,-10592.2099609375
39,-10837.6103515625
40,-10942.4638671875
41,-11122.44140625
42,-11336.62890625
43,-11682.818359375
