episode,Q_value
1,-0.021218987181782722
2,-53.054161071777344
3,-449.48016357421875
4,-1047.4088134765625
5,-953.0557861328125
6,-1114.0263671875
7,-1311.6378173828125
8,-1327.7601318359375
9,-1326.36669921875
10,-1331.357666015625
11,-1336.0523681640625
12,-1341.9693603515625
13,-1339.394287109375
14,-1351.349853515625
15,-1332.0224609375
16,-1342.26416015625
17,-1333.3353271484375
18,-1324.2064208984375
19,-1315.622314453125
20,-1299.275146484375
21,-1330.475341796875
22,-1307.452392578125
23,-1459.018798828125
24,-1385.3507080078125
25,-1395.245849609375
26,-1265.5526123046875
27,-1276.888671875
28,-1282.0081787109375
29,-1264.59375
30,-1326.83642578125
31,-1369.6591796875
32,-1339.090087890625
33,-1300.987060546875
34,-1321.61474609375
35,-1295.346923828125
36,-1236.80224609375
37,-1248.989013671875
38,-1226.979736328125
39,-1193.181396484375
40,-1217.047119140625
41,-1219.150634765625
42,-1193.748291015625
43,-1234.001708984375
44,-1185.785888671875
45,-1170.49951171875
46,-1193.312255859375
47,-1212.7308349609375
48,-1194.9981689453125
49,-1228.568603515625
50,-1197.2987060546875
51,-1226.214599609375
52,-1250.377197265625
53,-1221.83447265625
54,-1189.83984375
55,-1166.530029296875
56,-1183.5230712890625
57,-1157.985595703125
58,-1160.2930908203125
59,-1157.098388671875
60,-1177.3118896484375
61,-1190.8558349609375
62,-1172.811279296875
63,-1185.0166015625
64,-1173.6241455078125
65,-1179.5699462890625
66,-1174.9072265625
67,-1166.049072265625
68,-1170.4827880859375
69,-1208.9725341796875
70,-1220.587890625
71,-1221.086669921875
72,-1226.5240478515625
73,-1213.278564453125
74,-1244.436279296875
75,-1240.749755859375
76,-1175.4326171875
77,-1161.781005859375
78,-1192.2545166015625
79,-1221.884521484375
80,-1189.97314453125
81,-1144.670654296875
82,-1172.9305419921875
83,-1177.0025634765625
84,-1181.3115234375
85,-1182.9730224609375
86,-1204.70654296875
87,-1221.6080322265625
88,-1193.98046875
89,-1209.94189453125
90,-1201.0306396484375
91,-1187.1749267578125
92,-1184.2216796875
93,-1175.408203125
94,-1206.255859375
95,-1165.531982421875
96,-1167.558837890625
97,-1178.4541015625
98,-1186.251708984375
99,-1174.752197265625
100,-1180.3013916015625
101,-1167.36376953125
102,-1146.6497802734375
103,-1168.4969482421875
104,-1171.9501953125
105,-1161.3775634765625
106,-1162.81396484375
