episode,Q_value
1,0.04400305449962616
2,-31.862346649169922
3,-104.00283813476562
4,-188.96592712402344
5,-370.2599182128906
6,-664.9662475585938
7,-1010.8568115234375
8,-1447.1334228515625
9,-2086.103515625
10,-2541.869873046875
11,-3078.989990234375
12,-3526.37939453125
13,-3329.396484375
14,-4723.8935546875
15,-4919.25439453125
16,-5524.15380859375
17,-4951.3583984375
18,-6364.2451171875
19,-5851.3359375
20,-6398.56689453125
21,-7980.2451171875
22,-8044.31005859375
23,-8777.09765625
24,-8741.8046875
