episode,total_reward
1,"[[12.130499 ]
 [12.265801 ]
 [11.790271 ]
 [12.094476 ]
 [12.003784 ]
 [11.295446 ]
 [12.19265  ]
 [12.012155 ]
 [11.772119 ]
 [12.1012   ]
 [11.736101 ]
 [11.919052 ]
 [12.424679 ]
 [11.760312 ]
 [12.236729 ]
 [12.460238 ]
 [11.493216 ]
 [12.234733 ]
 [11.93066  ]
 [11.804022 ]
 [11.692613 ]
 [12.459921 ]
 [12.199839 ]
 [12.075352 ]
 [12.683663 ]
 [11.626768 ]
 [12.251662 ]
 [11.908659 ]
 [11.751527 ]
 [12.425004 ]
 [12.069163 ]
 [11.967449 ]
 [11.899317 ]
 [12.329564 ]
 [12.143975 ]
 [11.70803  ]
 [12.344872 ]
 [11.882351 ]
 [11.91612  ]
 [11.8524   ]
 [12.304357 ]
 [12.436439 ]
 [11.868684 ]
 [12.666999 ]
 [12.179301 ]
 [11.699315 ]
 [11.566    ]
 [12.0954075]
 [11.902885 ]
 [12.000411 ]
 [12.345282 ]
 [12.157701 ]
 [11.688523 ]
 [11.648409 ]
 [11.63641  ]
 [12.164977 ]
 [12.190548 ]
 [12.189856 ]
 [12.516029 ]
 [12.120131 ]
 [12.266437 ]
 [11.890908 ]
 [12.278616 ]
 [11.674084 ]
 [11.769673 ]
 [12.493302 ]
 [11.978435 ]
 [12.213134 ]
 [11.339075 ]
 [12.161608 ]
 [12.172648 ]
 [11.640937 ]
 [11.585433 ]
 [12.607357 ]
 [12.014191 ]
 [12.283697 ]
 [11.931244 ]
 [11.761044 ]
 [12.14924  ]
 [11.709276 ]
 [11.669338 ]
 [11.783316 ]
 [11.751745 ]
 [12.211297 ]
 [11.839468 ]
 [12.505356 ]
 [12.520848 ]
 [11.419927 ]
 [12.547796 ]
 [12.290707 ]
 [12.272959 ]
 [12.450292 ]
 [11.855514 ]
 [11.76907  ]
 [11.925335 ]
 [11.366997 ]
 [12.296148 ]
 [12.087649 ]
 [12.476845 ]
 [11.998361 ]
 [11.749339 ]
 [11.966227 ]
 [12.134222 ]
 [11.298523 ]
 [12.47156  ]
 [11.785967 ]
 [11.772176 ]
 [12.397605 ]
 [12.232218 ]
 [12.3784685]
 [12.100366 ]
 [11.639816 ]
 [11.935413 ]
 [11.463237 ]
 [11.95502  ]
 [11.649984 ]
 [12.272736 ]
 [12.31239  ]
 [12.249325 ]
 [12.412708 ]
 [12.111643 ]
 [12.184977 ]
 [12.098831 ]
 [11.922549 ]
 [11.972373 ]
 [11.9591   ]
 [11.938787 ]
 [11.941319 ]]"
2,"[[85.02368 ]
 [84.48553 ]
 [86.76565 ]
 [80.313644]
 [85.33362 ]
 [79.585144]
 [86.08529 ]
 [80.97354 ]
 [80.08462 ]
 [81.28106 ]
 [82.65865 ]
 [82.54058 ]
 [86.48738 ]
 [81.832375]
 [82.657326]
 [87.507515]
 [82.99269 ]
 [86.6567  ]
 [83.59193 ]
 [82.74454 ]
 [83.33513 ]
 [81.92758 ]
 [82.79653 ]
 [81.72897 ]
 [84.41997 ]
 [84.23887 ]
 [79.93181 ]
 [81.63185 ]
 [80.979935]
 [83.01857 ]
 [84.50603 ]
 [80.16777 ]
 [81.09197 ]
 [83.68112 ]
 [84.53819 ]
 [83.89417 ]
 [84.91095 ]
 [84.21328 ]
 [81.502525]
 [82.51551 ]
 [82.010155]
 [84.82156 ]
 [83.28849 ]
 [81.301506]
 [85.12634 ]
 [81.30172 ]
 [86.553055]
 [82.67927 ]
 [84.78325 ]
 [79.37309 ]
 [78.904854]
 [82.50477 ]
 [84.99969 ]
 [84.14944 ]
 [85.02035 ]
 [83.93138 ]
 [83.943985]
 [82.08383 ]
 [83.87777 ]
 [82.450615]
 [84.40896 ]
 [82.251564]
 [84.694855]
 [82.72843 ]
 [82.372025]
 [81.54776 ]
 [81.139565]
 [86.25364 ]
 [81.06378 ]
 [82.69085 ]
 [84.3645  ]
 [83.36836 ]
 [83.07767 ]
 [82.759415]
 [82.57128 ]
 [81.896545]
 [79.92351 ]
 [86.294716]
 [82.589775]
 [80.10006 ]
 [85.66454 ]
 [84.88525 ]
 [82.86407 ]
 [77.50433 ]
 [83.1831  ]
 [83.8114  ]
 [83.944824]
 [86.45364 ]
 [82.90133 ]
 [80.39598 ]
 [80.82427 ]
 [85.6149  ]
 [82.59212 ]
 [85.45434 ]
 [87.07156 ]
 [83.79124 ]
 [84.67506 ]
 [83.249664]
 [83.68655 ]
 [83.439545]
 [87.39645 ]
 [82.3282  ]
 [85.10965 ]
 [84.970634]
 [86.16981 ]
 [81.258286]
 [82.1216  ]
 [85.82275 ]
 [84.67002 ]
 [84.054016]
 [82.66166 ]
 [81.60262 ]
 [81.22099 ]
 [83.35132 ]
 [82.607994]
 [86.0633  ]
 [82.20742 ]
 [83.87702 ]
 [82.249985]
 [84.24118 ]
 [82.27495 ]
 [84.388405]
 [81.24128 ]
 [81.06541 ]
 [83.88655 ]
 [86.83205 ]
 [85.21341 ]
 [85.00275 ]]"
3,"[[171.90924]
 [179.55074]
 [171.10658]
 [176.09799]
 [173.5994 ]
 [169.56932]
 [173.74324]
 [176.53995]
 [178.26175]
 [171.47166]
 [177.14973]
 [176.53   ]
 [169.00612]
 [174.50125]
 [174.43057]
 [176.7198 ]
 [173.95718]
 [169.9522 ]
 [173.54933]
 [176.20819]
 [173.02328]
 [179.18636]
 [174.12912]
 [171.59953]
 [175.13243]
 [175.96721]
 [175.08057]
 [168.5675 ]
 [174.65523]
 [172.18468]
 [174.69806]
 [169.67853]
 [176.1545 ]
 [179.473  ]
 [173.50403]
 [177.76718]
 [175.15181]
 [178.1084 ]
 [177.06702]
 [173.85605]
 [178.5897 ]
 [180.1956 ]
 [170.27513]
 [174.17673]
 [176.23027]
 [173.1764 ]
 [176.40474]
 [175.90854]
 [173.44969]
 [174.2432 ]
 [176.06644]
 [174.30911]
 [167.66403]
 [171.99927]
 [180.72672]
 [169.76149]
 [172.9398 ]
 [170.874  ]
 [182.92648]
 [172.69441]
 [170.59308]
 [173.8282 ]
 [181.95175]
 [178.84409]
 [172.01154]
 [175.72125]
 [181.86674]
 [169.85893]
 [177.40309]
 [180.59476]
 [176.13518]
 [180.72719]
 [167.63602]
 [177.5844 ]
 [175.51184]
 [173.74455]
 [176.60622]
 [176.6706 ]
 [172.61995]
 [166.69649]
 [173.14249]
 [168.81097]
 [169.61386]
 [177.74274]
 [177.07889]
 [176.54   ]
 [169.94833]
 [172.04582]
 [171.9847 ]
 [170.75195]
 [170.40341]
 [173.18349]
 [169.21848]
 [175.27179]
 [176.0977 ]
 [171.23474]
 [171.8085 ]
 [178.7217 ]
 [170.94186]
 [171.9729 ]
 [175.88869]
 [178.90991]
 [173.67584]
 [178.4142 ]
 [170.6496 ]
 [170.89075]
 [175.75688]
 [169.97983]
 [174.79797]
 [176.9968 ]
 [175.27325]
 [176.5695 ]
 [173.27051]
 [174.75813]
 [178.8683 ]
 [175.43428]
 [180.09232]
 [174.01018]
 [171.10268]
 [182.97601]
 [169.64088]
 [170.74396]
 [175.35594]
 [180.0093 ]
 [178.43074]
 [171.71445]
 [173.2822 ]
 [171.11981]]"
4,"[[250.83159]
 [249.97284]
 [254.55728]
 [262.58353]
 [251.65413]
 [251.94084]
 [252.64793]
 [264.73538]
 [250.16199]
 [252.74886]
 [251.71722]
 [263.9127 ]
 [246.82614]
 [255.76794]
 [253.18416]
 [258.4781 ]
 [252.12662]
 [249.6302 ]
 [243.9534 ]
 [241.48473]
 [264.44995]
 [249.14116]
 [250.97801]
 [260.34842]
 [251.62244]
 [247.62273]
 [272.5254 ]
 [260.19174]
 [258.2959 ]
 [253.7058 ]
 [262.9884 ]
 [261.88644]
 [258.53833]
 [260.20926]
 [257.72058]
 [257.37195]
 [252.2297 ]
 [254.04083]
 [258.66983]
 [249.86432]
 [248.32999]
 [249.3802 ]
 [255.92288]
 [255.10353]
 [247.84297]
 [265.40198]
 [256.86224]
 [252.87984]
 [256.0081 ]
 [256.56198]
 [248.39127]
 [244.52948]
 [255.58844]
 [253.90346]
 [252.25044]
 [253.4901 ]
 [250.34839]
 [243.78197]
 [255.60905]
 [254.7961 ]
 [250.02475]
 [248.9992 ]
 [251.32912]
 [255.4127 ]
 [245.93085]
 [257.97748]
 [259.05243]
 [251.06873]
 [252.97913]
 [258.51724]
 [256.7551 ]
 [257.67145]
 [247.69142]
 [248.38695]
 [250.98485]
 [262.33   ]
 [258.8044 ]
 [260.46008]
 [254.339  ]
 [250.86897]
 [258.2486 ]
 [247.96782]
 [250.45444]
 [266.5524 ]
 [262.2752 ]
 [245.21187]
 [255.43567]
 [255.17982]
 [259.3963 ]
 [250.56078]
 [260.6895 ]
 [251.2412 ]
 [250.32495]
 [252.40173]
 [252.34395]
 [252.22647]
 [246.26038]
 [253.07513]
 [264.55432]
 [253.58456]
 [257.23264]
 [250.13881]
 [250.00069]
 [256.4426 ]
 [258.97632]
 [257.71973]
 [264.65112]
 [259.18118]
 [255.70607]
 [255.84404]
 [254.73627]
 [248.01399]
 [242.00362]
 [253.33917]
 [255.13333]
 [255.94899]
 [254.0702 ]
 [250.27936]
 [254.22548]
 [250.45111]
 [260.45447]
 [250.929  ]
 [251.03122]
 [255.17671]
 [264.5649 ]
 [253.70497]
 [260.6467 ]
 [255.56961]]"
5,"[[295.54477]
 [292.54333]
 [294.5187 ]
 [294.321  ]
 [297.41486]
 [317.5615 ]
 [291.213  ]
 [297.0749 ]
 [290.47708]
 [291.6026 ]
 [292.53003]
 [295.35516]
 [304.65808]
 [292.97495]
 [301.8806 ]
 [291.84796]
 [304.69937]
 [296.58237]
 [302.37344]
 [296.9347 ]
 [290.39014]
 [293.52472]
 [306.2652 ]
 [298.95123]
 [290.62875]
 [299.41776]
 [294.99582]
 [300.57022]
 [292.48865]
 [286.92316]
 [299.86285]
 [308.78513]
 [294.096  ]
 [289.78036]
 [306.6602 ]
 [297.1751 ]
 [302.31165]
 [299.22147]
 [297.98975]
 [301.6011 ]
 [304.00214]
 [291.98575]
 [295.49078]
 [304.8695 ]
 [298.24634]
 [295.3132 ]
 [296.68393]
 [299.34256]
 [299.5609 ]
 [298.2258 ]
 [313.44052]
 [295.09314]
 [295.89786]
 [289.0678 ]
 [294.09558]
 [298.6338 ]
 [305.99246]
 [307.7    ]
 [291.99707]
 [294.61465]
 [299.95795]
 [300.80753]
 [299.24356]
 [299.24026]
 [299.2485 ]
 [298.60333]
 [307.5042 ]
 [304.5227 ]
 [293.73434]
 [301.07224]
 [301.1403 ]
 [287.32877]
 [290.41586]
 [301.3514 ]
 [301.87326]
 [290.6897 ]
 [303.51157]
 [297.731  ]
 [306.62762]
 [286.16708]
 [304.75153]
 [301.15918]
 [306.0522 ]
 [300.0277 ]
 [299.68433]
 [297.38943]
 [298.24994]
 [297.4143 ]
 [293.37408]
 [302.43826]
 [293.08405]
 [302.16077]
 [297.57916]
 [287.44125]
 [303.56256]
 [294.72687]
 [303.33682]
 [295.09604]
 [288.76923]
 [297.49176]
 [296.889  ]
 [303.3945 ]
 [297.12817]
 [312.69507]
 [302.26828]
 [301.61255]
 [300.40347]
 [296.83804]
 [298.59894]
 [293.83737]
 [295.03152]
 [294.66025]
 [294.9657 ]
 [306.58832]
 [300.31836]
 [297.97586]
 [293.22168]
 [302.6637 ]
 [304.87756]
 [292.684  ]
 [304.3573 ]
 [292.29074]
 [290.8773 ]
 [294.69235]
 [300.21606]
 [294.15033]
 [298.06287]
 [297.52554]]"
6,"[[344.7197 ]
 [336.78314]
 [335.4945 ]
 [322.54742]
 [335.3226 ]
 [337.06998]
 [331.0913 ]
 [328.7288 ]
 [337.9831 ]
 [337.41977]
 [327.65283]
 [324.15533]
 [327.76102]
 [344.18045]
 [329.48755]
 [327.06876]
 [322.7999 ]
 [345.8317 ]
 [330.0076 ]
 [344.4157 ]
 [321.26407]
 [324.44635]
 [337.9889 ]
 [320.58722]
 [337.45947]
 [326.47382]
 [336.21548]
 [342.80115]
 [328.6062 ]
 [341.17197]
 [331.21637]
 [334.38852]
 [319.52927]
 [331.0142 ]
 [333.00397]
 [319.94904]
 [314.0611 ]
 [334.2557 ]
 [339.8776 ]
 [327.50607]
 [340.8103 ]
 [328.09067]
 [326.37888]
 [329.621  ]
 [334.966  ]
 [337.25507]
 [330.4937 ]
 [337.6974 ]
 [326.6734 ]
 [336.15457]
 [327.3627 ]
 [335.12335]
 [344.9832 ]
 [336.19415]
 [338.35367]
 [328.5596 ]
 [332.52863]
 [330.48764]
 [334.717  ]
 [341.26407]
 [334.1283 ]
 [328.61096]
 [339.85236]
 [338.07083]
 [344.2514 ]
 [324.31027]
 [335.3035 ]
 [334.94006]
 [337.12405]
 [337.4859 ]
 [329.34113]
 [339.60287]
 [322.3864 ]
 [339.23288]
 [323.813  ]
 [335.6003 ]
 [322.34772]
 [322.6035 ]
 [340.62112]
 [329.05054]
 [326.03653]
 [332.17273]
 [335.47873]
 [335.89767]
 [338.65625]
 [330.19034]
 [339.78976]
 [324.62177]
 [333.5543 ]
 [324.68726]
 [340.24295]
 [325.26547]
 [325.71368]
 [336.11087]
 [332.03528]
 [340.94366]
 [329.95554]
 [339.88623]
 [329.99152]
 [328.86987]
 [330.5503 ]
 [330.86774]
 [327.8262 ]
 [333.1823 ]
 [335.27817]
 [335.69266]
 [335.32608]
 [334.96368]
 [348.37494]
 [326.08145]
 [329.93997]
 [337.3961 ]
 [347.55835]
 [332.19968]
 [329.0946 ]
 [332.12814]
 [345.0497 ]
 [334.4683 ]
 [335.598  ]
 [332.1574 ]
 [329.0759 ]
 [336.36392]
 [334.04227]
 [331.13794]
 [321.82874]
 [334.2874 ]
 [329.6846 ]
 [324.57834]]"
7,"[[352.26056]
 [362.27213]
 [369.98007]
 [369.61472]
 [365.93686]
 [359.2805 ]
 [354.60965]
 [363.91318]
 [360.0998 ]
 [376.9565 ]
 [364.79437]
 [360.59796]
 [358.678  ]
 [350.44754]
 [357.8653 ]
 [355.99948]
 [365.03284]
 [367.2799 ]
 [355.88525]
 [371.82974]
 [351.25958]
 [350.46393]
 [371.49423]
 [372.1669 ]
 [353.28632]
 [363.27283]
 [369.25568]
 [359.07004]
 [356.1806 ]
 [364.6138 ]
 [376.97644]
 [372.39526]
 [350.64047]
 [369.34982]
 [348.56897]
 [374.63843]
 [365.47244]
 [355.93933]
 [362.70486]
 [377.26883]
 [364.12448]
 [360.97818]
 [366.63568]
 [354.81586]
 [357.14484]
 [362.28046]
 [364.74152]
 [363.86432]
 [369.8513 ]
 [362.1989 ]
 [359.7467 ]
 [371.03098]
 [366.8181 ]
 [351.83936]
 [365.11243]
 [372.85165]
 [366.2345 ]
 [359.28574]
 [361.8519 ]
 [361.85837]
 [381.24283]
 [368.77936]
 [359.52646]
 [363.46927]
 [370.63834]
 [362.5195 ]
 [380.8355 ]
 [372.3363 ]
 [375.0684 ]
 [361.49988]
 [364.05472]
 [364.497  ]
 [362.34286]
 [365.94675]
 [356.2098 ]
 [356.15717]
 [366.2562 ]
 [359.88693]
 [363.64395]
 [355.0723 ]
 [356.43   ]
 [363.27484]
 [359.02066]
 [364.546  ]
 [367.93085]
 [363.4904 ]
 [356.2458 ]
 [363.01288]
 [372.22748]
 [364.0315 ]
 [362.93445]
 [371.14136]
 [365.34338]
 [362.00186]
 [373.57812]
 [369.2352 ]
 [381.5093 ]
 [369.27704]
 [351.7439 ]
 [358.40628]
 [358.4172 ]
 [359.81018]
 [368.9818 ]
 [353.45026]
 [353.7635 ]
 [368.5475 ]
 [360.33865]
 [346.03598]
 [366.21597]
 [363.7463 ]
 [362.57956]
 [360.17337]
 [348.107  ]
 [374.02332]
 [351.66757]
 [357.94467]
 [373.39688]
 [350.67972]
 [360.85977]
 [361.89307]
 [354.82608]
 [367.54254]
 [370.8943 ]
 [353.81018]
 [368.1381 ]
 [352.71225]
 [351.26917]
 [384.3363 ]]"
8,"[[396.97327]
 [383.35254]
 [398.6811 ]
 [394.07364]
 [398.01587]
 [419.2543 ]
 [409.95837]
 [408.84818]
 [407.57175]
 [406.48776]
 [406.2304 ]
 [392.6156 ]
 [402.60965]
 [418.67392]
 [408.16647]
 [402.63776]
 [420.3522 ]
 [417.7386 ]
 [416.6557 ]
 [405.3    ]
 [392.12317]
 [399.11398]
 [391.81046]
 [386.4002 ]
 [408.69666]
 [408.3152 ]
 [396.69202]
 [398.00433]
 [392.51758]
 [399.57666]
 [392.30164]
 [388.8264 ]
 [405.75388]
 [390.17416]
 [402.1644 ]
 [413.54785]
 [409.78818]
 [394.27792]
 [387.926  ]
 [415.59656]
 [413.9925 ]
 [415.2769 ]
 [415.36838]
 [414.46393]
 [398.53674]
 [403.1385 ]
 [400.0576 ]
 [400.36768]
 [383.579  ]
 [409.3007 ]
 [407.11264]
 [404.17102]
 [413.89172]
 [404.11136]
 [390.00803]
 [393.30084]
 [401.84192]
 [411.2142 ]
 [401.7182 ]
 [403.47122]
 [406.5603 ]
 [429.43588]
 [398.0094 ]
 [414.09125]
 [405.03198]
 [391.05087]
 [406.09207]
 [392.0956 ]
 [392.59842]
 [400.6548 ]
 [386.464  ]
 [409.86252]
 [420.8581 ]
 [409.12207]
 [428.53183]
 [411.0228 ]
 [418.8416 ]
 [420.56757]
 [407.06155]
 [403.23984]
 [404.80762]
 [403.37766]
 [417.0144 ]
 [406.69647]
 [410.00946]
 [405.71252]
 [399.84543]
 [418.32245]
 [413.03024]
 [426.09747]
 [397.66458]
 [420.49335]
 [398.5649 ]
 [415.44193]
 [403.34354]
 [405.72336]
 [392.26306]
 [397.8329 ]
 [399.30252]
 [399.69278]
 [397.845  ]
 [406.4169 ]
 [422.99316]
 [417.0756 ]
 [409.3695 ]
 [413.49628]
 [404.93384]
 [396.06042]
 [400.33414]
 [404.98355]
 [393.49866]
 [402.80417]
 [417.59085]
 [410.70734]
 [411.81833]
 [400.69293]
 [385.23578]
 [426.8856 ]
 [410.77313]
 [405.68817]
 [406.76825]
 [422.2573 ]
 [407.3663 ]
 [419.42645]
 [395.8475 ]
 [389.19467]
 [393.35382]
 [388.10788]]"
9,"[[445.49292]
 [440.17496]
 [448.873  ]
 [458.29083]
 [455.93787]
 [456.69626]
 [444.86182]
 [445.46075]
 [445.59598]
 [449.7067 ]
 [443.1775 ]
 [429.94214]
 [440.095  ]
 [461.78635]
 [440.43573]
 [438.72937]
 [462.14236]
 [452.02615]
 [438.04663]
 [458.9079 ]
 [447.69284]
 [452.90424]
 [454.7687 ]
 [447.77267]
 [461.81097]
 [449.60254]
 [462.90665]
 [439.9856 ]
 [460.0327 ]
 [457.2704 ]
 [446.4839 ]
 [453.31094]
 [458.28604]
 [465.02112]
 [460.4073 ]
 [450.516  ]
 [452.16196]
 [486.07996]
 [448.70728]
 [472.21545]
 [466.66   ]
 [450.6182 ]
 [446.16943]
 [459.58582]
 [462.9759 ]
 [459.62863]
 [465.6588 ]
 [449.3464 ]
 [457.61493]
 [459.39307]
 [452.9912 ]
 [451.16846]
 [461.3703 ]
 [461.35666]
 [451.2201 ]
 [466.74518]
 [448.49332]
 [452.0424 ]
 [451.47632]
 [451.0475 ]
 [446.4144 ]
 [440.7475 ]
 [471.6951 ]
 [440.19324]
 [456.6925 ]
 [460.7527 ]
 [464.02573]
 [457.01703]
 [447.083  ]
 [459.73935]
 [451.8789 ]
 [456.11047]
 [458.87567]
 [449.04208]
 [446.19574]
 [437.1947 ]
 [468.08255]
 [438.68677]
 [435.60687]
 [448.95428]
 [439.63974]
 [469.13644]
 [453.27103]
 [447.60626]
 [447.93582]
 [458.6975 ]
 [458.13513]
 [436.18005]
 [474.91333]
 [460.6765 ]
 [473.05838]
 [458.91208]
 [450.4664 ]
 [443.96472]
 [441.25793]
 [444.8546 ]
 [442.477  ]
 [437.3924 ]
 [445.78625]
 [441.5924 ]
 [430.03723]
 [450.33698]
 [451.26205]
 [437.548  ]
 [442.48068]
 [439.4474 ]
 [451.626  ]
 [467.1605 ]
 [447.5476 ]
 [460.043  ]
 [453.5657 ]
 [456.46252]
 [447.7609 ]
 [457.10147]
 [436.6512 ]
 [467.95108]
 [467.5397 ]
 [459.068  ]
 [443.0338 ]
 [476.71042]
 [436.64362]
 [443.20624]
 [468.52698]
 [443.35825]
 [469.959  ]
 [445.0397 ]
 [445.70605]
 [459.98477]]"
10,"[[511.67996]
 [526.03455]
 [485.33597]
 [510.14212]
 [505.14655]
 [511.13803]
 [522.14307]
 [499.76733]
 [523.07556]
 [490.78415]
 [506.94522]
 [509.00302]
 [525.254  ]
 [508.9527 ]
 [500.96228]
 [519.58936]
 [498.60422]
 [494.5265 ]
 [505.53464]
 [497.10223]
 [497.67728]
 [483.95193]
 [517.92426]
 [516.19617]
 [523.6634 ]
 [503.60257]
 [521.21   ]
 [504.81546]
 [525.53766]
 [489.22232]
 [505.52426]
 [493.63513]
 [485.5026 ]
 [487.89642]
 [525.9076 ]
 [486.38876]
 [493.0173 ]
 [495.37964]
 [503.94318]
 [482.44983]
 [500.1373 ]
 [508.58884]
 [492.9577 ]
 [520.021  ]
 [518.71875]
 [529.92725]
 [513.3325 ]
 [481.76373]
 [492.19684]
 [511.4642 ]
 [491.028  ]
 [501.0939 ]
 [509.24817]
 [502.50247]
 [488.80215]
 [504.46786]
 [522.802  ]
 [480.5224 ]
 [501.3667 ]
 [500.56415]
 [493.97104]
 [491.0967 ]
 [486.8344 ]
 [524.03656]
 [540.9012 ]
 [513.1928 ]
 [511.65622]
 [492.57983]
 [486.54742]
 [513.93085]
 [481.94485]
 [514.07306]
 [482.56143]
 [519.04095]
 [493.91214]
 [505.0418 ]
 [498.87305]
 [509.9561 ]
 [518.74335]
 [508.13522]
 [503.68695]
 [523.35065]
 [504.0442 ]
 [509.267  ]
 [493.59625]
 [510.67896]
 [488.71695]
 [526.3352 ]
 [497.556  ]
 [516.4532 ]
 [497.62122]
 [513.2402 ]
 [518.53406]
 [491.58344]
 [476.47003]
 [513.2751 ]
 [504.45688]
 [507.7705 ]
 [509.10913]
 [496.03198]
 [507.4652 ]
 [502.2765 ]
 [508.60748]
 [508.53763]
 [498.79593]
 [503.70074]
 [494.3934 ]
 [492.12137]
 [497.35364]
 [511.69128]
 [500.55   ]
 [526.0018 ]
 [511.72705]
 [533.22546]
 [487.8826 ]
 [494.4245 ]
 [499.42813]
 [516.48535]
 [507.7923 ]
 [510.40103]
 [495.581  ]
 [505.9641 ]
 [495.48618]
 [477.4489 ]
 [503.84607]
 [525.0715 ]
 [517.926  ]
 [492.8371 ]]"
